Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation A,English,"When interacting with others, students use their preferred communication modality to express immediate needs. They briefly engage in shared attention and use their preferred communication modality to attract attention or continue an action.","Language,Literacy","attention,communication,engage,express,interact,modality,use","VC2EFALA01,VC2EFALA03,VC2EFALE01,VC2EFALE02,VC2EFALY01",High
Foundation A,English,They use their preferred communication modality to demonstrate preferences through the acceptance or rejection of familiar objects or activities.,"Language,Literacy","communication,demonstrate,modality,preferences,use","VC2EFALA01,VC2EFALA03,VC2EFALY03",High
Foundation A,English,"When listening to and/or viewing print and digital texts, students engage with a range of different types of texts and respond by attending to and exploring images, sounds and/or sensory experiences related to texts.","Language,Literacy","attend,engage,images,listen,respond,sounds,texts,view","VC2EFALA01,VC2EFALA02,VC2EFALA03,VC2EFALE01,VC2EFALE02,VC2EFALY02",High
Foundation A,English,They demonstrate interest in texts and engage for brief periods when having a book or other text read to them.,"Language,Literacy","demonstrate,engage,read,texts","VC2EFALA01,VC2EFALA02,VC2EFALA03,VC2EFALE01,VC2EFALE02,VC2EFALY02",High
Foundation A,English,"They respond to letters and their sounds, and to vocabulary used in reference to objects and activities that are familiar or of personal interest.","Language,Literacy","letters,respond,sounds,use,vocabulary","VC2EFALA01,VC2EFALE01,VC2EFALE02",High
Foundation A,English,"When creating texts, students demonstrate short periods of shared attention and participate in the joint construction of text.","Language,Literacy","attention,construct,demonstrate,participate,texts","VC2EFALA03,VC2EFALE01,VC2EFALY02,VC2EFALY03,VC2EFALY04",High
Foundation A,English,They manipulate a range of tools to make marks.,"Language,Literacy",manipulate,"VC2EFALA03,VC2EFALE01,VC2EFALY02,VC2EFALY03,VC2EFALY04",High
Foundation B,English,"When interacting with others, students communicate using their preferred communication modality. They can reliably accept or reject objects, actions or events.","Language,Literacy","communicate,communication,interact,modality","VC2EFBLA01,VC2EFBLA05,VC2EFBLE01,VC2EFBLE02,VC2EFBLY01",High
Foundation B,English,"Students attend and respond to interactions consistently. They use single objects, gestures, symbols or words to express ideas related to their immediate environment.","Language,Literacy","attend,express,ideas,interact,respond,use,words","VC2EFBLA01,VC2EFBLA05,VC2EFBLY03,VC2EFBLY04,VC2EFBLY06",High
Foundation B,English,"When listening to and/or viewing print and digital texts, students engage with a range of different types of texts and identify an event in a story.",,"engage,identify,listen,texts,view",,
Foundation B,English,"They recognise familiar images, letters and words in their environment.",,"images,letters,recognise,words",,
Foundation B,English,"When demonstrating understanding of texts, students use their preferred communication modality to communicate single ideas or concepts without elaboration or detail.",,"communicate,communication,ideas,modality,texts,understand,use",,
Foundation B,English,"Students identify how text is organised for navigation by using features of a text, such as the appropriate orientation and turning pages.",,identify,,
Foundation B,English,"When co-creating and sharing short texts, students recount ideas by identifying an image, character or event in a preferred or known text.",,"ideas,identify,texts",,
Foundation B,English,Students express ideas using their preferred communication modality.,,"communication,express,ideas,modality",,
Foundation B,English,They participate in writing by intentionally making marks and repeating movements using writing tools and materials.,,participate,,
Foundation C,English,"When interacting with others, students initiate and respond to communication using learnt vocabulary to express ideas and describe activities or experiences. Using their preferred communication modality, students use interaction skills, such as attending and responding, using short phrases to express ideas.",,"attend,communication,describe,express,ideas,interact,modality,respond,use,vocabulary",,
Foundation C,English,"They use short phrases to request, accept or reject objects, actions or events, using their preferred communication modality.",,"communication,modality,use",,
Foundation C,English,"When listening to and/or viewing print and digital texts, students engage with a range of different types of texts, and identify and comment on events and characters in a story.",,"engage,identify,listen,texts,view",,
Foundation C,English,"They recognise and name familiar images, some letters and their sounds, and words in a variety of situations and contexts at school.",,"images,letters,recognise,sounds,texts,words",,
Foundation C,English,"When demonstrating understanding of texts, students respond to simple questions by using their preferred communication modality to express ideas or comment without elaboration or detail.",,"communication,express,ideas,modality,respond,texts,understand",,
Foundation C,English,Students identify how text is organised for navigation by turning one page at a time and differentiating between words and images in print.,,"identify,images,words",,
Foundation C,English,"When co-creating and sharing short texts, students retell ideas by sequencing images.",,"ideas,images,texts",,
Foundation C,English,Students express ideas using their preferred communication modality.,,"communication,express,ideas,modality",,
Foundation C,English,They participate in writing by using writing tools and materials to create letter-like symbols.,,"create,participate",,
Foundation D,English,"When interacting with others, students initiate and sustain interactions, responding using learnt vocabulary and phrasing, using their preferred communication modality.",,"communication,interact,modality,respond,vocabulary",,
Foundation D,English,"They use phrases to communicate interests, preferences and ideas.",,"communicate,ideas,preferences,use",,
Foundation D,English,"When communicating to an audience in familiar or structured situations, students present an idea or retell a story or event, using phrases to express ideas.",,"audience,express,ideas,present",,
Foundation D,English,"When listening to and/or viewing a range of print and digital text types, students recognise, comment on and share feelings about settings, characters and events.",,"listen,recognise,view",,
Foundation D,English,"They replicate rhythms and sounds patterns, blend and segment one-syllable words, read some consonant-vowel-consonant (CVC) words and decode a small number of familiar words. They demonstrate knowledge of some phoneme–grapheme correspondences.",,"blend,demonstrate,knowledge,read,respond,segment,sounds,words",,
Foundation D,English,"When demonstrating understanding of texts, students use comprehension strategies, such as connecting, predicting and questioning. They identify that images, letters, sounds and words contribute to meaning.",,"identify,images,letters,meaning,sounds,texts,understand,use,words",,
Foundation D,English,"Students identify how types of text, in print, digital and multimodal format, are organised for purpose and navigation. They demonstrate knowledge of key elements of the sequence and structure of a text.",,"demonstrate,identify,knowledge,purpose",,
Foundation D,English,"When creating and sharing short texts, students retell stories and report information using familiar symbols, letters and words.",,"information,letters,texts,words",,
Foundation D,English,"They participate in shared editing processes, applying knowledge of capital letters and spacing between words.",,"apply,edit,knowledge,letters,participate,words",,
Foundation D,English,"They identify and select symbols, signs and letters to create a text. They independently form some letters, and group clusters of marks or letters that are separated by spaces to make words that convey meaning.",,"create,identify,letters,meaning,select,words",,
Foundation D,English,They use some phoneme–grapheme correspondences and form some familiar words.,,"respond,use,words",,
Foundation D,English,They create images that represent ideas and show features that are understood by others.,,"create,ideas,images,present",,
Foundation,English,"When interacting with others, students explore vocabulary used in familiar contexts and how language changes in different contexts.",,"explore,interact,language,texts,use,vocabulary",,
Foundation,English,They share thoughts and preferences.,,preferences,,
