SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English,Foundation C,Language,Language for interacting with others,VC2EFCLA01,"Use short phrases to request, accept or reject an object, action or event",,"Demonstrating awareness that images represent people or things; for example, pointing to a picture of a tree in a book when an adult communicates ‘tree’"
English,English,Foundation C,Language,Language for interacting with others,VC2EFCLA01,"Use short phrases to request, accept or reject an object, action or event",,"Demonstrating awareness of a few common, simple symbols in the environment; for example, placing rubbish in the bin when noticing a ‘bin’ symbol"
English,English,Foundation C,Language,Language for interacting with others,VC2EFCLA01,"Use short phrases to request, accept or reject an object, action or event",,"Combining images, letters or words into 2- and some 3-word phrases to request or make comments; for example, communicating ‘It’s my turn.’, ‘I want [object, event or action].’, ‘I like [object, event or action].’ or ‘More drink.’"
English,English,Foundation C,Language,Language for interacting with others,VC2EFCLA01,"Use short phrases to request, accept or reject an object, action or event",,"Using 2- to 3-word phrases to reject objects or actions using their preferred communication modality; for example, communicating ‘I am finished.’, ‘Stop now.’ or ‘No more drink.’"
English,English,Foundation C,Language,Text structure and organisation,VC2EFCLA02,Turn one page at a time and differentiate between words and images in print and digital texts,,"Demonstrating awareness of the way books are handled; for example, picking up a book, opening it, then turning it the right way up"
English,English,Foundation C,Language,Text structure and organisation,VC2EFCLA02,Turn one page at a time and differentiate between words and images in print and digital texts,,"Exploring books with Braille and/or other tactile content with their hands, one page at a time"
English,English,Foundation C,Language,Text structure and organisation,VC2EFCLA02,Turn one page at a time and differentiate between words and images in print and digital texts,,"Looking at books page by page; for example, imitating reading a book from start to finish"
English,English,Foundation C,Language,Text structure and organisation,VC2EFCLA02,Turn one page at a time and differentiate between words and images in print and digital texts,,Pointing to the print while imitating reading a page with both print and pictures
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA03,Use short phrases to express ideas,,"Making comments about text presented in books or the environment; for example, communicating ‘giraffe tall’ after listening to a story about animals"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA03,Use short phrases to express ideas,,"Communicating ideas using phrases, for example ‘fast car’ or ‘loud music’"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA03,Use short phrases to express ideas,,"Contributing an idea to the construction of a class story; for example, ‘The car is blue.’ when asked what colour the car should be"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA04,Use short phrases to describe objects,,"Using their preferred communication modality to describe characteristics of an object using short phrases such as when describing an object as ‘hard’ or ‘soft,’ ‘hot’ or ‘cold’"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA04,Use short phrases to describe objects,,"Identifying the attributes of familiar objects and using their preferred communication modality to describe characteristics of the object, for example ‘Book is small.’ and ‘Ball is round.’"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA05,Identify an image or object that represents an idea from a shared text,,"Responding to questions about the shared text; for example, choosing ‘mouse’ when asked ‘Who is in the house?’"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA05,Identify an image or object that represents an idea from a shared text,,"Choosing from a selection of images or words; for example, selecting an image of a boat to represent a pirate ship"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA06,Use learnt vocabulary related to personal interests and topics taught at school,,"Building their vocabulary; for example, selecting from a bank of related images and/or words such as ‘ocean’, ‘icebergs’, ‘penguins’, ‘polar bears’ when learning about polar environments"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA06,Use learnt vocabulary related to personal interests and topics taught at school,,"Demonstrating understanding of frequently used, simple phrases or sentences; for example, moving to the sink after an adult communicates ‘Wash your hands.’"
English,English,Foundation C,Language,Language for expressing and developing ideas,VC2EFCLA06,Use learnt vocabulary related to personal interests and topics taught at school,,Selecting an image or word to complete class-created cloze sentences using learnt vocabulary
English,English,Foundation C,Literature,Literature and contexts,VC2EFCLE01,"Identify settings, characters and events in literary texts by Aboriginal and Torres Strait Islander authors and illustrators and a range of Australian and world authors and illustrators",,"Viewing stories and recounting a setting, character and/or event in texts by Aboriginal and Torres Strait Islander storytellers; for example, identifying an eagle representing Bunjil in an illustration from a shared story, or gum trees in photographs of an Australian bush setting"
English,English,Foundation C,Literature,Literature and contexts,VC2EFCLE01,"Identify settings, characters and events in literary texts by Aboriginal and Torres Strait Islander authors and illustrators and a range of Australian and world authors and illustrators",,"Comparing some features of culture that are revealed by settings, characters and events in stories, for example dress, food and daily routines"
English,English,Foundation C,Literature,Engaging with and responding to literature,VC2EFCLE02,Comment on the characters and events in a text,,"Selecting ‘yes’ or ‘no’ to comment on a character or event, for example when responding to questions such as ‘Did you like the prince in the book?’ and ‘Did you like the way the book ended?’"
English,English,Foundation C,Literature,Engaging with and responding to literature,VC2EFCLE02,Comment on the characters and events in a text,,"Choosing an image or word from a selection to contribute to a class comment bank about a character or event in a story; for example, contributing the words ‘funny’ or ‘tall’"
English,English,Foundation C,Literature,Engaging with and responding to literature,VC2EFCLE02,Comment on the characters and events in a text,,"Choosing an image or word to complete the sentence stem, ‘The book was …’"
English,English,Foundation C,Literature,Examining literature,VC2EFCLE03,Identify a character or event in a familiar text,,"Matching an object, image or symbol of a character or event to the corresponding illustration"
English,English,Foundation C,Literature,Examining literature,VC2EFCLE03,Identify a character or event in a familiar text,,"Naming a favourite character from a known text by selecting a representation, such as an object, image or symbol"
