SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL01,Listen for short periods of time,,"Watching and listening to what peers are doing, following a speaker and watching the teacher’s face for limited periods of time"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL01,Listen for short periods of time,,"Demonstrating that they are paying attention through some paralinguistic (non-verbal) communication; for example, using body orientation, eye contact, facial expressions, nodding, smiling, laughing and gesturing"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL01,Listen for short periods of time,,"Using some body language to respond directly to a speaker; for example, nodding and using facial expressions"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL02,Respond to repetitive questions and prompts,,"Recognising repetitive questions based on question stems such as ‘Who’, ‘Where’ and ‘When’"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL02,Respond to repetitive questions and prompts,,"Understanding a short, simple spoken text when accompanied by visual support; for example, following an explanation of a simple game or modelled instructions to complete a task such as cutting out a picture and sticking it in a book"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL02,Respond to repetitive questions and prompts,,"Giving short, simple paralinguistic (non-verbal) responses (e.g. by nodding or gesturing) and single-word utterances (e.g. ‘yes’ and ‘no’)"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL03,Participate in highly contextualised social and learning activities,,"Observing peers and copying actions in response to classroom activities; for example, getting their lunchbox from their bag, lining up when the music plays for the end of lunch break and putting scissors away at the end of a learning activity"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL03,Participate in highly contextualised social and learning activities,,"Recognising some action verbs in highly routine instructions when accompanied by teacher gestures or actions, for example in ‘Stand up.’ and ‘Sit down.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL03,Participate in highly contextualised social and learning activities,,"Borrowing key words from questions to compose answers; for example, Student 1: ‘Do you want to play chasey?’, Student 2: ‘Yeah, play chasey.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL03,Participate in highly contextualised social and learning activities,,"Responding to simple, direct questions about personal or familiar topics, for example when asked ‘Do you have a dog?’ and ‘How old are you?’"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL04,"Follow a short sequence of simple utterances, with extensive support",,"Recognising and following one- and/or 2-step instructions based on the actions of peers, for example when asked ‘Put the lid on the glue stick.’ and ‘Put your book away and sit on the mat.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL04,"Follow a short sequence of simple utterances, with extensive support",,Attentively listening and completing actions in the correct order
English,English as an Additional Language,Level AL,Listening and Speaking,Communication,VC2EALALL04,"Follow a short sequence of simple utterances, with extensive support",,"Actively participating in tasks where everyone follows the same sequence; for example, singing an action song and completing a guided activity"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL05,Recognise parts of a simple spoken text,,"Recognising common speech functions such as questions, statements and commands, for example ‘What are you eating?’ and ‘Come and sit on the floor.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL05,Recognise parts of a simple spoken text,,"Recognising a small number of familiar spoken texts used frequently in class, such as everyday vocabulary, songs, rhymes and stories"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL05,Recognise parts of a simple spoken text,,"Listening to a story, then recalling and retelling its events concisely in spoken form"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL06,"Recognise and use short, learnt phrases",,"Using single-word or phrasal responses to questions, for example ‘Yes.’, ‘No.’ and ‘I don’t know.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL06,"Recognise and use short, learnt phrases",,"Using learnt phrases in play, for example ‘Give me.’, ‘Stop it.’, ‘I don’t like.’ and ‘Very good!’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL06,"Recognise and use short, learnt phrases",,"Creating original utterances by substituting unfamiliar words in learnt patterns or formulas, for example ‘It’s home time.’ and ‘It’s go time.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL07,Construct simple subject–verb sentences that mostly use present tense,,"Constructing short, simple statements with subject followed by verb, for example ‘He sick.’ and ‘Students go home.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL07,Construct simple subject–verb sentences that mostly use present tense,,"Expressing negation using ‘no’ or ‘not’, and with adjectives or nouns, often with some errors, for example ‘I no like vegetable.’, ‘I not go.’, ‘Not hot today.’ or ‘Not me.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL07,Construct simple subject–verb sentences that mostly use present tense,,"Replying to questions using simple subject–verb sentences, for example ‘I play games.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL07,Construct simple subject–verb sentences that mostly use present tense,,Engaging in simple interactive games such as sentence construction games (e.g. He + jumps = He jumps) and role-playing (e.g. ‘describe the role and actions’)
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL08,Demonstrate placement of common adjectives and adverbs to describe or add emphasis,,"Combining an adjective with a noun to create simple noun groups, with varying degrees of accuracy, for example ‘big truck’ and ‘car blue’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL08,Demonstrate placement of common adjectives and adverbs to describe or add emphasis,,"Combining multiple adjectives to describe a noun, placing them in the correct order, for example in ‘The big red ball.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL08,Demonstrate placement of common adjectives and adverbs to describe or add emphasis,,"Using basic adverbs to vary intensity, for example in ‘very hot’ and ‘bit funny’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL09,Recognise and use a small set of frequently occurring words related to immediate communicative needs,,"Using common words related to immediate needs (such as colours, numbers, days, and family- and school-specific word sets), for example in ‘Today is Thursday.’, ‘Circle is blue.’ and ‘She my mum.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL09,Recognise and use a small set of frequently occurring words related to immediate communicative needs,,"Constructing simple sentences with high-frequency words, for example ‘I like.’, ‘He run.’ and ‘It book.’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL09,Recognise and use a small set of frequently occurring words related to immediate communicative needs,,Using classroom vocabulary charts and other environmental print resources to identify and help remember words
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL10,Attempt intelligible pronunciation,,Imitating and rehearsing pronunciation for familiar and commonly used words
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL10,Attempt intelligible pronunciation,,"Imitating and reproducing pronunciation in chants, songs and rhymes"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL10,Attempt intelligible pronunciation,,"Saying the sounds when given a word that is known, for example ‘c-a-n’ for ‘can’ and ‘sh-i-p’ for ‘ship’"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL11,Recognise and copy sentence stress and intonation patterns,,"Imitating and rehearsing stress and intonation patterns used by the teacher and peers, for example in stories, songs and rhymes"
English,English as an Additional Language,Level AL,Listening and Speaking,Text structures and linguistic features,VC2EALALL11,Recognise and copy sentence stress and intonation patterns,,"Producing accurate sentence stress and intonation for a small range of familiar and commonly used phrases, including personal language, classroom language and social formulas, for example ‘It is very hot!’ and ‘What is your name?’"
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL12,Distinguish spoken English from home language(s),,Recognising some sounds and words of English when being spoken to
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL12,Distinguish spoken English from home language(s),,Switching from a home language to English and vice versa when prompted
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL12,Distinguish spoken English from home language(s),,"Attempting to pronounce a small range of familiar words, including personal language, classroom language and some basic topic vocabulary, although often pronouncing new English words using sounds from a home language"
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL13,Use simple strategies to help spoken understanding,,"Indicating non-comprehension through facial expressions or body language and/or by attracting the teacher’s attention, for example by raising their hand"
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL13,Use simple strategies to help spoken understanding,,"Attempting to repeat, re-pronounce or self-correct key words when prompted by a listener"
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL13,Use simple strategies to help spoken understanding,,"Checking understanding of simple, familiar instructions and routines; for example, Teacher: ‘It’s playtime.’ Student: ‘Go outside?’"
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL13,Use simple strategies to help spoken understanding,,Asking peers in a home language and/or English to clarify misunderstandings
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL13,Use simple strategies to help spoken understanding,,Attempting to communicate in a mix of English and a home language
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL14,Draw on home language resources to enhance learning when listening and speaking,,Asking home language peers for help to translate personal needs and responses from a home language to English
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL14,Draw on home language resources to enhance learning when listening and speaking,,Asking home language peers to explain an idea in a home language and asking for a translation in English
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL14,Draw on home language resources to enhance learning when listening and speaking,,Referring to a bilingual dictionary for a translation in English
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL15,Use basic spoken social formulas and gestures to interact in context,,Listening to and observing others to understand the nature of basic social interactions
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL15,Use basic spoken social formulas and gestures to interact in context,,Interacting by copying the actions of peers
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL15,Use basic spoken social formulas and gestures to interact in context,,"Responding to comments in simple paralinguistic (non-verbal) ways, for example by shaking or nodding their head in response to questions"
English,English as an Additional Language,Level AL,Listening and Speaking,Plurilingual and cultural strategies,VC2EALALL15,Use basic spoken social formulas and gestures to interact in context,,"Copying learnt social formulas when interacting with others; for example, saying ‘please’ and ‘thank you’"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR01,Look for meaning in texts,,Indicating to a sign and asking the teacher or a peer to read it aloud and explain the meaning
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR01,Look for meaning in texts,,Recognising that print and digital texts are created to share a message or idea
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR01,Look for meaning in texts,,"Selecting from familiar texts to achieve a specific purpose; for example, pointing to the correct chart when the teacher asks, ‘Which chart tells us about time?’"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR01,Look for meaning in texts,,Recalling the key message of sections of a familiar text that is revisited in class
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR02,"Recognise familiar words and formulaic utterances, with extensive teacher support",,"Recognising some familiar, personally significant words in context, for example when seeing their own name above their bag hook or locker, or peers’ names on labels and days of the week"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR02,"Recognise familiar words and formulaic utterances, with extensive teacher support",,"Identifying some familiar vocabulary (mainly content words) in a supported context, for example during shared reading or teacher-led discussion of a classroom text"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR02,"Recognise familiar words and formulaic utterances, with extensive teacher support",,"Reading some familiar words and short phrases in context, for example on everyday signs and labels, familiar names, some letters, basic numbers and some common logos"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR03,"Identify signs and images, with extensive teacher support",,Using images to help identify the content of a text and predict individual words in texts about familiar topics
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR03,"Identify signs and images, with extensive teacher support",,"Identifying the main character in an image; for example, pointing to the main character in an illustration"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR03,"Identify signs and images, with extensive teacher support",,"Pointing to images of familiar words, for example to ‘apple’, ‘girl’ and ‘house’"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR03,"Identify signs and images, with extensive teacher support",,Matching a short description such as ‘a green fruit’ to an image
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR03,"Identify signs and images, with extensive teacher support",,"Following instructions on simple signs, for example when asked ‘Stop.’ and ‘Line up here.’"
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR04,"Make simple predictions about a text, with extensive teacher support",,Suggesting the topic of a text based on understanding content words in the title
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR04,"Make simple predictions about a text, with extensive teacher support",,Using the illustrations in a shared picture story to make predictions about what the text is about or what might happen next in a story
English,English as an Additional Language,Level AL,Reading and Viewing,Communication,VC2EALALR04,"Make simple predictions about a text, with extensive teacher support",,Using repeated language patterns and sounds to make predictions in a story such as <em>We’re Going on a Bear Hunt</em>
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR05,Recognise different types of texts,,"Navigating different types of texts; for example, turning the pages of a book, swiping to change the page when reading a digital text, clicking hyperlinks on a webpage and finding points of interest on a map"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR05,Recognise different types of texts,,"Understanding terms such as ‘book’, ‘author’, ‘picture’ and ‘word’"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR05,Recognise different types of texts,,Recognising that texts have a range of purposes such as telling a story or providing information
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR06,Recognise familiar words and phrases,,"Recognising and reading personally significant words, for example when seeing their own name on charts, book labels and name tags"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR06,Recognise familiar words and phrases,,"Pointing to or counting repeated words in a text, for example when asked ‘How many times can you see the word “me”?’"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR06,Recognise familiar words and phrases,,"Recognising common words and phrases from familiar charts, labels and books"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR06,Recognise familiar words and phrases,,Recognising labels such as ‘books’ and ‘recycling’ on frequently accessed classroom items
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR06,Recognise familiar words and phrases,,Blending some basic sounds to create simple words
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR07,Recognise some letters of the alphabet and some sounds in words,,Recognising and naming some letters of the alphabet
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR07,Recognise some letters of the alphabet and some sounds in words,,"Consistently identifying common letters in different words; for example, pointing to all the ‘t’s in a sentence"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR07,Recognise some letters of the alphabet and some sounds in words,,Recognising the same letters written in different handwriting styles or fonts
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR07,Recognise some letters of the alphabet and some sounds in words,,Recognising letters in their own name
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR07,Recognise some letters of the alphabet and some sounds in words,,"Recognising some vowel–consonant (VC) and consonant–vowel–consonant (CVC) words, for example ‘it’, ‘is’, ‘sat’ and ‘bad’"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR08,"Recognise capital letters, spaces and full stops",,"Showing awareness that words are separated by spaces, for example by pointing to words or counting words"
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR08,"Recognise capital letters, spaces and full stops",,Pointing to capital letters and full stops in a text
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR08,"Recognise capital letters, spaces and full stops",,Identifying names or proper nouns in a text
English,English as an Additional Language,Level AL,Reading and Viewing,Text structures and linguistic features,VC2EALALR08,"Recognise capital letters, spaces and full stops",,"Locating letters, in both lower-case and capital form, in a short text"
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR09,Identify English texts from home language texts,,"Holding a book with the correct orientation and locating the front and back of the book, based on the written language used in the text"
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR09,Identify English texts from home language texts,,Tracking with a finger from left to right when reading or listening to an English text being read aloud
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR09,Identify English texts from home language texts,,Identifying when a book is written in English and when a book is written in a home language
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR10,"Select and engage with a variety of texts, with teacher and peer support",,Looking at or reading a book in their own personal time
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR10,"Select and engage with a variety of texts, with teacher and peer support",,"Exploring a new book before reading by looking at the images, the amount of print and familiar elements"
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR10,"Select and engage with a variety of texts, with teacher and peer support",,"Selecting books in their home language(s), bilingual texts and texts related to familiar topics to share with family members"
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR10,"Select and engage with a variety of texts, with teacher and peer support",,Engaging with picture books selected by the teacher and some self-selected books
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR11,Draw on home language resources to enhance learning when reading and viewing,,Asking home language peers for help translating personal needs and responses from a home language to English
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR11,Draw on home language resources to enhance learning when reading and viewing,,Referring to home language texts to support translating unfamiliar words in English
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR11,Draw on home language resources to enhance learning when reading and viewing,,Asking home language peers to explain an idea in a home language and asking for a translation in English
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR12,Observe and begin to participate in teacher-led shared reading activities,,Listening to the teacher or a peer read texts aloud
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR12,Observe and begin to participate in teacher-led shared reading activities,,Chorusing reading with the teacher and peers
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR12,Observe and begin to participate in teacher-led shared reading activities,,"Identifying and stating key repetitive phrases such as ‘swish, swish’, ‘beep, beep’ and ‘zoom, zoom’"
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR12,Observe and begin to participate in teacher-led shared reading activities,,Imitating the pronunciation of the teacher and peers in shared reading activities
English,English as an Additional Language,Level AL,Reading and Viewing,Plurilingual and cultural strategies,VC2EALALR12,Observe and begin to participate in teacher-led shared reading activities,,"Observing and following activities to accompany texts; for example, performing actions for a song by copying the teacher or following instructions for a simple science activity"
English,English as an Additional Language,Level AL,Writing,Communication,VC2EALALW01,"Copy familiar symbols, words, phrases and short, simple sentences, with extensive teacher support",,"Tracing or copying letters, words and sentences written by the teacher"
English,English as an Additional Language,Level AL,Writing,Communication,VC2EALALW01,"Copy familiar symbols, words, phrases and short, simple sentences, with extensive teacher support",,"Copying and completing short, formulaic sentences to describe familiar objects, for example ‘This is a …’"
English,English as an Additional Language,Level AL,Writing,Communication,VC2EALALW01,"Copy familiar symbols, words, phrases and short, simple sentences, with extensive teacher support",,"Completing model sentences giving personal information, for example ‘My name is …’ and ‘I have … people in my family.’"
English,English as an Additional Language,Level AL,Writing,Communication,VC2EALALW02,"Illustrate a simple concept and label, with contextual support",,Writing the names of items depicted in images or in a caption
English,English as an Additional Language,Level AL,Writing,Communication,VC2EALALW02,"Illustrate a simple concept and label, with contextual support",,"Copying and completing short, formulaic sentences to describe images, for example ‘This is a …’"
English,English as an Additional Language,Level AL,Writing,Communication,VC2EALALW02,"Illustrate a simple concept and label, with contextual support",,Matching images with correct words
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW03,Copy a very simple text structure,,"Copying the structure of classroom texts; for example, using the same sentence stems or writing the details in the same order"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW04,Copy simple modelled sentences,,"Copying a small range of sentences from a model text, for example ‘I like …’, ‘I went to …’ and ‘Today is …’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW05,Use some basic noun–verb combinations,,"Writing simple verbs as single words or part of short phrases, for example in ‘He runs.’, ‘She ate.’ and ‘Dog woofed.’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW06,Use some basic adjective–noun combinations,,"Writing simple adjectives as single words or part of short phrases, for example in ‘tall tree’, ‘yellow sun’ and ‘cold water’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW07,Write some high-frequency words related to personal experiences and school context,,Writing their own name
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW07,Write some high-frequency words related to personal experiences and school context,,"Writing familiar high-frequency words, for example ‘it’, ‘my’ and ‘we’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW07,Write some high-frequency words related to personal experiences and school context,,"Labelling simple images, for example ‘tree’, ‘sun’ and ‘sky’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW08,Apply developing phonics knowledge to spell some vowel–consonant (VC) and some consonant–vowel–consonant (CVC) words,,Using initial letters (e.g. ‘b’ for ‘book’) or beginning and ending sounds (e.g. ‘bk’ for ‘book’) to spell words
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW08,Apply developing phonics knowledge to spell some vowel–consonant (VC) and some consonant–vowel–consonant (CVC) words,,"Spelling some high-frequency words accurately from memory, including their own name and short words used regularly"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW08,Apply developing phonics knowledge to spell some vowel–consonant (VC) and some consonant–vowel–consonant (CVC) words,,"Identifying some consonant–vowel–consonant (CVC) words, representing sounds with the appropriate letters, for example ‘s-a-t’ and ‘p-o-t’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW08,Apply developing phonics knowledge to spell some vowel–consonant (VC) and some consonant–vowel–consonant (CVC) words,,"Making plausible spelling choices using phoneme–grapheme correspondences and morphemic knowledge, for example ‘blk’ for ‘black’ and ‘rd’ for ‘read’"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW09,Use capital letters and full stops,,"Using basic punctuation, for example full stops at the end of sentences"
English,English as an Additional Language,Level AL,Writing,Text structures and linguistic features,VC2EALALW09,Use capital letters and full stops,,Using capital letters to begin sentences and names
