SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L01,"Identify the main idea in spoken texts, with some contextual support",,"Listening actively to identify the main idea in a spoken text, based on its organisational features and/or key vocabulary, using support such as prepared questions or background information"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L02,"Identify specific information, using question, preview and prediction strategies, with some contextual support",,"Identifying key words, based on learnt vocabulary and words used in questions"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L02,"Identify specific information, using question, preview and prediction strategies, with some contextual support",,"Using support materials such as questions and print text excerpts to identify key words and sequence of information in a spoken sequence of instructions, or a verbal description or explanation relating to a topic"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L02,"Identify specific information, using question, preview and prediction strategies, with some contextual support",,Matching key information in spoken texts to print information such as transcripts and vocabulary lists
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L03,"Participate in informal and formal spoken interactions and routines in familiar classroom situations with a narrow range of speakers, across the curriculum",,"Giving a sequence of instructions, or a simple description or explanation"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L03,"Participate in informal and formal spoken interactions and routines in familiar classroom situations with a narrow range of speakers, across the curriculum",,"Giving suggestions and opinions, and asking for clarification"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L03,"Participate in informal and formal spoken interactions and routines in familiar classroom situations with a narrow range of speakers, across the curriculum",,"Negotiating with peers or the teacher in a variety of situations, for example when planning a project or exchanging information"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L03,"Participate in informal and formal spoken interactions and routines in familiar classroom situations with a narrow range of speakers, across the curriculum",,Engaging in simple social conversations with peers or the teacher
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L04,Prepare and present a formal talk with some contextual support,,"Using specified criteria to plan, revise, rehearse and deliver a presentation"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L04,Prepare and present a formal talk with some contextual support,,"Attending to various features of speech, including pronunciation, volume, pace and intonation"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L04,Prepare and present a formal talk with some contextual support,,"Attending to paralinguistic (non-verbal) aspects of presentation, for example by maintaining eye contact with the audience and using body language for emphasis"
English,English as an Additional Language,Level C3,Listening and Speaking,Communication,VC2EALC3L04,Prepare and present a formal talk with some contextual support,,Creating and using memory aids such as palm cards and slides
English,English as an Additional Language,Level C3,Listening and Speaking,Text structures and linguistic features,VC2EALC3L05,Produce a range of coherent spoken texts appropriate for audience and purpose,,"Constructing statements, questions and commands with consistent accuracy"
English,English as an Additional Language,Level C3,Listening and Speaking,Text structures and linguistic features,VC2EALC3L05,Produce a range of coherent spoken texts appropriate for audience and purpose,,"Understanding and producing spoken text types such as reports, arguments and formal speeches, according to conventions"
English,English as an Additional Language,Level C3,Listening and Speaking,Text structures and linguistic features,VC2EALC3L05,Produce a range of coherent spoken texts appropriate for audience and purpose,,"Incorporating appropriate organisational features for a text type; for example, including an introduction, arguments for and against and a conclusion in a discussion"
