SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L01,"Understand a spoken text, with some teacher support",,"Making links between spoken information, and related written text and visual supports such as a video or presentation materials, to understand connections between ideas"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L01,"Understand a spoken text, with some teacher support",,"Listening to a text and paraphrasing or briefly explaining the topic, using key words to capture the main ideas"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L02,Understand more de-contextualised and complex spoken language information,,Listening to a speech on a less familiar topic or theme and responding to teacher questions appropriately
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L02,Understand more de-contextualised and complex spoken language information,,Listening to a short podcast on a familiar topic and recounting the main ideas
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L03,Initiate and participate in a range of familiar social and learning contexts,,"Interacting with the teacher in situations such as greeting, leave-taking, sharing a story and helping with a simple task"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L03,Initiate and participate in a range of familiar social and learning contexts,,"Initiating exchanges in social and learning contexts, for example by asking a question or offering a suggestion"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L03,Initiate and participate in a range of familiar social and learning contexts,,"Participating in social situations with other students, for example by having conversations about personal experience or games in the playground, and by contributing to classroom interactions including class discussions, group activities and pair work"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L03,Initiate and participate in a range of familiar social and learning contexts,,"Understanding a series of instructions and following them in sequence, for example when asked ‘Open your book to a new page. Rule up the page and write the date. Then copy the heading from the board.’"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L04,Present a simple prepared talk on a familiar topic,,"Replicating features of a selected situation; for example, using interpersonal language in a negotiation or formal expression in a talk"
English,English as an Additional Language,Level B3,Listening and Speaking,Communication,VC2EALB3L04,Present a simple prepared talk on a familiar topic,,"Practising and improving pronunciation, phrasing, fluency, intonation, volume and pace when rehearsing"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L05,Identify and use features of formal and informal spoken texts,,"Understanding and following the structure of formal spoken texts; for example, introducing, giving a message and concluding"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L05,Identify and use features of formal and informal spoken texts,,"Developing a style of speech appropriate to its purpose such as to inform, to persuade or to entertain"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L06,Use appropriate sequence markers,,"Understanding sequence markers in spoken texts, such as ‘first’, ‘second’ and ‘finally’, and using these to order written text or pictures"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L06,Use appropriate sequence markers,,"Structuring their own spoken texts using a variety of sequence markers, such as ‘first’, ‘finally’, ‘until’ and ‘when’, for example in recounts, procedures and explanations"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L07,Use complex verb forms with increasing accuracy,,"Applying verb tenses more consistently; for example, using most common irregular past tenses such as in ‘came’, ‘gave’, ‘thought’ and ‘said’"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L07,Use complex verb forms with increasing accuracy,,"Using correct subject–verb agreement with simple and some complex tenses, for example in ‘I go’, ‘she goes’ and ‘My cousin has come to visit.’"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L07,Use complex verb forms with increasing accuracy,,"Recognising modal verbs that express probability and possibility, for example for ‘may’, ‘will’, ‘could’ and ‘must’"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L07,Use complex verb forms with increasing accuracy,,"Understanding modality when listening to others, and responding appropriately, for example in response to ‘You may pack up, but you must stay inside.’"
English,English as an Additional Language,Level B3,Listening and Speaking,Text structures and linguistic features,VC2EALB3L07,Use complex verb forms with increasing accuracy,,"Using modal verbs to express a point of view, for example ‘I will enjoy that.’ and ‘It could fall over.’"
