SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L01,"Understand the point of view and message of an unfamiliar speaker, with minimal contextual support",,Listening actively to other speakers to respond to or build on their contributions in discussions
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L01,"Understand the point of view and message of an unfamiliar speaker, with minimal contextual support",,Using information from contextual scaffolding (such as relevant background knowledge previously provided) to identify main topics and key words
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L01,"Understand the point of view and message of an unfamiliar speaker, with minimal contextual support",,Applying knowledge of text structures such as introduction and topic sentences to predict key messages and recognise repeated discourse markers
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L01,"Understand the point of view and message of an unfamiliar speaker, with minimal contextual support",,Interpreting non-verbal and evaluative language to deduce a speaker’s mood and/or feelings about a particular topic
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L02,"Extract key information or ideas from a variety of spoken texts across the curriculum, with minimal contextual support",,"Accessing and comprehending a range of cross-curricular and multimodal texts such as a guest speaker’s talk, a short film and a podcast (with captions if needed)"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L02,"Extract key information or ideas from a variety of spoken texts across the curriculum, with minimal contextual support",,"Taking notes from short talks and mini-lectures with reduced support; for example, using broad headings rather than topic-specific questions"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L02,"Extract key information or ideas from a variety of spoken texts across the curriculum, with minimal contextual support",,"Listing arguments of a speaker, identifying the tone"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L03,Participate effectively in exchanges and conversations with fluent speakers that involve changes of topic and register in the full range of classroom situations across the curriculum,,"Participating in a range of classroom exchanges, including pair and group work and class discussions"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L03,Participate effectively in exchanges and conversations with fluent speakers that involve changes of topic and register in the full range of classroom situations across the curriculum,,"Initiating classroom exchanges for a range of purposes; for example, making statements, giving instructions, asking questions, articulating opinions, offering a suggestion and/or justification, or engaging in analysis, evaluation and/or critique"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L03,Participate effectively in exchanges and conversations with fluent speakers that involve changes of topic and register in the full range of classroom situations across the curriculum,,"Negotiating with peers or teachers in a wide range of situations, for example when planning work or brainstorming ideas"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L03,Participate effectively in exchanges and conversations with fluent speakers that involve changes of topic and register in the full range of classroom situations across the curriculum,,"Contributing to conversations with a range of people such as peers, teachers and visitors about a variety of topics, for example in discussions about family or future career"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L03,Participate effectively in exchanges and conversations with fluent speakers that involve changes of topic and register in the full range of classroom situations across the curriculum,,"Shifting register; for example, changing from talking about a classroom topic to making a request"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L04,"Prepare and deliver an extended formal presentation that reflects a clear progression of ideas relevant to the audience, context and purpose",,"Using organisational features of texts, including multimodal texts, to structure and connect complex ideas logically; for example, using topic sentences or preview and review"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L04,"Prepare and deliver an extended formal presentation that reflects a clear progression of ideas relevant to the audience, context and purpose",,"Developing an appropriate style of speech for a purpose such as to inform, persuade or entertain"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L04,"Prepare and deliver an extended formal presentation that reflects a clear progression of ideas relevant to the audience, context and purpose",,"Planning and rehearsing to enhance structure, content, language and presentation style"
English,English as an Additional Language,Level C4,Listening and Speaking,Communication,VC2EALC4L04,"Prepare and deliver an extended formal presentation that reflects a clear progression of ideas relevant to the audience, context and purpose",,"Constructing a piece of text, such as a persuasive text, that flows logically and cohesively, has been researched and includes well-supported arguments using sophisticated vocabulary"
