SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L01,Listen actively,,"Responding when listening by displaying appropriate body language; for example, using body orientation, eye contact and facial expressions and gestures such as nodding or shaking their head"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L01,Listen actively,,"Providing relevant comments or ideas when responding to a spoken text; for example, providing a basic response to a question about the spoken text"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L01,Listen actively,,"Using images or other information to understand the meaning of a spoken text; for example, making a connection between an image and a short statement from a spoken text"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L01,Listen actively,,"Inferring the meaning of classroom instructions based on the actions of peers; for example, listening to instructions and following peers to complete a task"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L02,Understand key information in a short spoken or multimodal text,,"Identifying familiar words used in a spoken text (such as known vocabulary, names and colours) and common classroom action verbs (such as ‘sit’, ‘collect’, ‘open’ and ‘stop’)"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L02,Understand key information in a short spoken or multimodal text,,Pointing to parts of pictures that are mentioned in a text or conversation
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L02,Understand key information in a short spoken or multimodal text,,"Using questions to help identify relevant pieces of information; for example, Student 1: 'What colour was it?’ Student 2: ‘It was blue.’"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L02,Understand key information in a short spoken or multimodal text,,Ordering information from a short spoken text using visual images
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L02,Understand key information in a short spoken or multimodal text,,Using contextual information such as the teacher’s gestures or the actions of peers to clarify or confirm instructions
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L03,Negotiate familiar social and learning situations using language appropriate to the situation,,"Negotiating a range of familiar situations; for example, explaining a problem to a teacher, negotiating the rules of a game with a friend, participating in a class discussion, describing an object and ordering food at the school canteen"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L03,Negotiate familiar social and learning situations using language appropriate to the situation,,Participating in classroom discussions about familiar topics or new topics that are well supported by visual material and/or scaffolding provided by the teacher
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L03,Negotiate familiar social and learning situations using language appropriate to the situation,,"Participating in short, structured social interactions; for example, understanding and responding to simple questions related to personal or familiar topics by borrowing words from questions asked, such as responding ‘My hobby is …’ to ‘What is your hobby?’"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L03,Negotiate familiar social and learning situations using language appropriate to the situation,,"Making simple requests and expressing needs, thoughts and opinions; for example, making formulaic requests such as ‘Can I have a pencil, please?’ and indicating agreement or non-agreement such as saying ‘I agree.’ or ‘I don’t think so.’"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L03,Negotiate familiar social and learning situations using language appropriate to the situation,,"Expressing ideas, humour and simple opinions, and describing feelings, for example ‘I am very happy.’"
English,English as an Additional Language,Level A2,Listening and Speaking,Communication,VC2EALA2L03,Negotiate familiar social and learning situations using language appropriate to the situation,,"Using common classroom formulaic responses, for example ‘Just a minute.’, ‘Can you help me, please?’, ‘Be quiet, please.’ and ‘Can I have a paintbrush, please?’"
