SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L01,"Listen actively, attending to tone, intonation and body language",,"Demonstrating appropriate body language while listening; for example, using body orientation, eye contact, facial expressions and gestures such as nodding or shaking their head"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L01,"Listen actively, attending to tone, intonation and body language",,"Recognising how tone and intonation distinguish a statement from a question, and use this in their own utterances"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L02,"Identify some points of information in short spoken texts, with teacher support",,Identifying learnt vocabulary and sentence structures in familiar spoken texts
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L02,"Identify some points of information in short spoken texts, with teacher support",,Pointing to parts of pictures that are mentioned in a text or conversation
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L02,"Identify some points of information in short spoken texts, with teacher support",,"Using questions to help identify relevant items of information; for example, Teacher: ‘What colour was it?’ Student: ‘It was blue.’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L02,"Identify some points of information in short spoken texts, with teacher support",,"Responding to simple, familiar instructions or questions, for example to ‘Open the book to this page.’, ‘Write your name.’ and ‘How old are you?’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,Indicating agreement or non-agreement through body language or gestures (e.g. nodding or shaking their head) or using formulaic speech (e.g. ‘I agree.’ and ‘I don’t think so.’)
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,"Using some culturally appropriate conventions such as ‘excuse me’, ‘please’ and ‘thank you’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,"Using learnt formulas to make simple requests and express needs, thoughts and opinions, for example ‘What’s the time?’, ‘Oh, no!’, ‘Can I eat lunch?’ and ‘I want …’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,"Borrowing key topic words and structures from a question; for example, Teacher: ‘What is your hobby?’ Student: ‘My hobby is …’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,"Understanding common classroom action verbs such as ‘sit’, and in ‘stand up’ and ‘pack up’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,"Following simple task instructions by relying on key words or phrases in context, for example when asked ‘Open the window.’, ‘Please bring me your work.’ and ‘Use the coloured pencils.’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L03,"Participate in simple conversations and classroom routines, relying on other speakers to scaffold, interpret, clarify or elabourate",,"Providing short responses to familiar questions, for example when asked ‘How old are you?’"
English,English as an Additional Language,Level B1,Listening and Speaking,Communication,VC2EALB1L04,Reproduce or role-play short scenarios or exchanges,,"Exchanging and responding to feedback about aspects of speech with group members when rehearsing or performing role-plays, for example for phrasing, fluency, intonation, volume and pace"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L05,"Construct short utterances, with contextual support",,"Combining learnt vocabulary to describe objects and ideas, for example ‘very hot’ and ‘beautiful picture’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L05,"Construct short utterances, with contextual support",,Using a variety of familiar words in the correct order to make simple utterances
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L06,Use simple conjunctions,,"Using common vocabulary and short formulaic expressions to communicate intention, for example ‘Please shut door.’ and ‘Turn on the light.’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L06,Use simple conjunctions,,"Pointing, miming or gesturing to supplement speech"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L07,Use a range of familiar basic verb forms accurately,,"Matching simple verb tense to time words, for example in ‘Yesterday we went …’, ‘Now we can eat lunch.’ and ‘Tomorrow we will go …’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L07,Use a range of familiar basic verb forms accurately,,"Maintaining consistent tense when describing events in the past, present and future, for example ‘I walked to his house and we played games.’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L07,Use a range of familiar basic verb forms accurately,,"Understanding and attempting to use some basic expressions of modality such as ‘want to’, ‘have to’ and ‘should’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L07,Use a range of familiar basic verb forms accurately,,"Using ‘no’ or ‘not’ with verbs, adjectives and nouns to express negative forms, for example ‘Not play.’, ‘I no sad.’ and ‘Me no …’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L08,Use a narrow range of descriptive language words and phrases,,"Using a range of adjectives to express affect (such as ‘frightened’ and ‘surprised’), judgement (such as ‘naughty’ and ‘brave’) and appreciation (such as ‘interesting’)"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L08,Use a narrow range of descriptive language words and phrases,,"Forming simple noun groups that combine one or 2 adjectives with a noun, for example ‘hot day’ and ‘scary old house’"
English,English as an Additional Language,Level B1,Listening and Speaking,Text structures and linguistic features,VC2EALB1L08,Use a narrow range of descriptive language words and phrases,,"Formulating short adverbial phrases, for example ‘on my bike’, ‘with his brother’ and ‘every week’"
