SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English,Year 6,Language,Language for interacting with others,VC2E6LA01,Understand how language varies as levels of formality and social distance change,,"Recognising language protocols for formal address, for example words used to address principals, heads of state and monarchs"
English,English,Year 6,Language,Language for interacting with others,VC2E6LA01,Understand how language varies as levels of formality and social distance change,,"Discussing levels of language such as slang, colloquial, conversational and formal, and how their appropriateness changes with the situation and audience"
English,English,Year 6,Language,Language for interacting with others,VC2E6LA01,Understand how language varies as levels of formality and social distance change,,Presenting ideas and opinions at levels of formality appropriate for the context and audience
English,English,Year 6,Language,Language for interacting with others,VC2E6LA02,"Understand the uses of objective and subjective language, and identify bias",,"Identifying language choices that evoke emotion and judgements in direct and indirect ways, and how they are used to persuade different audiences to take a position and/or action"
English,English,Year 6,Language,Language for interacting with others,VC2E6LA02,"Understand the uses of objective and subjective language, and identify bias",,"Understanding when to share feelings and opinions (for example, in a personal recount) and when to remain more objective (for example, in a factual recount)"
English,English,Year 6,Language,Language for interacting with others,VC2E6LA02,"Understand the uses of objective and subjective language, and identify bias",,"Differentiating between reporting facts (for example, in a factual recount or unedited photograph) and providing a commentary (for example, in an editorial)"
English,English,Year 6,Language,Text structure and organisation,VC2E6LA03,"Explain how different types of texts are typically organised into characteristic stages and phases depending on purposes, recognising how authors often adapt text structures and language features",,"Exploring a range of everyday, community, literary and informative texts, discussing elements of text structure and language features, and comparing the overall structure and effect of authors’ choices in 2 or more texts"
English,English,Year 6,Language,Text structure and organisation,VC2E6LA03,"Explain how different types of texts are typically organised into characteristic stages and phases depending on purposes, recognising how authors often adapt text structures and language features",,Examining a text to identify strategies such as exaggeration to create humour
English,English,Year 6,Language,Text structure and organisation,VC2E6LA03,"Explain how different types of texts are typically organised into characteristic stages and phases depending on purposes, recognising how authors often adapt text structures and language features",,"Recognising that texts are organised into stages, such as an introduction, and that introductions may be divided into phases; for example, the introduction stage of a narrative may begin with a phase that is a ‘hook’ or a flashback"
English,English,Year 6,Language,Text structure and organisation,VC2E6LA03,"Explain how different types of texts are typically organised into characteristic stages and phases depending on purposes, recognising how authors often adapt text structures and language features",,"Explaining the characteristic stages and phases in reviews, discussing alternative positions or historical recounts, and identifying any adaptations of typical structures or language features"
English,English,Year 6,Language,Text structure and organisation,VC2E6LA04,"Understand that sequence and cohesion can be created by the intentional use of repetition of text structures, language features and vocabulary",,"Noting how a general word is often used for a more specific word already mentioned (word association), for example ‘Look at those apples. Granny Smiths are my favourite.’"
English,English,Year 6,Language,Text structure and organisation,VC2E6LA04,"Understand that sequence and cohesion can be created by the intentional use of repetition of text structures, language features and vocabulary",,Recognising how cohesion can be developed through repeating key words or by using synonyms or antonyms
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA05,"Understand how embedded clauses can expand the variety of complex sentences to elaborate, extend and explain ideas",,"Investigating how the choice of conjunctions enables the construction of complex sentences to extend, elaborate on and explain ideas, for example ‘The town that was flooded suffered extensive damage.’"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA05,"Understand how embedded clauses can expand the variety of complex sentences to elaborate, extend and explain ideas",,"Creating complex sentences with embedded clauses to expand noun groups, for example ‘Hamish studied the rock samples that he had collected on the excursion, to complete his report.’"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA06,"Understand how the choice of verb, elaborated tenses and a range of adverb groups can expand and sharpen ideas",,"Knowing that the simple present tense is typically used to talk about present states (for example, ‘He lives in Darwin.’) or actions that happen regularly in the present (for example, ‘He watches television every night.’) or that represent ‘timeless’ happenings, such as in informative reports (for example, ‘Bears hibernate in winter.’)"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA06,"Understand how the choice of verb, elaborated tenses and a range of adverb groups can expand and sharpen ideas",,"Knowing that there are various ways in English to refer to future time, such as using the auxiliary ‘will’ (for example, ‘She will call you tomorrow.’), using the present tense (for example, ‘Tomorrow, I leave for Hobart.’) and using adverbials of time (for example, ‘She arrives in the morning.’)"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA06,"Understand how the choice of verb, elaborated tenses and a range of adverb groups can expand and sharpen ideas",,"Using precise verbs (for example, ‘slice’, ‘dice’, ‘fillet’ and ‘segment’) rather than general words (for example, ‘cut’)"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA07,"Identify the ways that still images (such as figures, tables, diagrams, maps and graphs), moving images and sound are used in texts to create point of view",,"Observing how sequential events can be represented visually by a series of images, including comic strips, timelines, photo stories, procedure diagrams and flow charts, life cycle diagrams and the flow of images in picture books"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA07,"Identify the ways that still images (such as figures, tables, diagrams, maps and graphs), moving images and sound are used in texts to create point of view",,"Observing how concepts, information and relationships can be represented visually through tables, maps, graphs and diagrams"
English,English,Year 6,Language,Language for expressing and developing ideas,VC2E6LA07,"Identify the ways that still images (such as figures, tables, diagrams, maps and graphs), moving images and sound are used in texts to create point of view",,Understanding that images and maps may be sensitive for Aboriginal and Torres Strait Islander Peoples and ensuring that a disclaimer is applied or judgement is used about cultural appropriateness and sensitivities
