SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L01,Engage in active listening,,Actively watching and following what teachers and peers are doing and interacting appropriately by copying the actions of peers
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L01,Engage in active listening,,"Using a variety of body language to respond to a speaker; for example, nodding, eye contact, posture (such as leaning forward), gestures and facial expressions"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L01,Engage in active listening,,Identifying key words and phrases that refer to known objects in the classroom or locations in the school
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L01,Engage in active listening,,"Recognising simple rhymes, songs with actions or lists of words, for example for days of the week and colours of the rainbow"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L01,Engage in active listening,,"Predicting the meaning of an unfamiliar word in a conversation, based on an understanding of the topic and other words"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L02,Respond to simple questions and prompts,,"Recognising single pieces of information from short spoken texts, for example for a number, colour or name or a key word related to personal needs (such as ‘drink’ or ‘bathroom’)"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L02,Respond to simple questions and prompts,,"Recognising and responding to less familiar action verbs in instructions when accompanied by contextual information, for example in ‘Line up, please.’ with the sound of the bell ringing for recess"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L02,Respond to simple questions and prompts,,Listening to and reproducing the sequence of ideas in a short spoken story or recount
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L03,"Participate in simple social or routine learning activities by relying on key words, paralinguistic (non-verbal) communication and context",,"Rehearsing formulas or short exchanges, based on models, for example ‘Hello, what is your name?’, ‘My name is … What is your name?’ and ‘Pleased to meet you.’"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L03,"Participate in simple social or routine learning activities by relying on key words, paralinguistic (non-verbal) communication and context",,"Using social formulas, for example ‘please’, ‘thank you’ and ‘excuse me’"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L03,"Participate in simple social or routine learning activities by relying on key words, paralinguistic (non-verbal) communication and context",,"Using learnt phrases in different situations, for example ‘What’s the time?’, ‘Oh, no!’ and ‘Very good!’"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L03,"Participate in simple social or routine learning activities by relying on key words, paralinguistic (non-verbal) communication and context",,"Expressing opinions about an experience or text in simple ways, for example ‘I like.’ and ‘Not good.’"
English,English as an Additional Language,Level A1,Listening and Speaking,Communication,VC2EALA1L03,"Participate in simple social or routine learning activities by relying on key words, paralinguistic (non-verbal) communication and context",,"Understanding common vocabulary related to personal and social needs (such as ‘toilet’, ‘pencil’ and ‘stop’) and constructing simple phrases with this vocabulary, for example ‘Go toilet?’, ‘This my pencil.’ and ‘Stop that!’"
