SubjectArea,Subject,Band,ContentCode_V2,ContentCode_V1,ContentDescription_V1,ChangeType,Comment
The Arts,Media Arts,Foundation,VC2AMAFE01,VCAMAE017,"Explore ideas, characters and settings in images, sounds and multi-modal texts  Respond to media artworks by describing ideas, characters, settings and stories (VCAMAR020)",Refined,Combines content descriptions from Explore and Represent Ideas strand and Respond and Interpret strand in VC1 to align with the change in structure of the Exploring strand in VC2. Focus on local communities
The Arts,Media Arts,Foundation,VC2AMAFE01,VCAMAR020,"Explore ideas, characters and settings in images, sounds and multi-modal texts (VCAMAE017) Respond to media artworks by describing ideas, characters, settings and stories",Refined,Combines content descriptions from Explore and Represent Ideas strand and Respond and Interpret strand in VC1 to align with the change in structure of the Exploring strand in VC2. Focus on local communities
The Arts,Media Arts,Foundation,VC2AMAFE02,VCAMAE017,"Explore ideas, characters and settings in images, sounds and multi-modal texts  Respond to media artworks by describing ideas, characters, settings and stories (VCAMAR020)",Refined,Combines content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand to align with the change in structure of the Exploring strand in VC2. Content description more focused on exploring ideas in media arts works with a focus on play
The Arts,Media Arts,Foundation,VC2AMAFE02,VCAMAR020,"Explore ideas, characters and settings in images, sounds and multi-modal texts (VCAMAE017) Respond to media artworks by describing ideas, characters, settings and stories",Refined,Combines content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand to align with the change in structure of the Exploring strand in VC2. Content description more focused on exploring ideas in media arts works with a focus on play
The Arts,Media Arts,Foundation,VC2AMAFD01,VCAMAE017,"Explore ideas, characters and settings in images, sounds and multi-modal texts",Refined,Change and addition of terminology to demonstrate the breadth of media arts practices rather than conventions. Focus on play
The Arts,Media Arts,Foundation,VC2AMAFC01,VCAMAM018,"Use media technologies to capture and edit images, sounds and text",Refined,Content description changed to align with the change in structure of the Creating strand. Deepened learning by creating media arts works to communicate ideas and explore meaning
The Arts,Media Arts,Foundation,VC2AMAFP01,VCAMAP019,Present media artworks that communicate ideas,Refined,Specific reference to ‘audiences’ has been added to develop student understanding of the relationship between a media arts work and the audience
The Arts,Media Arts,Years 1 and 2,VC2AMA2E01,VCAMAE017,"Explore ideas characters and settings in images, sounds and multi-modal texts  Respond to media artworks and consider where and why people in their local area make media artworks, including media artworks of Aboriginal and Torres Strait Islander peoples (VCAMAR024)",Refined,Two content descriptions have been combined into one to merge the Explore and Represent Ideas strand and Respond and Interpret strand of the curriculum. Change in focus to combine making and responding across the curriculum
The Arts,Media Arts,Years 1 and 2,VC2AMA2E01,VCAMAR024,"Explore ideas characters and settings in images, sounds and multi-modal texts (VCAMAE017) Respond to media artworks and consider where and why people in their local area make media artworks, including media artworks of Aboriginal and Torres Strait Islander peoples",Refined,Two content descriptions have been combined into one to merge the Explore and Represent Ideas strand and Respond and Interpret strand of the curriculum. Change in focus to combine making and responding across the curriculum
The Arts,Media Arts,Years 1 and 2,VC2AMA2D01,VCAMAM018,"Use media technologies to capture and edit images, sounds and text",Refined,Broadened the content description focused on ‘exploration’ to align with the Developing Practices strand definition
The Arts,Media Arts,Years 1 and 2,VC2AMA2C01,VCAMAM022,"Use media technologies to capture and edit images and sounds and text to tell stories  Experiment with ideas and develop characters and settings through stories using images, sounds and text (VCAMAE021) Create and present media artworks that communicate ideas and stories to an audience (VCAMAP023)",Refined,Three content descriptions have been combined to align with the concepts in the Creating strand. Students use the key concepts of Media Arts learning to construct representations
The Arts,Media Arts,Years 1 and 2,VC2AMA2C01,VCAMAE021,"Use media technologies to capture and edit images and sounds and text to tell stories (VCAMAM022) Experiment with ideas and develop characters and settings through stories using images, sounds and text  Create and present media artworks that communicate ideas and stories to an audience (VCAMAP023)",Refined,Three content descriptions have been combined to align with the concepts in the Creating strand. Students use the key concepts of Media Arts learning to construct representations
The Arts,Media Arts,Years 1 and 2,VC2AMA2C01,VCAMAP023,"Use media technologies to capture and edit images and sounds and text to tell stories (VCAMAM022) Experiment with ideas and develop characters and settings through stories using images, sounds and text (VCAMAE021) Create and present media artworks that communicate ideas and stories to an audience",Refined,Three content descriptions have been combined to align with the concepts in the Creating strand. Students use the key concepts of Media Arts learning to construct representations
The Arts,Media Arts,Years 1 and 2,VC2AMA2P01,VCAMAP023,Create and present media artworks that communicate ideas and stories to an audience,Refined,Change in strand to focus on the presentation of media artworks. ‘Creating media arts works’ now has its own strand to focus on key concepts linked to the strand definition
The Arts,Media Arts,Years 3 and 4,VC2AMA4E01,VCAMAE025,"Investigate and devise representations of people in their community, through settings, ideas and story structure in images, sounds and text  Identify intended purposes and meanings of media artworks considering who makes media artworks and the characteristics of audiences who view them in different social, historical and cultural contexts, including media artworks of Aboriginal and Torres Strait Islander Peoples (VCAMAR028)",Refined,Two content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand have been combined to align with the change in strand definitions
The Arts,Media Arts,Years 3 and 4,VC2AMA4E01,VCAMAR028,"Investigate and devise representations of people in their community, through settings, ideas and story structure in images, sounds and text (VCAMAE025) Identify intended purposes and meanings of media artworks considering who makes media artworks and the characteristics of audiences who view them in different social, historical and cultural contexts, including media artworks of Aboriginal and Torres Strait Islander Peoples",Refined,Two content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand have been combined to align with the change in strand definitions
The Arts,Media Arts,Years 3 and 4,VC2AMA4E02,VCAMAR028,"Identify intended purposes and meanings of media artworks considering who makes media artworks and the characteristics of audiences who view them in different social, historical and cultural contexts, including media artworks of Aboriginal and Torres Strait Islander Peoples",Refined,"The content description has been moved from the Respond and Interpret strand to the Exploring strand, aligning with the change in structure of the curriculum. Exploring and Responding as key concepts are now combined. Provides a focus on media arts works and practices by Aboriginal and Torres Strait Islander Peoples. Media arts works are no longer viewed as static artefacts. Embraces contemporary works and practices of Aboriginal and Torres Strait Islander Peoples"
The Arts,Media Arts,Years 3 and 4,VC2AMA4D01,VCAMAM026,"Use media technologies to create time and space through the manipulation of images, sounds and text when telling stories",Refined,Change in terminology to focus on ‘developing practices’ in VC2. Students explore and experiment with key concepts in media arts practices to create media arts works
The Arts,Media Arts,Years 3 and 4,VC2AMA4C01,VCAMAM026,"Use media technologies to create time and space through the manipulation of images, sounds and text when telling stories  Plan, create and present media artworks for specific purposes with awareness of responsible media practice (VCAMAP027)",Refined,"New content description to align with the change in structure of the strand. Students learn about the concepts of media arts, to communicate ideas and create meaning"
The Arts,Media Arts,Years 3 and 4,VC2AMA4C01,VCAMAP027,"Use media technologies to create time and space through the manipulation of images, sounds and text when telling stories (VCAMAM026) Plan, create and present media artworks for specific purposes with awareness of responsible media practice",Refined,"New content description to align with the change in structure of the strand. Students learn about the concepts of media arts, to communicate ideas and create meaning"
The Arts,Media Arts,Years 3 and 4,VC2AMA4P01,VCAMAP027,"Plan, create and present media artworks for specific purposes with awareness of responsible media practice",Refined,Change in terminology with a focus on the display or presentation of media arts works. ‘Responsible media practice’ is included in the strand definition as the focus is on ‘sharing media arts works’
The Arts,Media Arts,Years 5 and 6,VC2AMA6E01,VCAMAE029,"Explore representations, characterisations and viewpoints of people in their community, using stories, structure, settings, and genre conventions in images, sounds and text  Explain how the elements of media arts and story principles communicate meaning and viewpoints by comparing media artworks from different social, cultural and historical contexts, including media artworks of Aboriginal and Torres Strait Islander Peoples (VCAMAR032)",Refined,Content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1 have been combined. Changed to focus on elements of media arts practices to align with the definition of the Developing Practices strand in VC2. References to practices of Aboriginal and Torres Strait Islander Peoples added for inclusivity
The Arts,Media Arts,Years 5 and 6,VC2AMA6E01,VCAMAR032,"Explore representations, characterisations and viewpoints of people in their community, using stories, structure, settings, and genre conventions in images, sounds and text (VCAMAE029) Explain how the elements of media arts and story principles communicate meaning and viewpoints by comparing media artworks from different social, cultural and historical contexts, including media artworks of Aboriginal and Torres Strait Islander Peoples",Refined,Content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1 have been combined. Changed to focus on elements of media arts practices to align with the definition of the Developing Practices strand in VC2. References to practices of Aboriginal and Torres Strait Islander Peoples added for inclusivity
The Arts,Media Arts,Years 5 and 6,VC2AMA6E02,VCAMAR032,"Explain how the elements of media arts and story principles communicate meaning and viewpoints by comparing media artworks from different social, cultural and historical contexts, including media artworks of Aboriginal and Torres Strait Islander Peoples",Refined,The content description from the Respond and Interpret strand in VC1 has moved to the Exploring strand in VC2 to focus on practices and media arts works by Aboriginal and Torres Strait Islander Peoples
The Arts,Media Arts,Years 5 and 6,VC2AMA6D01,VCAMAM030,"Develop skills with media technologies to shape space, time, colour, movement and lighting, within images, sounds or text when telling stories",Refined,Changed terminology in the content description to align with the key concepts of media arts practices defined in the strand
The Arts,Media Arts,Years 5 and 6,VC2AMA6C01,VCAMAM030,"Develop skills with media technologies to shape space, time, colour, movement and lighting, within images, sounds or text when telling stories  Plan, produce and present media artworks for specific audiences and purposes using responsible media practice (VCAMAP031)",Refined,The content description has been broadened to include the key concepts of the Creating strand. Planning and producing are key skills embedded in the concepts of the strand. ‘Using responsible media practice’ has moved to the Presenting strand
The Arts,Media Arts,Years 5 and 6,VC2AMA6C01,VCAMAP031,"Develop skills with media technologies to shape space, time, colour, movement and lighting, within images, sounds or text when telling stories (VCAMAM030) Plan, produce and present media artworks for specific audiences and purposes using responsible media practice",Refined,The content description has been broadened to include the key concepts of the Creating strand. Planning and producing are key skills embedded in the concepts of the strand. ‘Using responsible media practice’ has moved to the Presenting strand
The Arts,Media Arts,Years 5 and 6,VC2AMA6P01,VCAMAP031,"Plan, produce and present media artworks for specific audiences and purposes using responsible media practice",Refined,Change in terminology with a focus on the ‘selection and presentation’ of media arts works to align with the definition of the strand. ‘Responsible media practice’ is included in the strand definition as the focus is on ‘sharing media arts works’. ‘Planning and producing’ have moved to the Creating strand
The Arts,Media Arts,Years 7 and 8,VC2AMA8E01,VCAMAR039,"Identify specific features and purposes of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore viewpoints and enrich their media arts making  Analyse how technical and symbolic elements are used in media artworks to create representations influenced by genre and the values and viewpoints of particular audiences (VCAMAR038)",Refined,Content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1 have been combined to align with the Exploring strand in VC2. Reference to artworks by Aboriginal and Torres Strait Islander Peoples has been moved into a single content description
The Arts,Media Arts,Years 7 and 8,VC2AMA8E01,VCAMAR038,"Identify specific features and purposes of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore viewpoints and enrich their media arts making (VCAMAR039) Analyse how technical and symbolic elements are used in media artworks to create representations influenced by genre and the values and viewpoints of particular audiences",Refined,Content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1 have been combined to align with the Exploring strand in VC2. Reference to artworks by Aboriginal and Torres Strait Islander Peoples has been moved into a single content description
The Arts,Media Arts,Years 7 and 8,VC2AMA8E02,VCAMAR039,"Identify specific features and purposes of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore viewpoints and enrich their media arts making",Refined,"Content description moved from Respond and Interpret strand in VC1 to Exploring strand in VC2 to align with the change in strand definitions. Provides a focus on media arts works by Aboriginal and Torres Strait Islander Peoples, including Indigenous Cultural and Intellectual Property rights"
The Arts,Media Arts,Years 7 and 8,VC2AMA8D01,VCAMAM035,"Develop and refine media production skills using the technical and symbolic elements of images, sounds and text to represent a specific story, purpose and meaning",Refined,Refined content description to broaden the understanding of media arts practice. Some content has been moved to the Creating strand
The Arts,Media Arts,Years 7 and 8,VC2AMA8D02,VCAMAM036,"Plan, structure and design media artworks for a range of purposes that engage audiences using media elements, technologies and production processes",Refined,Refined content description to broaden the understanding of media arts practice. Some content has moved to the Creating strand
The Arts,Media Arts,Years 7 and 8,VC2AMA8C01,VCAMAM036,"Plan, structure and design media artworks for a range of purposes that engage audiences using media elements, technologies and production processes",Refined,Aspects of the content description from Media Arts Practices has been moved to the Creating strand to align with the strand definition. Key concepts are used to communicate perspectives and meaning
The Arts,Media Arts,Years 7 and 8,VC2AMA8C02,VCAMAE034,Develop media representations to show familiar or shared social and cultural values and beliefs,Refined,"Content description from the Explore and Represent Ideas strands in VC1 has moved to the Creating strand of VC2. Refined content description to align with the definition of the Creating strand. Key concepts of media arts are used to construct representations and produce media arts works, linking ideas, perspective and meaning"
The Arts,Media Arts,Years 7 and 8,VC2AMA8P01,VCAMAP037,"Present media artworks within different community and institutional contexts for different audiences, with consideration of ethical and regulatory issues",Refined,Additional concepts have been added to the content description. Broadened the content description to include genre. Ethical and regulatory issues are embedded in the strand definition
The Arts,Media Arts,Years 9 and 10,VC2AMA10E01,VCAMAR045,"Analyse and evaluate how technical and symbolic elements are manipulated in media artworks to challenge representations framed by social beliefs and values in different community and institutional contexts  Analyse and evaluate a range of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore differing viewpoints and enrich their media arts making (VCAMAR046)",Refined,"Content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1 have been combined to align with the structure of the Exploring strand in VC2. The content description provides a link to the key knowledge and skills of VCE Visual Arts, Media and Visual Communication Design"
The Arts,Media Arts,Years 9 and 10,VC2AMA10E01,VCAMAR046,"Analyse and evaluate how technical and symbolic elements are manipulated in media artworks to challenge representations framed by social beliefs and values in different community and institutional contexts (VCAMAR045) Analyse and evaluate a range of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore differing viewpoints and enrich their media arts making",Refined,"Content descriptions from the Explore and Represent Ideas strand and Respond and Interpret strand in VC1 have been combined to align with the structure of the Exploring strand in VC2. The content description provides a link to the key knowledge and skills of VCE Visual Arts, Media and Visual Communication Design"
The Arts,Media Arts,Years 9 and 10,VC2AMA10E02,VCAMAR046,"Analyse and evaluate a range of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore differing viewpoints and enrich their media arts making  Analyse and evaluate how technical and symbolic elements are manipulated in media artworks to challenge representations framed by social beliefs and values in different community and institutional contexts (VCAMAR045)",Refined,"Content description has moved from the Respond and Interpreting strand in VC1 to the Exploring strand in VC2 to align with the structure of media arts practice and to align with the structure of practice in VCE Media. Links to the content, key knowledge and key skills in VCE Visual Arts, Media and Visual Communication Design"
The Arts,Media Arts,Years 9 and 10,VC2AMA10E02,VCAMAR045,"Analyse and evaluate a range of media artworks from contemporary and past times, including media artworks of Aboriginal and Torres Strait Islander Peoples, to explore differing viewpoints and enrich their media arts making (VCAMAR046) Analyse and evaluate how technical and symbolic elements are manipulated in media artworks to challenge representations framed by social beliefs and values in different community and institutional contexts",Refined,"Content description has moved from the Respond and Interpreting strand in VC1 to the Exploring strand in VC2 to align with the structure of media arts practice and to align with the structure of practice in VCE Media. Links to the content, key knowledge and key skills in VCE Visual Arts, Media and Visual Communication Design"
The Arts,Media Arts,Years 9 and 10,VC2AMA10D01,VCAMAE040,"Experiment with ideas and stories that manipulate media elements, and genre conventions to construct new and alternative viewpoints in images, sounds and text  Develop and refine media production skills to integrate and shape the technical and symbolic elements in images, sounds and text to represent a story, purpose, meaning and style (VCAMAM042)",Refined,"Content descriptions from the Explore and Represent Ideas strand and Media Arts Practices strand have been combined to align with the structural change in the strand. Includes key concepts of media arts practice. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10D01,VCAMAM042,"Experiment with ideas and stories that manipulate media elements, and genre conventions to construct new and alternative viewpoints in images, sounds and text (VCAMAE040) Develop and refine media production skills to integrate and shape the technical and symbolic elements in images, sounds and text to represent a story, purpose, meaning and style",Refined,"Content descriptions from the Explore and Represent Ideas strand and Media Arts Practices strand have been combined to align with the structural change in the strand. Includes key concepts of media arts practice. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10D02,VCAMAM042,"Develop and refine media production skills to integrate and shape the technical and symbolic elements in images, sounds and text to represent a story, purpose, meaning and style  Plan, structure and design media artworks for a range of purposes that challenge the expectations of specific audiences by particular use of media elements, technologies and production processes (VCAMAM043)",Refined,"Content from the two existing content descriptions has been embedded into a new content description that focuses on the key concepts of media arts practice that are defined in the strand. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10D02,VCAMAM043,"Develop and refine media production skills to integrate and shape the technical and symbolic elements in images, sounds and text to represent a story, purpose, meaning and style (VCAMAM042) Plan, structure and design media artworks for a range of purposes that challenge the expectations of specific audiences by particular use of media elements, technologies and production processes",Refined,"Content from the two existing content descriptions has been embedded into a new content description that focuses on the key concepts of media arts practice that are defined in the strand. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10C01,VCAMAM043,"Plan, structure and design media artworks for a range of purposes that challenge the expectations of specific audiences by particular use of media elements, technologies and production processes  Manipulate media representations to identify and examine social and cultural values and beliefs (VCAMAE041) Plan, produce and distribute media artworks for a range of community, institutional contexts and different audiences, and consider social, ethical and regulatory issues (VCAMAP044)",Refined,"Components of the Explore and Represent Ideas, Media Arts Practices and Present and Perform strands have been combined to align with the key concepts of the Creating strand. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10C01,VCAMAE041,"Plan, structure and design media artworks for a range of purposes that challenge the expectations of specific audiences by particular use of media elements, technologies and production processes (VCAMAM043) Manipulate media representations to identify and examine social and cultural values and beliefs  Plan, produce and distribute media artworks for a range of community, institutional contexts and different audiences, and consider social, ethical and regulatory issues (VCAMAP044)",Refined,"Components of the Explore and Represent Ideas, Media Arts Practices and Present and Perform strands have been combined to align with the key concepts of the Creating strand. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10C01,VCAMAP044,"Plan, structure and design media artworks for a range of purposes that challenge the expectations of specific audiences by particular use of media elements, technologies and production processes (VCAMAM043) Manipulate media representations to identify and examine social and cultural values and beliefs (VCAMAE041) Plan, produce and distribute media artworks for a range of community, institutional contexts and different audiences, and consider social, ethical and regulatory issues",Refined,"Components of the Explore and Represent Ideas, Media Arts Practices and Present and Perform strands have been combined to align with the key concepts of the Creating strand. Links to VCE Visual Arts, Media and Visual Communication Design study designs"
The Arts,Media Arts,Years 9 and 10,VC2AMA10P01,VCAMAP044,"Plan, produce and distribute media artworks for a range of community, institutional contexts and different audiences, and consider social, ethical and regulatory issues",Refined,"Change in content description to align with the key concepts and structure of the strand. Strong link to VCE Media, Visual Arts and Visual Communication Design with critical evaluation. Content has shifted from the Explore and Represent Ideas strand as students evaluate the presentation of media arts works to inform their own presentations of media arts works. Social, ethical and regulatory issues are embedded into learning in the strand"
