Term,Definition,CrossReferences,ImageFiles,Subject
Acute angle,[See: angle],angle,,Mathematics
Addition (sum),"Addition is one of the basic operations of arithmetic and algebra and involves the combination of 2 or more quantities using the [FORMULA] operator. Simple examples could include [FORMULA] or . The inverse operation of addition is subtraction.

Addition may be defined more formally depending on the context. For example:

  • for natural numbers, addition may be defined in terms of counting

addition of real numbers may be modelled using lengths of joined, distinct line segments on a number line

for sets, if [FORMULA] represents the number of elements of a set , and sets [FORMULA] and [FORMULA] are disjoint sets (that is, they have no elements in common), then: 
.

the addition of 2 fractions is defined by using a common denominator, for example: .

See also: fraction, inverse operations, number line, subtraction",fraction; inverse operations; number line; subtraction,,Mathematics
Addition facts,Addition facts are the results associated with the sums of pairs of natural numbers from 0 to 9. They are foundational to arithmetic.,,,Mathematics
Additive,"An additive is a situation or relationship that involves addition, subtraction or both: for example, giving change from a simple money transaction.",,,Mathematics
Adjacent,"The term adjacent has several meanings depending on the mathematical context. For example, in a graph (network), 2 vertices (nodes) are adjacent if they are joined by an edge. In geometry, 2 lines are adjacent if they meet at a common vertex and 2 faces in a shape are said to be adjacent if they meet at a common edge. Two fractions are adjacent if the difference between these 2 fractions is a fraction with a unit numerator (a numerator of one): for example, and [FORMULA] are adjacent since [FORMULA] .

See also: adjacent angle, edge, unit fraction",adjacent angle; edge; unit fraction,,Mathematics
Adjacent angle,"Two angles at a point are called adjacent if they share a common ray and a common vertex and lie on opposite sides of the common ray. In the diagram, the angles ∠AOC and ∠BOC are adjacent.",,"adjacent_angle_1.png,adjacent_angle_2.png",Mathematics
Algebra,"Algebra may be considered as the process of manipulating variables and constants in a mathematical expression according to fixed laws, properties or rules (for example, simplifying an expression or solving an equation). Alternatively, algebra may refer more broadly to a mathematical structure whose elements and operations satisfy a given collection of laws, and the abstract study of this structure.

See also: algebraic expression, algebraic term, variable",algebraic expression; algebraic term; variable,,Mathematics
Algebraically,"Carrying out a process symbolically using variables, constants, operations and rules is carrying it out algebraically.",,,Mathematics
Algebraic expression,"An algebraic expression is formed by combining numbers and algebraic symbols using arithmetic operations. The expression is constructed unambiguously according to the conventions and rules of algebra. For example, [FORMULA] is an algebraic expression, while [FORMULA] is not a properly formed expression.",,,Mathematics
Algebraic fraction,"An algebraic fraction is a fraction in which both the numerator and denominator are algebraic expressions. For example, [FORMULA]  and [FORMULA] are algebraic fractions.",,,Mathematics
Algebraic term,"An algebraic term is a simple algebraic expression that is often combined with other terms using operations, to form a more complicated algebraic expression. For example, [FORMULA] and [FORMULA] are terms of the quadratic expression , while [FORMULA] and [FORMULA]  [FORMULA] are terms of the expression [FORMULA] .

See also: algebraic expression, quadratic expression",algebraic expression; quadratic expression,,Mathematics
Algorithm,"An algorithm is a process that can be carried out systematically, using a well-defined set of instructions, to perform a particular task or solve a type of problem. Examples of mathematical algorithms include processes for tasks such as ordering a set of numbers from smallest to largest, multiplying many-digit decimal numbers, factorising linear expressions, determining which of 2 fractions is larger, bisecting an angle, or calculating the mean of a set of numbers.",,,Mathematics
Algorithmic thinking,"Algorithmic thinking is the type of thinking required to design, test and evaluate problem-solving processes in a systematic way, using algorithms.

See also: algorithm",algorithm,,Mathematics
Allied angle,[See: co-interior angle],co-interior angle,,Mathematics
