SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K01,"The features of government, law and key democratic values",,"Explaining the reasons why a particular decision-maker, such as a parent or the school principal, is the person making the decision and comparing this to a government, which makes decisions for a particular area"
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K01,"The features of government, law and key democratic values",,"Identifying laws that apply to students, parents, teachers and schools"
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K01,"The features of government, law and key democratic values",,"Discussing examples of freedom, fairness and equality in students’ lives"
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K02,How and why decisions are made democratically in communities,,Nominating one person to be responsible for making classroom rules and comparing this to allowing the whole class to contribute to making classroom rules
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K02,How and why decisions are made democratically in communities,,Comparing how decisions are made within a family versus within a school
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K02,How and why decisions are made democratically in communities,,"Examining the shift from monarchies to democracies over time, as in France or the USA, and where there is a mix of both, as in the UK or Japan"
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K03,The roles of local government and how members of the community use and contribute to local services,,Examining how local government is chosen and by whom
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K03,The roles of local government and how members of the community use and contribute to local services,,"Investigating what local government does, including the services it provides, such as environment and waste management, libraries, health services, parks, cultural events, pools and sport facilities, and arts and pet management"
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Government and democracy,VC2HC4K03,The roles of local government and how members of the community use and contribute to local services,,"Describing how local government services impact on the lives of students, and discussing how local groups/organisations and students can use their voices and make responsible choices about the services that impact them and their environment"
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K04,"The differences between rules and laws, why laws are important and how they affect the lives of people",,Discussing some rules that they might have in their family or with friends but that are not laws
HASS,Civics and Citizenship,Years 3 and 4,Knowledge and Understanding,Laws and citizens,VC2HC4K04,"The differences between rules and laws, why laws are important and how they affect the lives of people",,"Explaining that laws apply to everyone, whereas rules can just apply to particular groups"
