SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
HASS,History,Foundation to Year 2,"By the end of Level 2, students identify continuity and change in personal, family and community life.",Historical Knowledge and Understanding,"change,continuity,identify","VC2HH2S05,VC2HH2K02,VC2HH2K01,VC2HH2K03,VC2HH2K04,VC2HH2S06",High
HASS,History,Foundation to Year 2,"They describe significant aspects of personal and family life, and of an individual, a site or an event in their community.",Historical Knowledge and Understanding,"describe,significance","VC2HH2K04,VC2HH2S07,VC2HH2K01,VC2HH2K02,VC2HH2K05",High
HASS,History,Foundation to Year 2,They identify how changing technology has influenced the daily life of their families and close connections and in the wider community.,Historical Knowledge and Understanding,identify,"VC2HH2K06,VC2HH2K01",High
HASS,History,Foundation to Year 2,Students ask historical questions to investigate the past and sequence significant events in the past and in their lives in chronological order.,Historical Concepts and Skills,"ask,chronology,investigate,order,question,sequence,significance","VC2HH2S01,VC2HH2S02,VC2HH2K04,VC2HH2S08,VC2HH2K05,VC2HH2K06",High
HASS,History,Foundation to Year 2,Students identify the features and content of sources and the perspectives of people in the past and present.,Historical Concepts and Skills,"identify,perspectives,present,sources","VC2HH2S04,VC2HH2S03,VC2HH2S01,VC2HH2S05,VC2HH2S08",High
HASS,History,Foundation to Year 2,They identify continuities and changes in daily life by comparing the past and the present and identify the causes and consequences of those changes.,Historical Concepts and Skills,"causes,change,consequences,identify,present,sequence,use","VC2HH2S06,VC2HH2S05,VC2HH2K06,VC2HH2S04,VC2HH2K03,VC2HH2S02",High
HASS,History,Foundation to Year 2,"They identify significant individuals, events and places in their families and community.",Historical Concepts and Skills,"identify,significance","VC2HH2S07,VC2HH2K04,VC2HH2S01,VC2HH2K05",High
HASS,History,Foundation to Year 2,"Students communicate an account of their lives, their family and close connections and community using historical terms and information from sources.",Historical Concepts and Skills,"communicate,sources","VC2HH2S08,VC2HH2K01,VC2HH2K04,VC2HH2K02,VC2HH2S03,VC2HH2S04",High
HASS,History,Years 3 and 4,"By the end of Level 4, students describe continuity and change in their community and the significance of events, symbols and emblems in the celebration of Australia’s identity and diversity.",Historical Concepts and Skills,"change,continuity,describe,significance","VC2HH4K03,VC2HH4S02,VC2HH4S08,VC2HH4S06,VC2HH4K05,VC2HH4K02",High
HASS,History,Years 3 and 4,They describe the significant events and the experiences and perspectives of people in Australia between 1750 and 1800.,Historical Knowledge and Understanding,"describe,perspectives,significance","VC2HH4S04,VC2HH4K05,VC2HH4K03,VC2HH4K08,VC2HH4K09,VC2HH4S02",High
