Subject,Band,Strand,ComponentText,LinkedContentCodes,ConfidenceScore,Keywords
Health and Physical Education,Foundation,"Personal, Social and Community Health","By the end of Foundation, students identify similarities and differences between themselves and others.",VC2HPFP01,High,"between,differences,end,foundation,identify,others,similarities,themselves"
Health and Physical Education,Foundation,"Personal, Social and Community Health",They name parts of the body and outline how their body is growing and changing.,VC2HPFP02,High,"body,changing,growing,how,name,outline,parts"
Health and Physical Education,Foundation,"Personal, Social and Community Health",They demonstrate personal and social skills to interact respectfully with others.,VC2HPFP03,High,"demonstrate,interact,others,personal,respectfully,skills,social"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Students identify different emotions people experience.,VC2HPFP04,High,"different,emotions,experience,identify,people"
Health and Physical Education,Foundation,"Personal, Social and Community Health",They identify protective behaviours and help-seeking strategies to help keep themselves safe.,"VC2HPFP05,VC2HPFP06",High,"behaviours,help,identify,keep,protective,safe,seeking,strategies,themselves"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Students identify different types of health information and how it can be used in their lives.,VC2HPFP07,High,"different,health,how,identify,information,lives,types,used"
Health and Physical Education,Foundation,Movement and Physical Activity,Students apply fundamental movement skills to manipulate objects and space in a range of movement situations.,"VC2HPFM01,VC2HPFM02",High,"apply,fundamental,manipulate,movement,objects,range,situations,skills,space"
Health and Physical Education,Foundation,Movement and Physical Activity,They recognise the benefits of being physically active.,VC2HPFM03,High,"active,being,benefits,physically,recognise"
Health and Physical Education,Foundation,"Personal, Social and Community Health",Students use personal and social skills to engage in fair and inclusive play.,"VC2HPFP03,VC2HPFM05",High,"engage,fair,inclusive,personal,play,skills,social,use"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health","By the end of Level 2, students explain how personal qualities contribute to one aspect of identity.",VC2HP2P01,High,"aspect,contribute,end,explain,how,identity,level,one,personal,qualities"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",They describe physical and social changes that occur as they grow older.,VC2HP2P02,High,"changes,describe,grow,occur,older,physical,social"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",They demonstrate personal and social skills and describe strategies to develop respectful relationships.,VC2HP2P03,High,"demonstrate,describe,develop,personal,relationships,respectful,skills,social,strategies"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Students describe how emotional responses affect their own and others’ feelings.,VC2HP2P04,High,"affect,describe,emotional,feelings,how,others,own,responses"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",They apply protective behaviours and help-seeking strategies that can help keep themselves and others safe.,"VC2HP2P05,VC2HP2P06",High,"apply,behaviours,help,keep,others,protective,safe,seeking,strategies,themselves"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Students explain why health information is important for making choices.,VC2HP2P07,High,"choices,explain,health,important,information,making,why"
Health and Physical Education,Levels 1 and 2,"Personal, Social and Community Health",Students apply fundamental movement skills in different movement situations and explain how they move their body with objects and in space effectively.,"VC2HP2M01,VC2HP2M02",High,"apply,body,different,effectively,explain,fundamental,how,move,movement,objects,situations,skills,space"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,They describe factors that make physical activity safe and beneficial.,VC2HP2M03,High,"activity,beneficial,describe,factors,make,physical,safe"
Health and Physical Education,Levels 1 and 2,Movement and Physical Activity,Students develop and apply rules while cooperating with others in a range of movement contexts.,"VC2HP2M04,VC2HP2M05",High,"apply,contexts,cooperating,develop,movement,others,range,rules,while"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health","By the end of Level 4, students describe influences that strengthen resilience and identity.",VC2HP4P01,High,"describe,end,identity,influences,level,resilience,strengthen"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health","They describe strategies to respond to physical, social and emotional changes and transitions they experience.",VC2HP4P02,High,"changes,describe,emotional,experience,physical,respond,social,strategies,transitions"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health",They apply personal and social skills and strategies to interact respectfully with others.,VC2HP4P04,High,"apply,interact,others,personal,respectfully,skills,social,strategies"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health",Students describe the influences that inclusion and the challenging of stereotypes have on choices and actions.,"VC2HP4P05,VC2HP4P03",High,"actions,challenging,choices,describe,inclusion,influences,stereotypes"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health",They explain the variation in emotional responses and describe strategies to manage emotions.,VC2HP4P06,High,"describe,emotional,emotions,explain,manage,responses,strategies,variation"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health",They describe and apply protective behaviours and help-seeking strategies that can help keep themselves and others safe in online and offline situations.,"VC2HP4P07,VC2HP4P08",High,"apply,behaviours,describe,help,keep,offline,online,others,protective,safe,seeking,situations,strategies,themselves"
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health","Students interpret health information to apply strategies that can enhance their own and others’ health, safety, relationships and wellbeing.","VC2HP4P09,VC2HP4P10",High,"apply,enhance,health,information,interpret,others,own,relationships,safety,strategies,wellbeing"
