Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Foundation A,Mathematics,"By the end of Foundation Level A, students participate in and respond to structured learning experiences, including counting, sharing, and adding and taking away from collections, in practical situations.",Number and Computation,"adding,away,collection,collections,counting,experiences,foundation,including,learning,level,participate,respond,sharing,structured,students,taking","VC2MFAN04,VC2MFAN05,VC2MFAN03,VC2MFAN02,VC2MFAN01",High
Foundation A,Mathematics,Students respond to cause-and-effect experiences.,Mathematical Reasoning,"cause,effect,experiences,respond,students","VC2MFAA01,VC2MFAN01,VC2MFAN02,VC2MFAN03,VC2MFAN04,VC2MFAN05",High
Foundation A,Mathematics,Students participate in and respond to measurement activities through structured routine and non-routine activities and events during the school day.,Measurement,"activities,during,events,measurement,participate,respond,routine,school,structured,students,through",VC2MFAM01,High
Foundation A,Mathematics,Students observe and experience shapes and objects and respond to the sorting and naming of them.,Space and Geometry,"experience,naming,objects,observe,respond,shape,shapes,sorting,students,them","VC2MFASP01,VC2MFAN02,VC2MFAN05,VC2MFASP02,VC2MFAN01,VC2MFAN03",High
Foundation A,Mathematics,"Students respond when the position of their body changes, and when they move to a different environment.",Space and Geometry,"body,changes,different,environment,move,position,respond,students,their,they,when","VC2MFASP02,VC2MFASP01,VC2MFAN01,VC2MFAN02,VC2MFAN03,VC2MFAN04",High
Foundation B,Mathematics,"By the end of Foundation Level B, students identify ‘one’ object and ‘more’ objects, and recognise one or more number names.",Number and Computation,"foundation,identify,level,more,names,number,object,objects,recognise,students","VC2MFBN05,VC2MFBN01,VC2MFBN02,VC2MFBN03,VC2MFBN04,VC2MFBN06",High
Foundation B,Mathematics,"Students demonstrate an awareness of quantity and use direct comparison to determine ‘more’ and ‘different’ in practical situations, including partitioning and combining collections, sharing collections, and adding to and taking away from collections.",Number and Computation,"awareness,collection,collections,combining,comparison,demonstrate,determine,different,direct,including,more,partition,partitioning,practical,quantity,situations,students","VC2MFBN04,VC2MFBN03,VC2MFBN05,VC2MFBN06,VC2MFBN02,VC2MFBM01",High
Foundation B,Mathematics,Students initiate cause-and-effect experiences.,Mathematical Reasoning,"cause,effect,experiences,initiate,students",VC2MFBA01,High
Foundation B,Mathematics,"Students identify familiar objects as ‘big’ or ‘little’, using direct comparison in practical situations.",Mathematical Reasoning,"comparison,direct,familiar,identify,little,objects,practical,situations,students,using","VC2MFBM01,VC2MFBSP01,VC2MFBN03,VC2MFBN06,VC2MFBN05,VC2MFBSP02",High
Foundation B,Mathematics,They show anticipation in response to routine events when transitioning from one experience to another.,Statistics and Probability,"another,anticipation,events,experience,response,routine,show,they,transitioning,when","VC2MFBM02,VC2MFBN03",High
