SubjectArea,Subject,Band,Subject,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,"By the end of Level 8, students analyse how visual language and visual communication practices are used in visual communication designs they create and experience.",Developing Practices,"analyse,communication,create,designs,experience,language,level,practices,students,used,visual","VC2AVC8E01,VC2AVC8E02,VC2AVC8D02,VC2AVC8P01",High
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,"They describe ways designers across cultures, times, places and other contexts communicate ideas and information in a range of contexts and fields of design practice, including the work of Aboriginal and Torres Strait Islander Peoples.",Exploring,"aboriginal,across,communicate,contexts,cultures,describe,design,designers,fields,ideas,including,information,islander,other,peoples,places,practice,range,strait,times,torres,ways,work","VC2AVC8E01,VC2AVC8E02,VC2AVC8D02",High
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,"They identify and describe the ethical, legal and cultural responsibilities of designers working across fields of design practice and apply these principles in their own design practice.",Exploring,"across,apply,cultural,describe,design,designers,ethical,fields,identify,legal,practice,principles,responsibilities,working","VC2AVC8E01,VC2AVC8E02,VC2AVC8C01",High
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,"Students select and manipulate visual language, methods, media and materials when generating, developing and resolving design ideas, and refining concepts and solutions.",Creating,"concepts,design,developing,generating,ideas,language,manipulate,materials,media,methods,refining,resolving,select,solutions,students,visual,when","VC2AVC8E01,VC2AVC8E02,VC2AVC8D01,VC2AVC8C01,VC2AVC8C02",High
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,They document and reflect on their design practice using design terminology.,Developing Practices,"design,document,practice,reflect,terminology,using","VC2AVC8D02,VC2AVC8E02,VC2AVC8P01",High
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,They produce visual communication design solutions by applying visual language and aspects of the visual communication design process.,Developing Practices,"applying,aspects,communication,design,language,process,produce,solutions,visual","VC2AVC8D02,VC2AVC8C02",High
The Arts,Visual Communication Design,Years 7 and 8,Visual Communication Design,"Students plan, present and discuss their own and/or others’ visual communication designs considering the communication need, context and audience or user.",Creating,"and/or,audience,communication,considering,context,designs,discuss,need,others’,plan,present,students,user,visual","VC2AVC8E01,VC2AVC8C02,VC2AVC8P01",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,"By the end of Level 10, students analyse and evaluate how and why ideas and information are communicated in visual communication designs and solutions they design or experience.",Developing Practices,"analyse,communicated,communication,design,designs,evaluate,experience,ideas,information,level,solutions,students,visual","VC2AVC10E01,VC2AVC10D01",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,"They evaluate the way designers across fields of design practice from different cultures, times, places and other contexts communicate ideas and information, including evaluating the practices of Aboriginal and Torres Strait Islander designers.",Exploring,"aboriginal,across,communicate,contexts,cultures,design,designers,different,evaluate,evaluating,fields,ideas,including,information,islander,other,places,practice,practices,strait,times,torres","VC2AVC10E01,VC2AVC10E02",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,They evaluate how designers celebrate and challenge perspectives of Australian identity in visual communications across fields of design practice and in different contexts.,Exploring,"across,australian,celebrate,challenge,communications,contexts,design,designers,different,evaluate,fields,identity,perspectives,practice,visual","VC2AVC10E01,VC2AVC10E02,VC2AVC10D02,VC2AVC10P01",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,"Students select and apply visual language, methods, media and materials to generate design ideas, refine concepts and present solutions.",Creating,"apply,concepts,design,generate,ideas,language,materials,media,methods,present,refine,select,solutions,students,visual","VC2AVC10D01,VC2AVC10C01,VC2AVC10C02",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,"They document, reflect on and annotate their own visual communication design practice.",Developing Practices,"annotate,communication,design,document,practice,reflect,visual","VC2AVC10D01,VC2AVC10D02,VC2AVC10C01,VC2AVC10C02",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,Students apply the visual communication design process to address a communication need and develop visual communication designs for target audiences and users.,Creating,"address,apply,audiences,communication,design,designs,develop,need,process,students,target,users,visual","VC2AVC10D01,VC2AVC10C01,VC2AVC10C02",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,"Students manipulate methods, media and materials and use visual language to produce visual communication designs to address a communication need for target audiences and users.",Creating,"address,audiences,communication,designs,language,manipulate,materials,media,methods,need,produce,students,target,users,visual","VC2AVC10D01,VC2AVC10C01,VC2AVC10C02,VC2AVC10P01",High
The Arts,Visual Communication Design,Years 9 and 10,Visual Communication Design,"They document and evaluate their use of the visual communication design process to present visual communication designs that address specific communication needs, audiences or users and different contexts.",Creating,"address,audiences,communication,contexts,design,designs,different,document,evaluate,needs,present,process,specific,users,visual","VC2AVC10E01,VC2AVC10E02,VC2AVC10D02,VC2AVC10C01,VC2AVC10C02,VC2AVC10P01",High
