SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,Reasons for establishing a business,,1,1
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"Resources required to establish a business, such as internally and externally sourced finance",,1,2
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,Factors that lead to the success or failure of a business,,1,3
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"The role of professionals such as accountants, business advisors and professional organisations in providing advice to achieve business success",,1,4
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,Alternative investment opportunities to establishing a business,,1,5
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"Types of ownership structures, such as sole proprietor, partnership, private company and public company",,1,6
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"The accounting elements: assets, liabilities, owner's equity, revenues and expenses",,1,7
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"Current and non-current assets, and current and non-current liabilities",,1,8
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"Price-setting methods such as recommended retail price, mark-up and cost-volume-profit analysis",,1,9
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,Accounting reports and information used to assist in judging the success or failure of a business,,1,10
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KK,Outcome 1,Accounting Students,,Key Knowledge,"Ethical considerations when making decisions in relation to establishing or operating a business, and the financial implications of those choices for the reports.",,1,11
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Use correct accounting terminology,,1,1
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Research information from a range of sources,,1,2
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Discuss alternative investment opportunities to establishing a business,,1,3
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Describe the sources of finance available to a business,,1,4
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,"Distinguish between current and non-current assets, and current and non-current liabilities",,1,5
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Discuss factors affecting the level of success or failure of a business,,1,6
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Apply and use different methods of price setting,,1,7
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Describe and use accounting information presented in written reports and graphical representations to make a judgment on the success or failure of a business,,1,8
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,Apply theoretical knowledge to actual and simulated situations,,1,9
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,,Area of Study 1 - The role of accounting,,VCEACU1AS1O1KS,Outcome 1,Accounting Students,,Key Skills,"Discuss ethical considerations faced by business owners when making business decisions, and the financial implications of those choices.",,1,10
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,,Area of Study 2 - Recording financial data and reporting accounting information for a service business,,VCEACU1AS2O2KK,Outcome 2,Accounting Students,,Key Knowledge,Accounting assumptions and qualitative characteristics,,1,1
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,,Area of Study 2 - Recording financial data and reporting accounting information for a service business,,VCEACU1AS2O2KK,Outcome 2,Accounting Students,,Key Knowledge,Documents used by a business to record financial transactions,,1,2
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,,Area of Study 2 - Recording financial data and reporting accounting information for a service business,,VCEACU1AS2O2KK,Outcome 2,Accounting Students,,Key Knowledge,The nature of cash and credit transactions,,1,3
