SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVSC01,Scope of Study,,Paragraph,"VCE Accounting explores and applies the financial recording, reporting, analysis and decision making systems and processes of a sole proprietor trading business. Students study the theoretical aspects of accounting and practically apply these principles. They collect, record, report, analyse, apply, evaluate and discuss accounting information using both manual and ICT based methods.",,1
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVSC02,Scope of Study,,Paragraph,"Students apply critical thinking skills to a range of business situations. They model alternative outcomes and use financial information generated to provide accounting advice to business owners, whilst taking into account ethical as well as financial considerations.",,2
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVRA01,Rationale,,Paragraph,"Accounting is the process of collecting, recording, reporting, analysing and interpreting financial and non-financial data and accounting information, and using it to model, forecast and provide advice to stakeholders in a business. This informs decision-making within the business, with a view to improving business performance. Accounting therefore plays an integral role in the successful and management of businesses.",,1
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVRA02,Rationale,,Paragraph,"VCE Accounting prepares students for a university or Technical and Further Education (TAFE) vocational study pathway to commerce, management and accounting, leading to careers in areas such as financial accounting; management accounting; forensic (investigative) accounting; taxation; environmental accounting; management; and corporate or personal financial planning.",,2
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI01,Aims,,Paragraph,This study enables students to:,,1
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI02,Aims,,Bullet,Acquire knowledge and skills to record financial data and report accounting information in a manner that is appropriate for the needs of the user,,2
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI03,Aims,,Bullet,Develop an understanding of the role of accounting in the management and operation of a business,,3
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI04,Aims,,Bullet,Develop skills in the use of information and communications technology (ICT) in an accounting system,,4
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI05,Aims,,Bullet,Develop the skills necessary to calculate the likely costs and returns when modelling a variety of options and make recommendations for a business,,5
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI06,Aims,,Bullet,Develop an understanding of ethical considerations in relation to business decision-making,,6
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI07,Aims,,Bullet,"Develop the capacity to identify, analyse and interpret financial data and accounting information",,7
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI08,Aims,,Bullet,Develop and apply critical thinking skills to a range of business situations,,8
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVAI09,Aims,,Bullet,Use financial and other information to improve the accounting decision-making within a business.,,9
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVST01,Structure,,Paragraph,The study is made up of 4 units:,,1
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVST02,Structure,,Bullet,"Unit 1: The role of accounting in business (AC011, NHT: AC041)",,2
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVST03,Structure,,Bullet,"Unit 2: Accounting and decision-making for a trading business (AC022, NHT: AC042)",,3
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVST04,Structure,,Bullet,"Unit 3: Financial accounting for a trading business (AC033, NHT: AC043)",,4
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVST05,Structure,,Bullet,"Unit 4: Recording, reporting, budgeting and decision-making (AC034, NHT: AC044)",,5
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2,VCEACU2AS3,VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVST06,Structure,,Paragraph,Each unit deals with specific content contained in areas of study and is designed to enable students to achieve a set of outcomes for that unit. Each outcome is described in terms of key knowledge and key skills.,,6
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2",VCEAC12OVLA01,Levels of achievement,Units 1 and 2,Subheader,Units 1 and 2,,1
Business and Economics,Accounting,Years 11 and 12,"VCEACU1AS1,VCEACU1AS2,VCEACU2AS1,VCEACU2AS2",VCEAC12OVLA02,Levels of achievement,Units 1 and 2,Paragraph,"Procedures for the assessment of levels of achievement in Units 1 and 2 are a matter for school decision. Assessment of levels of achievement for these units will not be reported to the VCAA. Schools may choose to report levels of achievement using grades, descriptive statements or other indicators.",,2
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA03,Levels of achievement,Units 3 and 4,Subheader,Units 3 and 4,,3
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA04,Levels of achievement,Units 3 and 4,Paragraph,The VCAA specifies the assessment procedures for students undertaking scored assessment in Units 3 and 4. Designated assessment tasks are provided in the details for each unit in VCE study designs.,,4
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA05,Levels of achievement,,Paragraph,"The student's level of achievement in Units 3 and 4 will be determined by School-assessed Coursework (SAC), as specified in the VCE study design, and external assessment.",,5
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA06,Levels of achievement,,Paragraph,"The VCAA will report the student's level of achievement for each assessment component as a grade from A+ to E or UG (ungraded). To receive a study score, the student must achieve two or more graded assessments in the study and receive an S for both Units 3 and 4. The study score is reported on a scale of 0-50; it is a measure of how well the student performed in relation to all others who completed the study. Teachers should refer to the current VCE Administrative Handbook for details on graded assessment and calculation of the study score.",https://www.vcaa.vic.edu.au/administration/vce-vcal-handbook/Pages/index.aspx,6
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA07,Levels of achievement,,Paragraph,Percentage contributions to the study score in VCE Accounting are as follows:,,7
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA08,Levels of achievement,,Bullet,Unit 3 School-assessed Coursework: 25 per cent,,8
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA09,Levels of achievement,,Bullet,Unit 4 School-assessed Coursework: 25 per cent,,9
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA10,Levels of achievement,,Bullet,End-of-year examination: 50 per cent.,,10
Business and Economics,Accounting,Years 11 and 12,"VCEACU3AS1,VCEACU3AS2,VCEACU4AS1,VCEACU4AS2",VCEAC12OVLA11,Levels of achievement,,Paragraph,Details of the assessment program are described in the sections on Units 3 and 4 in this study design.,,11
