SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVSC01,Scope of study,,Paragraph,"VCE Business Management examines the ways businesses manage resources to achieve objectives. The VCE Business Management Study Design follows the process from the initial idea for a business concept, to planning and establishing a business, through to the day-to-day management of a business. It also considers changes that need to be made to ensure the continued success of a business. Students develop an understanding of the complexity of the challenges facing decision-makers in managing businesses and their resources.",,1
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVSC02,Scope of study,,Paragraph,A range of management theories is considered and compared with management in practice through contemporary case studies drawn from the past four years. Students learn to propose and evaluate alternative strategies in response to contemporary challenges in establishing and operating a business.,,2
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVRA01,Rationale,,Paragraph,In contemporary Australian society there is a range of businesses managed by people who establish systems and processes to achieve a variety of business objectives. These systems and processes are often drawn from both historical experience and management theories that are designed to optimise the likelihood of achieving success.,,1
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVRA02,Rationale,,Paragraph,"In studying VCE Business Management, students develop knowledge and skills that enhance their confidence and ability to participate effectively as ethical and socially responsible members of society, managers and leaders of the business community, and as informed citizens, consumers and investors.
The study of VCE Business Management leads to opportunities across all facets of the business and management field such as small business owner, project manager, human resource manager, operations manager or executive manager. Further study can lead to specialisation in areas such as marketing, public relations and event management.",,2
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVAI01,Aims,,Paragraph,This study enables students to:,,1
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVAI02,Aims,,Bullet,"Understand and apply business concepts, principles and terminology",,2
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVAI03,Aims,,Bullet,Understand the complex and changing environments in which businesses operate and how businesses must adapt to these,,3
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVAI04,Aims,,Bullet,Understand the relationships that exist between a business and its stakeholders,,4
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVAI05,Aims,,Bullet,"Recognise the contribution and significance of business within local, national and global markets",,5
Business and Economics,Business Management,Years 11 and 12,"VCEBMU1AS1,VCEBMU1AS2,VCEBMU1AS3,VCEBMU2AS1,VCEBMU2AS2,VCEBMU2AS3,VCEBMU3AS1,VCEBMU3AS2,VCEBMU3AS3,VCEBMU4AS1,VCEBMU4AS2",VCEBM12OVAI06,Aims,,Bullet,Analyse and evaluate the effectiveness of management strategies in different contexts,,6
