SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,,A,Multiple-choice questions,,,15,Header,Section A: Multiple-choice questions,,1
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,,A,Multiple-choice questions,,,,SubHeader,Instructions,,2
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,,A,Multiple-choice questions,,,,Instruction,Answer all questions in pencil on your Multiple-Choice Answer Sheet.,,3
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,,A,Multiple-choice questions,,,,Instruction,Choose the response that is correct or that best answers the question.,,4
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA1,A,Multiple-choice questions,1,Q1,1,MultipleChoice,"Toni is a wheat farmer. The sunlight and rainfall that help the wheat crops to grow are an example of
A. apublic good. | B. afree good. | C. apublic externality from consumption. | D. a private benefit from consumption.",,5
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA2,A,Multiple-choice questions,2,Q2,1,MultipleChoice,"Consider the following Production Possibility Frontier (PPF) for a hypothetical economy.
PPF for an economy s;'.
c @
-
HEEHNEEEE g
HEIENuEE g
amount B b
oearee | [ TIT T IN
HEIIEE RN
of tea
As the production of coffee increases in equal amounts, the opportunity cost in terms of tea
A. increases. | B. decreases. | C. decreases thenincreases, | D. stays the same.",,6
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA3,A,Multiple-choice questions,3,Q3,1,MultipleChoice,"Which of the fol
owing events would be most likely to shift the demand curve for a good or service to
the right?
A. adecrease in the price of the good or service | B. adecrease in levels of direct taxation | C. adecrease in the price of a substitute good or service | D. adecrease in the costs of production",,7
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA4,A,Multiple-choice questions,4,Q4,1,MultipleChoice,"Which of the following is most likely to result in an increase in aggregate demand in the economy?
A. adecrease in labour market productivity | B. anincrease in consumer confidence | C. anincrease in the cash rate | D. adecrease in business confidence",,8
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA5,A,Multiple-choice questions,5,Q5,1,MultipleChoice,": EECEEET
In the example provided in the table above, the relative price of milk between 2020 and 2024
A. cannot be determined.
8 B. remained unchanged. | C. increased. | D. decreased.",,9
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA6,A,Multiple-choice questions,6,Q6,1,MultipleChoice,"Which of the following factors are both characteristics of an expansion or upward swing in the
business cycle?
A. adecrease in production and an increase in capital investment | B. anincrease in wages and rising business profits | C. anincrease in unemployment and reduced transfer payments | D. anincrease in consumer spending and decreased business confidence",,10
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA7,A,Multiple-choice questions,7,Q7,1,MultipleChoice,"Consider the fol
owing data showing the Consumer Price Index (CPI) for a number of quarters in
a hypothetical economy.
Quarterly CPI
(index June 2012 = 100)
Jun 2021 119.5
Sep 2021 119.7
Dec 2021 121.3
Mar 2022 123.9
Jun 2022 126.1
Sep 2022 128.4
Dec 2022 130.8
Mar 2023 132.6
Jun 2023 1337 3-
The inflation rate for the year ended June 2023 was
A. 6.03% -:-,' | C. 6.94% | D. 7.60%",,11
Business and Economics,Economics,,,Year 12,Final Exam,Exam Questions,2024,"VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC24ERA,VCEEC24EQA8,A,Multiple-choice questions,8,Q8,1,MultipleChoice,"Consider a market where the demand for a good is relatively inelastic. If supply was to decrease in the
market, it is most likely that the price wil
A. decrease, and quantity demanded will decrease by a relatively smaller amount. | B. increase, and quantity demanded will decrease by a relatively smaller amount. | C. increase, and quantity demanded will decrease by a relatively larger amount. | D. decrease, and quantity demanded will fall by a relatively larger amount.",,12
