SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVSC01,Scope of study,,Paragraph,"Economics is the study of how resources are allocated to meet the needs and wants of society. It attempts
to explain how and why people behave the way they do and the consequences of their decision-making. By unpacking the economic considerations around how to best meet the needs and wants of citizens, the study of Economics provides students with valuable insight into issues that may affect them both individually and as members of society. Economics assists us in making more informed and responsible decisions and in making a contribution to public debate as active citizens.",,1
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVRA01,Rationale,,Paragraph,"The study of economics examines the role of consumers, businesses, governments and other organisations in decision-making about the allocation of resources, the production and distribution of goods and services and the effect that these decisions may have on material and non-material living standards. Developing students' understanding of economics will enable them to appreciate the reasons behind these decisions as well as the intended and unintended consequences of economic decision-making. Acquisition of economics knowledge and skills assists students to make more informed and responsible economic decisions and contribute to public discourse as informed citizens.",,1
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVRA02,Rationale,,Paragraph,"Through studying economics, students develop a range of skills, including an ability to gather, organise, analyse and synthesise a wide selection of economics information. They undertake independent inquiry, think critically and work collaboratively with their peers to develop viable solutions to contemporary economic issues. They consider the way in which economic agents respond to incentives, disincentives, make trade-offs, weigh up costs and benefits and make judgments about what is efficient and what is fair. They utilise economic models and the tools of economists effectively to analyse and evaluate the decisions made by key economic agents. In the process students appreciate the different viewpoints about issues that may affect the modern economy and broader society.",,2
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVRA03,Rationale,,Paragraph,"Over time, the changing nature of work will require students to be equipped with the kinds of transferrable, problem-solving, communication, evaluation and critical analysis skills developed through the study of economics. These skills can be used across many employment fields, including foreign affairs, banking, finance, health, environment and education. Economics leads to a broad range of career options such as economist, journalist, public policy advisor, political consultant, media commentator, entrepreneur, business owner, environmental manager, investment banker, investment analyst, management consultant, business analyst, actuary, accountant, academic, teacher, stockbroker, banker, town planner and many more.",,3
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVAI01,Aims,,Paragraph,This study enables students to:,,1
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVAI02,Aims,,Bullet,Develop skills that equip them for active participation in contemporary debate,,2
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVAI03,Aims,,Bullet,Evaluate the effectiveness of government policy responses,,3
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVAI04,Aims,,Bullet,Develop a critical perspective and think creatively about approaches to economic problems,,4
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVAI05,Aims,,Bullet,"Understand how the Australian economy operates, including the role of consumers, businesses and governments and other key groups in the economy",,5
Business and Economics,Economics,Years 11 and 12,"VCEECU1AS1,VCEECU1AS2,VCEECU1AS3,VCEECU2AS1,VCEECU2AS2,VCEECU3AS1,VCEECU3AS2,VCEECU3AS3,VCEECU4AS1,VCEECU4AS2",VCEEC12OVAI06,Aims,,Bullet,Understand and apply relevant economic theories and concepts,,6
