SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,,A,Section A,,,40,Header,Section A: Section A,,1
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,,A,Section A,,,,SubHeader,Instructions,,2
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,,A,Section A,,,,Instruction,Answer all questions in the spaces provided.,,3
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,,A,Section A,,,,Instruction,Write your responses in English.,,4
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA1,A,Section A,1,Q1,5,Question,"Louise, a financial advisor, encouraged 22 of her clients to each give her $10000 to invest
in a new gold mine. However, the mine did not exist and the clients lost their money. As
result, the clients are planning to sue Louise for compensation in the County Court.",,5
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA1,A,Section A,1a,Q1a,2,SubQuestion,Outline the burden of proof and the standard of proof that will apply in this civil case.,,6
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA1,A,Section A,1b,Q1b,3,SubQuestion,"To what extent would it be appropriate for Louise's clients to initiate a class action
against Louise?",,7
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA2,A,Section A,2,Q2,4,Question,"Jai has been found guilty of the attempted murder of Georgia and has been sentenced to a term of
imprisonment.
Explain what a victim impact statement is and how it may be considered by the judge when
sentencing Jai.
e -~
- -
e
------ o
E---------------- o",,8
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA3,A,Section A,3,Q3,13,Question,"The Australian Constitution limits the powers of the Commonwealth Parliament in
law-making and it is dif icult to change. Only eight referendum questions out of 45 since
Federation have been successful in bringing about constitutional reform.",,9
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA3,A,Section A,3a,Q3a,2,SubQuestion,"Outline one reason why the wording of the Australian Constitution may need to be
reformed.",,10
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA3,A,Section A,3b,Q3b,6,SubQuestion,"Analyse two factors that may affect the success of future constitutional reform through
the referendum process.",,11
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA3,A,Section A,3c,Q3c,5,SubQuestion,"Other than the referendum process, discuss another way the Australian Constitution
acts as a check on the law-making powers of the Commonwealth Parliament.",,12
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA4,A,Section A,4,Q4,8,Question,"Evaluate the ability of parliamentary committees or Royal Commissions to influence legislative reform.
Support your answer with reference to one example of a recommendation for law reform by one
parliamentary committee or one Royal Commission.
- OO O O O O O O OO OO s
e
------ s
e",,13
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU3AS1,VCELSU3AS2",VCELS24ERA,VCELS24EQA5,A,Section A,5,Q5,10,Question,"Victorian Civil and Administrative Tribunal (VCAT) is always the most appropriate institution for
resolving civil disputes and achieving the principles of justice in Victoria.'
Discuss the extent to which you agree with this statement.
-
- OO O O O O O O OO OO
e
------ m
4
------
= - OO0O0O0O0OOOOOOOOOOOOO0O0O0O0O0O0O0O0O0O0O0O0O909606@©-~-- 0696696
= e
------
End of Section",,14
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,,B,Section B,,,40,Header,Section B: Section B,,1
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,,B,Section B,,,,SubHeader,Instructions,,2
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,,B,Section B,,,,Instruction,Answer all questions in the spaces provided.,,3
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,VCELS24EQB1,B,Section B,1,Q1,21,Question,"Luke was charged with contempt of court for carrying out research while he was a juror in a trial in the
County Court. It was alleged that Luke failed to comply with the trial judge's direction to the jury to not
conduct their own enquiries about the case or the accused.
Despite warnings from judges, there have been several instances of jurors undertaking independent
research. When this occurs, a jury is discharged. Failure to follow a direction of the judge is classified as
contempt of court - an indictable offence.
Luke pleaded not guilty to his contempt of court charge, which will be heard summarily in the
Court. His defence lawyer submitted that her client thought the judge's direction to
not conduct enquiries was limited to factual matters related to the crime itself and did not extend to
legal enquiries about things such as legal terminology, and therefore Luke did not possess criminal
intent. Luke was convicted in the Magistrates' Court and fined 120 penalty units, equating to a fine of
approximately $23 000. Luke has lodged an appeal.
Source
Juries Act 2000 (Vic) :
78A Panel member or juror must not make enquiries about trial matters
(1) Aperson who is - 8[
(a) on a panel for a trial; or
(b) ajurorin a trial
must not make an enquiry for the purpose of obtaining information about a party to the trial or any
matter relevant to the trial, except in the proper exercise of his or her functions as a juror.
Penalty: 120 penalty units.
Source: Juries Act 2000 (Vic), Victorian Legislation, <https://www.legislation.vic.gov.au/in-force/acts/juries-act-2000/059>
Source
Penalty units are indexed and increase on July 1 each year. For the 2023-2024 financial year,
penalty unit was equivalent to $192.31.
Under the Sentencing Act 1991 (Vic), the maximum fine that can be imposed by a magistrate on an
individual convicted of an indictable offence tried summarily is 500 penalty units.",,4
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,VCELS24EQB1,B,Section B,1a,Q1a,3,SubQuestion,"Describe one right Luke has as the accused in his criminal case in the
Court.",,5
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,VCELS24EQB1,B,Section B,1b,Q1b,5,SubQuestion,"Luke believes the magistrate made an error in applying the law to his case and has
lodged an appeal.
Discuss the extent to which appeals promote the principle of fairness in the Victorian
criminal justice system.",,6
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,VCELS24EQB1,B,Section B,1c,Q1c,3,SubQuestion,"Inhearing the appeal in Luke's case, the judge was required to interpret section 78A of
the Juries Act 2000 (Vic). Suggest why this section may have required interpretation.",,7
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,VCELS24EQB1,B,Section B,1d,Q1d,6,SubQuestion,Analyse two roles of the jury in the County Court case in which Luke was a juror.,,8
Business and Economics,Legal Studies,,,Year 12,Final Exam,Exam Questions,2024,"VCELSU4AS1,VCELSU4AS2",VCELS24ERB,VCELS24EQB1,B,Section B,1e,Q1e,4,SubQuestion,"Analyse the ability of a fine to achieve both specific and general deterrence in
Luke's case.",,9
