SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,LanguageType,LanguageHeader,LanguageContent,Sequence
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,Some strategic language choices included language used to:,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Strategically characterise key stakeholders, for example, ‘obnoxiously loud’, ‘safe space’, ‘they offer’",2
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Encompass the community, but also distinguish between ‘lesser’ gyms, and to present collective responsibility through the use of pronouns and other strategies",3
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Appeal to the audience’s values, for example, ‘you have built your fitness’, ‘we are a community’, ‘they understand our’",4
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Highlight dichotomies, for example, ‘selfies on their socials’ versus ‘all bodies and all fitness journeys’",5
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Lighten the mood to imply the issue was not serious, for example, ‘worked together / worked out together’, ‘sweet delight to work with’",6
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Minimise the moral dilemma, for example, ‘uncomfortable’, ‘alternate funding’, ‘limited nutritional benefit’",7
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Escalate emotional responses, for example, ‘dire’, ‘bleak’, ‘closing … entirely’, ‘a carpark’, ‘be demolished!’, ‘lifeline’",8
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Reassure, for example, ‘guarantee’, ‘an opportunity’, ‘allow our imperfect community to flourish’",9
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Imply one option, for example, ‘only viable solution’, ‘a lifeline’, ‘we are voting for many’",10
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Reframe the dubious association, for example, lollies bring ‘joy’, ‘fun and laughter are … important … to health’, ‘our imperfect community’",11
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Language,,"Pivot from the bleak to the optimistic, for example, ‘But we have found another option. A lifeline.’",12
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Visual,Some strategic visual cues used in the images included:,,13
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Visual,,Employing figurative associations,14
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Visual,,Establishing atmosphere,15
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Visual,,Using slogans,16
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Visual,,Using symbols,17
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Visual,,Giving a representation of gym members.,18
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Closing,Students were not expected to laboriously identify and discuss every element. They were expected to select what was most pertinent to the persuasion to demonstrate their analytical capacity.,,19
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLNG,Closing,"Students were also invited to discuss the interplay between argument, language and visual elements of the text.",,20
