SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,SectionHeader,SectionHeaderDescription,SectionHeaderContent,ReportCoverage,Sequence
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARAH,Section A: Analytical response to a text,"In Units 3 and 4, students explored two of the 20 texts on the 2024 VCE English and English as an Additional Language (EAL) text list. The exam invited students to write an essay of analysis on one of these two texts. For each text there was a choice of two topics. These topics invited students to consider the ideas and/or values that the author presented in relation to the topic.",,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARARC,,,,Topics,2
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARARC,,,,Verbs used in topics,3
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARARC,,,,Implications,4
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARARC,,,,Expected Qualities,5
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARARC,,,,Strategies that enhanced responses,6
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARARC,,,,Strategies that limited responses,7
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBH,Section B: Creating a text,"In Units 3 and 4 students explored one of the four Frameworks of Ideas and associated mentor texts on the 2024 VCE English and English as an Additional Language (EAL) text list. The exam invited students to create a text that responded to a nominated title, at least one of the three pieces of stimulus material provided and explored meaningful ideas associated with the selected Framework of Ideas.",,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Assessment,2
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Strategies that enhanced responses,3
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Strategies that limited responses,4
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Responses,5
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Framework of Ideas 1: Country,6
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Framework of Ideas 2: Protest,7
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Framework of Ideas 3: Personal Journeys,8
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEEEARB,VCEEEARBRC,,,,Framework of Ideas 4: Play,9
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCH,Section C: Analysis of argument and language,"Students were invited to ‘write an analysis of the ways in which arguments, written and spoken language and visuals were used … to persuade the intended audience to share a point of view.’ As with the other sections of the exam, this section was assessed holistically using the assessment criteria and expected qualities. Benchmarks were used to establish the standard required in each of three interrelated skills.",,,1
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCRC,,,,Strategies that enhanced responses,2
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCRC,,,,Strategies that limited responses,3
