SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQCriteriaCode,Section,EQCriteriaSectionHeader,EQCriteriaType,EQCriteriaDescription,Sequence
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQAAC01,A,Analytical response to a text,Assessment Criteria,"knowledge and understanding of the text, its structure, and the ideas, concerns and values it explores",1
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQAAC02,A,,Assessment Criteria,development of a coherent analysis in response to the topic,2
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQAAC03,A,,Assessment Criteria,use of evidence from the text to support the analysis,3
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQAAC04,A,,Assessment Criteria,use of fluent expression through appropriate use of vocabulary and conventions of Standard Australian English,4
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQBAC01,B,Creating a text,Assessment Criteria,"use of relevant idea(s) drawn from one Framework of Ideas, the title provided and at least one piece of stimulus material",1
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQBAC02,B,,Assessment Criteria,creation of a cohesive text that connects to a clear purpose(s) and incorporates an appropriate voice,2
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQBAC03,B,,Assessment Criteria,use of suitable text structure(s) and language features to create a text,3
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQBAC04,B,,Assessment Criteria,"use of fluent expression, including the appropriate use of vocabulary",4
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQCAC01,C,Analysis of argument and language,Assessment Criteria,"understanding of contention, argument(s), and point of view",1
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQCAC02,C,,Assessment Criteria,analysis of the ways in which written and spoken language and visuals are used to present an argument(s) and to persuade an intended audience,2
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQCAC03,C,,Assessment Criteria,use of evidence from the text to support the analysis,3
English,English,12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQCAC04,C,,Assessment Criteria,use of fluent expression through appropriate use of vocabulary and conventions of Standard Australian English,4
