SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,ExamResponsesSkillType,ExamResponsesSkillHeader,ExamResponsesSkill,ExamResponsesExplanation,ExamResponsesExample,Sequence
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,ExaminerCommentary,Question 1,This question was invalidated because it does not align with the study design.,,,1
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,ExaminerCommentary,Question 2,"Students were required to identify when Koslowski’s purpose in the interview was to establish Alcott’s identity and then discuss this using a quoted example with appropriate metalanguage. A wide variety of responses were accepted, the most common referring to the variation of domains in which Alcott has been involved, such as in the declarative listing of ‘sport … politics … healthcare’ (22–23).",,,2
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,LimitedStrategies,Question 2,"While students approached this question well, more engagement with the text was warranted, particularly by providing specific details of Alcott’s contributions. Metalanguage was by and large accurate; however, occasionally students referred to how Alcott establishes his own contributions, rather than how Koslowski does, which did not answer the question.",,,3
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,EnhancedStrategies,Question 2,The following is an example of a high-scoring response.,,,4
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,StudentResponse,Question 2,High-scoring student response,,"Syntactic listing in L21–24 ""and you started with sport and... into politics and healthcare...onto representation"" illustrates the myriad of domains in society Alcott has contributed to with the overall declaration from L18 to L24.",5
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,ExaminerCommentary,Question 3,"This question had multiple requirements, such as being able to discuss a politeness strategy, such as attending to a positive or negative face need, as well as valid discussions about how a tenor was created by that strategy. Many students neglected to do both of these successfully, and more careful revision of discussion of politeness in particular is warranted.",,,6
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,EnhancedStrategies,Question 3,"To receive full marks, students needed to accurately identify the type of politeness being addressed, such as the positive politeness strategy of complimenting or the negative politeness strategy of hedging. They were also required to refer to how this strategy influenced the tenor of the conversation; that is, the tenor it contributed to forming.",,,7
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,EnhancedStrategies,Question 3,"Most students successfully chose to discuss positive politeness, but both positive and negative politeness strategies were used within the interview. Many of the strategies used by both Alcott and Koslowski contributed to a warm, professional tenor that was both respectful and friendly.",,,8
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,EnhancedStrategies,Question 3,The following is an example of a high-scoring response.,,,9
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,StudentResponse,Question 3,High-scoring student response,,K employs the positive politeness strategy of offering a compliment as he utters 'thank you for joining us' (line 2) to display his gratitude towards A in choosing to be featured on the podcast. This influences the tenor to be conversational and friendly in nature as A's positive face needs are being met because his contribution as an interlocutor on the podcast is acknowledged and recognised in an inviting manner by K.,10
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,ExaminerCommentary,Question 4,"This question allowed students to explore the situational context of the text and relate these to how, why and when the function changed. Reference to Jakobson’s functions was usually done well, but these functions were not always specifically related to aspects of the situational context as per the study design. Sometimes, more metalanguage could have been used to analyse language features that contributed to the fulfilment of various functions.",,,11
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,EnhancedStrategies,Question 4,"Full marks could be achieved in a number of ways, such as by discussing a change from one function to another in detail, with quotes and metalanguage to refer to the situational context, including metalanguage to discuss how that change is made, not just that it has occurred. Similarly, students could also have discussed two or more instances of a change from one function to another, with quotes and metalanguage to tie this to a situational context. They were not required to use additional metalanguage alongside the quoted extracts; it was appropriate to focus on metalanguage in terms of context.",,,12
English,English Language,Year 12,Final Exam,Post Exam Report,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,A,LimitedStrategies,Question 4,"Students should be guided by the study design when responding to these types of questions. A number of responses did not accurately refer to elements of the situational context, which include setting, field, tenor, mode and audience.",,,13
