SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,Language as a meaning-making system that can be both arbitrary and governed by conventions,,1,1
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,Major functions that language serves when used in a given context,,1,2
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,The properties that distinguish human communication as unique,,1,3
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,"The influence of register, tenor and audience",,1,4
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,"The influence of situational and cultural contexts - including field, language mode, setting and text type - and authorial intent on language choice and preparedness",,1,5
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,"The subsystems of language: morphology, lexicology, syntax and semantics",,1,6
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,"Introduction to the subsystems of language: phonetics and phonology, and discourse and pragmatics",,1,7
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,"Features that distinguish speech from writing, such as paralinguistics and prosodics",,1,8
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKE,Outcome 1,English Language Students,,Key Knowledge,Metalanguage to discuss aspects of the nature and functions of human language,,1,9
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KSE,Outcome 1,English Language Students,,Key Skills,Identify and describe key linguistic concepts as they relate to the nature and functions of human language,,1,1
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KSE,Outcome 1,English Language Students,,Key Skills,"Explore and use the subsystems of language: morphology, lexicology, syntax and semantics",,1,2
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KSE,Outcome 1,English Language Students,,Key Skills,Use key concepts and metalanguage to identify and describe language use in an objective and a systematic way through spoken and written Australian texts,,1,3
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKEAL,Outcome 1,EAL Students,,Key Knowledge,Language as a meaning-making system that can be both arbitrary and governed by conventions,,1,1
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKEAL,Outcome 1,EAL Students,,Key Knowledge,Major functions that language serves when used in a given context,,1,2
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,,VCEELU1AS1O1KKEAL,Outcome 1,EAL Students,,Key Knowledge,The properties that distinguish human communication as unique,,1,3
