SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,Header,Section A: Short-answer questions,,1
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,SubHeader,Instructions,,2
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,Bullet,All questions in Section A relate to Text 1 in the Insert.,,3
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,Bullet,Answer all questions in this section.,,4
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,Bullet,"In your responses, you are expected to:",,5
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,SubBullet,"Demonstrate your ability to use relevant, descriptive and appropriate metalanguage.",,6
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,SubBullet,"Demonstrate familiarity with the topics of Unit 3, 'Language variation and purpose', and the topics of Unit 4, 'Language variation and identity'.",,7
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,,,,Paragraph,"Text 1: Transcript of an interview between Sam Koslowski (K) and Dylan Alcott (A), from The Daily Aus podcast (21 September 2023). Alcott discusses his efforts to change perceptions around disability across sport, employment, healthcare and media representation.",,8
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,1,Question 1,2,Paragraph,Identify one vocal effect in the text and describe its impact within the text. Use appropriate metalanguage and refer to line numbers in your response.,,9
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,2,Question 2,2,Paragraph,"Using an example, explain how Koslowski establishes Alcott's contributions to society. Use appropriate metalanguage and refer to line numbers in your response.",,10
