SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC01,Scope of study,,Paragraph,VCE English Language explores the ways in which language is used by individuals and groups and how it reflects our thinking and values.,,1
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC02,Scope of study,,Bullet,"By learning about how we shape and can be shaped by our use of language, we can develop deeper understandings about ourselves, those who surround us and the society in which we live.",,2
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC03,Scope of study,,Bullet,These understandings enhance the skills for effective communication in all contexts.,,3
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC04,Scope of study,,Paragraph,"VCE English Language is informed by the discipline of linguistics and draws on a set of metalinguistic tools to understand and analyse language use, variation and change.",,4
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC05,Scope of study,,Bullet,"It is a study that builds on our experiences of Standard Australian English (SAE) and language varieties across numerous contexts, including in the classroom.",,5
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC06,Scope of study,,Bullet,"It connects directly with key concepts embedded in the Victorian Curriculum F–10: English, including the language modes, the roles played by context, purpose and audience in any engagement with text, and the ways in which textual form contributes to creating meaning.",,6
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC07,Scope of study,,Paragraph,VCE English Language examines how use and interpretations of language are nuanced and complex rather than a series of fixed conventions.,,7
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC08,Scope of study,,Bullet,"The study explores how we use spoken and written English to communicate, to think and innovate, to construct and reveal identities, to build and interrogate attitudes and assumptions, and to create and disrupt social cohesion.",,8
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVSC09,Scope of study,,Paragraph,"The study of VCE English Language reveals the structures, features and discourses of written and spoken texts through the systematic and evidence-based construction and deconstruction of language in use.",,9
English,English Language,Years 11 and 12,"VCEELU1AS1,VCEELU1AS2,VCEELU2AS1,VCEELU2AS2,VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12OVRA01,Rationale,,Paragraph,The study of VCE English Language enables students to consider their understanding and application of English using a set of metalinguistic tools informed by the discipline of linguistics.,,1
