SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
English,English Language,Year 11,Unit 1,VCEELU1AS12,,,,UnitHeader,,Unit 1: Language and communication,,,0
English,English Language,Year 11,Unit 1,VCEELU1AS12,,,,Paragraph,,Unit 1: Language and communication,"Language is an essential aspect of human behaviour and the means by which individuals relate to the world, to each other and to the communities of which they are members. In this unit, students consider the ways language is organised so that its users have the means to make sense of their experiences and to interact with others. Students explore the various functions of language and the nature of language as an elaborate system of signs and conventions. The relationship between speech and writing as the dominant language modes and the impact of situational and cultural contexts on language choices are also considered. Students investigate children's ability to acquire language and the stages of language acquisition across a range of subsystems.",,1
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL01,Descriptor,,The nature and functions of language,In this area of study students explore the nature of language and the various functions that language performs in a range of Australian and other contexts.,,1
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL01,Elaboration,,The nature and functions of language,,"They consider the properties that distinguish human communication as unique, the differences between the modes of spoken and written language, and the relationship between meaning and conventions that govern language use.",2
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL01,Elaboration,,The nature and functions of language,,"Students are introduced to the theory that language is a system of signs and conventions, and that while the relationship between words and meanings may be arbitrary, our use of language is governed by conventions and informed by accepted systems.",3
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL02,Descriptor,,The nature and functions of language,Meaning can be conveyed through the key language modes of writing and speaking.,,4
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL02,Elaboration,,The nature and functions of language,,"Languages allow for communication through actions, like speech sounds, or graphic symbols such as letters.",5
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL02,Elaboration,,The nature and functions of language,,"Communication can also occur through systems such as sign languages, and students can consider the role of paralinguistic features in conveying meaning, but the focus of this area of study is on the language modes of writing and speaking.",6
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL03,Descriptor,,The nature and functions of language,"Students learn that our language choices are always influenced by the function, register and tenor and the situational and cultural contexts in which they occur, and are based on understandings and traditions that shape and reflect our view of the world.",,7
English,English Language,Year 11,Unit 1,VCEELU1AS1,,Area of Study 1 - The nature and functions of language,VCEELU1AS1NFL03,Elaboration,,The nature and functions of language,,"They come to understand that language is never a neutral and transparent means of representing the world we inhabit; rather, it is influenced by situational and cultural understandings.",8
