SubjectArea,Subject,Band,Term,Definition
English,English Language,Years 11 and 12,Aboriginal Australian Englishes (AAE),"A continuum ranging from language use very close to Standard Australian English to something closer to a creole. Features of AAEs can include elements of non-standard Englishes, features from first contact and colonial language, and features of any of the First Nations languages in Australia."
English,English Language,Years 11 and 12,"Accent: Broad, General and Cultivated","These represent the various sounds made by speakers of Standard Australian English. There are regional differences, age-related differences and social differences."
English,English Language,Years 11 and 12,Code switching,The practice of moving back and forth between languages in a single interaction is a normal and natural feature of the conversations between speakers who know the same two (or more) languages.
English,English Language,Years 11 and 12,Codification,"The process of developing a norm for a language can involve developing a writing system and official rules of orthography, pronunciation, syntax and vocabulary."
English,English Language,Years 11 and 12,Colloquial language,"The use of language that includes informal words, phrases or 'sayings' and which is often specific to geographical areas. Colloquial language is typically used in informal settings and in the language mode of speaking."
English,English Language,Years 11 and 12,Context,"This refers to an understanding of the environment in which a text appears together with real-world knowledge of speakers and listeners, writers and audiences."
English,English Language,Years 11 and 12,Context-specific grapheme,"A written symbol, typically punctuation, which provides additional meaning within a context. For example, '#' can be interpreted as a number, a unit of weight (lb) or a topic marker, depending on the context in which it is used."
English,English Language,Years 11 and 12,Creole,"A language developed through contact between two or more languages (for example, between European and non-European languages in colonies and former colonies). Creoles evolve from a pidgin to become a first (native) language of a speech community."
English,English Language,Years 11 and 12,Critical period of language acquisition,"The time between birth and puberty during which it is thought a child can acquire language easily, swiftly and without external intervention. After this period, acquisition of the grammar is difficult and, for some individuals, never fully achieved."
English,English Language,Years 11 and 12,Cultural context,"This refers to the extralinguistic circumstances that will influence language use, including the values, attitudes and beliefs of the speaker, writer and/or interlocutor(s) or audience."
English,English Language,Years 11 and 12,Descriptivism,"This focuses on language behaviour that can actually be observed, emphasising an objective account of the patterns and use of a language."
English,English Language,Years 11 and 12,Dialect,"A language variety that identifies the geographical or social background of a person, which is characterised by distinctive words and grammar (and may also be associated with distinctive features of pronunciation or accent)."
English,English Language,Years 11 and 12,Etymology,The term used for the history of words and for the study of the history of words.
English,English Language,Years 11 and 12,Field,"This refers to the content or subject matter. For example, our language choices vary depending on the nature of the activity performed or the topic discussed by the text (such as the linguistic features of science versus football)."
English,English Language,Years 11 and 12,First-language acquisition,This refers to the processes by which individuals acquire a home language. VCE English Language focuses on two possible explanations for how children learn language: Universal Grammar and opposing usage-based accounts.
English,English Language,Years 11 and 12,Functions of language,Distinguishes six functions of language: This theory is proposed by Roman Jakobson.
English,English Language,Years 11 and 12,Hypocoristic use of suffixes,"This is a characteristic of Australian English in which alternative forms of words or names - specifically through the use of abbreviation and suffixation like mozzie, sickie, tradie - share the same form and denotation as the original - mosquito, sick day, tradesperson - but have different connotations and levels of formality."
English,English Language,Years 11 and 12,Idiolect,The unique language or speech pattern of an individual at a specific period of their life.
English,English Language,Years 11 and 12,Indo-European,"The descriptive name given to the ancestor language of many language families in Europe and Asia, including Germanic, Slavic and Indo-Iranian."
English,English Language,Years 11 and 12,International Phonetic Alphabet (IPA),"This standardised system (first published in 1888) provides a separate symbol for each distinctive speech sound. It is used to transcribe the sounds of a language because an alphabetic spelling (or orthography) does not represent the sounds of a language in a consistent manner. In this study, the sounds of Australian English are transcribed as described by Harrington, Cox & Evans (1997)."
English,English Language,Years 11 and 12,Jargon,"The specialised language of a trade, profession or group, which is often difficult for individuals outside the group to understand."
English,English Language,Years 11 and 12,Language,"A system of conventional spoken, signed or written symbols by means of which humans express themselves. Variation in language occurs through use and user and can be influenced by social, cultural and geographical contexts."
English,English Language,Years 11 and 12,Language maintenance and shift,"The processes by which the users of language either resist encroaching language(s) to maintain a traditional or existing language, or switch to the encroaching language."
English,English Language,Years 11 and 12,Language reclamation,"This refers to the process by which a language community attempts to revitalise a language that is in danger of being lost. It includes the politics of indigenous peoples' rights and is associated with reclaiming identity and culture from which a people have been dissociated. Language revitalisation or revival can take many forms, and there are numerous strategies for retrieving information about a heritage language, including attempts to relearn the language from material recorded in another era, when the language was spoken. Barry Blake is an example of a Victorian linguist researching this area."
English,English Language,Years 11 and 12,Lingua franca,A common language used for communication (and often commerce) between groups of people who speak different languages.
English,English Language,Years 11 and 12,Migrant ethnolect,A variety of language associated with a certain ethnic or cultural subgroup where the features of English used in Australian society are combined with some features of the first language of the speaker(s). An ethnolect can be a distinguishing marker of social identity.
English,English Language,Years 11 and 12,Multilingualism,The ability to communicate in more than one language.
English,English Language,Years 11 and 12,Multi-word lexemes,"These are sequences of words that are stored and retrieved as single units from our memory banks (they include such expressions as idioms (for example, to spill the beans) and phrasal verbs (for example, to switch off)."
English,English Language,Years 11 and 12,Overt and covert prestige,"These terms refer to two contrasting forms of prestige: overt prestige associated with standard variants (for example, Standard Australian English) as used by powerful groups or institutions in society, and covert prestige associated with local language forms that emphasise identity and group solidarity. Both forms of prestige can be attained by people through the exploitation of overt and covert language norms."
English,English Language,Years 11 and 12,Paralinguistic features,"These are the features of speech that are considered to be marginal to language (for example, voice quality such as a creaky voice). They include aspects of non-verbal communication such as stance, gesture and gaze."
English,English Language,Years 11 and 12,Pidgin,"A contact language that is no one's first language. It evolves as a vehicle of communication between speakers of different linguistic backgrounds (for example, between European and non-European populations). Typically it has a reduced linguistic structure, at least initially, but may gain complexity in both grammar and vocabulary if it remains in use across generations. A pidgin can evolve into a creole."
English,English Language,Years 11 and 12,Politeness,"Centres on the idea of politeness as an awareness of the public and/or personal image of another individual and includes face needs - either positive (our need to be well regarded) or negative (our need to have the freedom to act as we wish). Politeness strategies are used to mitigate face-threatening acts, both positive and negative. These ideas were proposed by Brown and Levison."
English,English Language,Years 11 and 12,Prescriptivism,This focuses on correctness and describing language behaviour that aims to preserve imagined standards or ideals about how the language 'should' really be.
English,English Language,Years 11 and 12,Purpose(s),"This refers to the many reasons a text is created. Purpose(s) can include meeting politeness expectations, establishing expertise and authority, reinforcing social distance and hierarchies, and negotiating social taboos. Any given text can have more than one purpose and there is no set list of purposes."
English,English Language,Years 11 and 12,Rapport,"This refers to agreement or sympathy between individuals, people and/or groups."
English,English Language,Years 11 and 12,Register,"This involves language variation that is defined by use (as opposed to dialects, sociolects, etc. that refer to language variation defined by user); registers involve features across a range of subsystems."
English,English Language,Years 11 and 12,Rhetoric,This refers to the study of persuasive speech and writing.
English,English Language,Years 11 and 12,Semantic domain,"A lexical set of words that are grouped by meaning and share a common semantic property, often referred to as a semantic domain (for example, spaniel, corgi, collie and terrier are all part of the semantic domain of dogs)."
English,English Language,Years 11 and 12,Setting,The time and place in which a communicative act occurs.
English,English Language,Years 11 and 12,Situational context,"This refers to the extralinguistic circumstances that influence language use, including field, tenor, language mode, setting and text type."
English,English Language,Years 11 and 12,Slang,"That part of very informal language use that can be characterised by metaphorical, playful, vulgar and/or socially taboo vocabulary."
English,English Language,Years 11 and 12,Social distance,"The conceptual space between individuals or groups in society created or constructed by social class, ethnicity/race, gender, sexuality, education, social and economic status, occupation and social connections."
English,English Language,Years 11 and 12,Sociolect,A language variety used by a particular social group.
English,English Language,Years 11 and 12,Standard Australian English (SAE),"The variety of spoken and written English language in Australia that represents a common language standard agreed to by the general population and codified in dictionaries, style guides and grammar manuals. Standard Australian English represents a prestige variety in the Australian context."
English,English Language,Years 11 and 12,Standard English (SE),"The variety of spoken and written English language that represents a common language standard agreed to by the general population and recorded in dictionaries, style guides and grammar manuals."
English,English Language,Years 11 and 12,Standardisation,The process of bringing and promoting uniformity to the writing and speaking of a language.
English,English Language,Years 11 and 12,Swearing,"The use (deliberately or subconsciously) of offensive or vulgar language, including expletives."
English,English Language,Years 11 and 12,Taboo language,This refers to language and language use that is socially proscribed as improper or unacceptable. Taboo language also includes the use of dysphemism. Euphemism is often used to avoid the use of taboo language.
English,English Language,Years 11 and 12,Tenor,"This refers to the relationships between participants in a language activity and relates especially to social distance. It also involves the level of formality participants adopt (formal, colloquial, etc.). Tenor will be affected by how well people know each other and their purpose for participation."
English,English Language,Years 11 and 12,The Great Vowel Shift,"A change in the pronunciation of English took place at the end of the Middle Ages when most long vowels, such as the vowel in see (which before the shift rhymed with the modern French thé), were raised, and the already close vowels in shine (which was pronounced like today's sheen) and mouse (which was pronounced like today's moose) became the diphthongs that they now are."
English,English Language,Years 11 and 12,Universal grammar,"There is a hypothesis that children are born with innate knowledge about the structure of language; this innate grammar centres around a set of rules for language that are assumed to be universal; that is, shared by all languages of the world. Research in this area has been characterised as prioritising 'nature' over 'nurture'. This theory was proposed by Noam Chomsky."
English,English Language,Years 11 and 12,Usage-based theory,"This theory focuses on human cognitive abilities and social behaviours to account for language acquisition. A usage-based account proposes that children build the grammar of their language from tailored interaction, in combination with their general cognitive skills. The theory also emphasises the importance of child-directed speech, which is different from adult-to-adult speech across cultures. This theory is associated with a number of theorists including Michael Tomasello."
