SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,"The significance of characters, settings and events featured in the texts in shaping reader response",,1,1
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,"The ways the literary forms, features and language of texts can guide readers to meaning in print and non-print texts",,1,2
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,The ways others' views on texts may influence or enhance a reading of a text and reveal assumptions and ideas about aspects of culture and society,,1,3
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,"The conventions of presentation, discussion and/or debate",,1,4
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,"The features appropriate for written and oral responses, including structure, conventions and language",,1,5
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KS,Outcome 1,Literature Students,,Key Skills,Develop and produce close analysis written and/or oral responses to texts,,1,1
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KS,Outcome 1,Literature Students,,Key Skills,"Discuss how the literary forms, features and language of texts contribute to meaning",,1,2
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KS,Outcome 1,Literature Students,,Key Skills,"Discuss how their own views, values and contexts influence their readings of texts",,1,3
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KS,Outcome 1,Literature Students,,Key Skills,"Explore, interpret and reflect on different ideas and values represented in literature",,1,4
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KS,Outcome 1,Literature Students,,Key Skills,Apply understanding of other interpretations to their reading of a text(s),,1,5
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,,VCELIU1AS1O1KS,Outcome 1,Literature Students,,Key Skills,Use evidence from the texts to support a response,,1,6
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KK,Outcome 2,Literature Students,,Key Knowledge,"Conventions of a movement or genre, including language, settings, narrative structures and characterisation",,1,1
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KK,Outcome 2,Literature Students,,Key Knowledge,The ways the conventions of a movement or genre contribute to meaning,,1,2
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KK,Outcome 2,Literature Students,,Key Knowledge,The ideas and concerns embedded in text typical of a movement or genre,,1,3
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KK,Outcome 2,Literature Students,,Key Knowledge,Assumptions and representations in texts typical of a movement or genre,,1,4
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KK,Outcome 2,Literature Students,,Key Knowledge,"The conventions of presentation, discussion and/or debate",,1,5
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KK,Outcome 2,Literature Students,,Key Knowledge,"The features appropriate for written and oral responses, including structure, conventions and language",,1,6
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KS,Outcome 2,Literature Students,,Key Skills,Explore the replication of conventions across at least one complete text alongside multiple samples of other texts typical of a movement or genre,,1,1
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KS,Outcome 2,Literature Students,,Key Skills,Comment on how the conventions of a movement or genre contribute to meaning,,1,2
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KS,Outcome 2,Literature Students,,Key Skills,Analyse and reflect on the ideas and concerns raised by texts typical of a movement or genre,,1,3
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KS,Outcome 2,Literature Students,,Key Skills,Explore and experiment with the assumptions and representations in texts associated with a movement or genre,,1,4
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,,VCELIU1AS2O2KS,Outcome 2,Literature Students,,Key Skills,Develop and produce analytical and creative written and/or oral responses to texts,,1,5
English,Literature,Year 11,Unit 2,VCELIU2AS1,,Area of Study 1 - Voices of Country,,VCELIU2AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,"The significance and interconnectedness of place, culture and identity in Aboriginal and Torres Strait Islander texts",,1,1
English,Literature,Year 11,Unit 2,VCELIU2AS1,,Area of Study 1 - Voices of Country,,VCELIU2AS1O1KK,Outcome 1,Literature Students,,Key Knowledge,"Aboriginal and Torres Strait Islander concepts of storytelling, text and language",,1,2
