SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
English,Literature,Year 11,Unit 1,VCELIU1AS12,,,,UnitHeader,,Unit 1,,,0
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP01,Descriptor,,Reading practices,"In this area of study students consider how language, structure and stylistic choices are used in different literary forms and types of text.",,1
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP01,Elaboration,,Reading practices,,"They consider both print and non-print texts, reflecting on the contribution of form and style to meaning.",2
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP01,Elaboration,,Reading practices,,"Students reflect on the degree to which points of view, experiences and contexts shape their own and others’ interpretations of text.",3
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP02,Descriptor,,Reading practices,"Students closely examine the literary forms, features and language of texts.",,4
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP02,Elaboration,,Reading practices,,"They begin to identify and explore textual details, including language and features, to develop a close analysis response to a text.",5
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP03,Descriptor,,Reading practices,On completion of this unit the student should be able to respond to a range of texts through close analysis.,,6
English,Literature,Year 11,Unit 1,VCELIU1AS1,,Area of Study 1 - Reading practices,VCELIU1AS1RP04,Descriptor,,Reading practices,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.,,7
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,VCELIU1AS2ELMG01,Descriptor,,Exploration of literary movements and genres,"In this area of study students explore the concerns, ideas, style and conventions common to a distinctive type of literature seen in literary movements or genres.",,1
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,VCELIU1AS2ELMG01,Elaboration,,Exploration of literary movements and genres,,"Examples of these groupings include literary movements and/or genres such as modernism, epic, tragedy and magic realism, as well as more popular, or mainstream, genres and subgenres such as crime, romance and science fiction.",2
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,VCELIU1AS2ELMG01,Elaboration,,Exploration of literary movements and genres,,"Students explore texts from the selected movement or genre, identifying and examining attributes, patterns and similarities that locate each text within that grouping.",3
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,VCELIU1AS2ELMG01,Elaboration,,Exploration of literary movements and genres,,"Students engage with the ideas and concerns shared by the texts through language, settings, narrative structures and characterisation, and they experiment with the assumptions and representations embedded in the texts.",4
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,VCELIU1AS2ELMG02,Descriptor,,Exploration of literary movements and genres,Students must study at least one complete text alongside multiple samples of other texts from the selected movement or genre.,,5
English,Literature,Year 11,Unit 1,VCELIU1AS2,,Area of Study 2 - Exploration of literary movements and genres,VCELIU1AS2ELMG03,Descriptor,,Exploration of literary movements and genres,"On completion of this unit the student should be able to explore conventions common to a selected movement or genre, and engage with the ideas, concerns and representations from at least one complete text alongside multiple samples of other texts considered characteristic of the selected movement or genre.",,6
