SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC01,Scope of study,,Paragraph,"VCE Literature focuses on the meanings derived from texts, the relationships between texts, the contexts in which texts are produced, and how readers' experiences shape their responses to texts.",,1
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC02,Scope of study,,Paragraph,In VCE Literature students develop and refine four key abilities through their engagement with texts. These are:,,2
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC03,Scope of study,,Bullet,An ability to offer an interpretation of a whole text (or a collection of texts),,3
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC04,Scope of study,,Bullet,"An ability to demonstrate a close analysis of passages or extracts from a text, in consideration of the whole text",,4
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC05,Scope of study,,Bullet,An ability to understand and explore multiple interpretations of a text,,5
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC06,Scope of study,,Bullet,An ability to respond creatively to a text.,,6
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC07,Scope of study,,Paragraph,"Students are provided with opportunities to read deeply, widely and critically; to appreciate the aesthetic qualities of texts; and to write creatively and analytically.",,7
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVSC08,Scope of study,,Paragraph,"VCE Literature enables students to examine the historical, social and cultural contexts within which both readers and texts are situated. Accordingly, the texts selected for study should be drawn from a wide range of eras, a variety of forms and diverse social and cultural contexts.",,8
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVRA01,Rationale,,Paragraph,"The study of VCE Literature fosters students' enjoyment and appreciation of the artistic and aesthetic merits of stories and storytelling, and enables students to participate more fully in the cultural conversations that take place around them. By reading and exploring a diverse range of established and emerging literary works, students become increasingly empowered to discuss texts. As both readers and writers, students extend their creativity and high-order thinking to express and develop their critical and creative voices.",,1
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVRA02,Rationale,,Paragraph,"Throughout this study, students deepen their awareness of the historical, social and cultural influences that shape texts and their understanding of themselves as readers. Students expand their frameworks for exploring literature by considering literary forms and features, engaging with language, and refining their insight into authorial choices. Students immerse themselves in challenging fiction and non-fiction texts, discovering and experimenting with a variety of interpretations in order to develop their own responses.",,2
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI01,Aims,,Paragraph,This study enables students to:,,1
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI02,Aims,,Bullet,Enjoy reading a range of challenging literary texts,,2
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI03,Aims,,Bullet,Approach unfamiliar texts and negotiate diverse literary territories with confidence,,3
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI04,Aims,,Bullet,Explore the ways in which authors craft their writing,,4
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI05,Aims,,Bullet,Recognise there are many possible ways of interpreting literary texts,,5
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI06,Aims,,Bullet,"Develop their own responses to texts, recognising the impact of form, features and language in the creation of meaning",,6
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI07,Aims,,Bullet,"Write creatively and critically, and develop their individual voice",,7
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI08,Aims,,Bullet,"Consider the views of others, including when developing interpretations",,8
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVAI09,Aims,,Bullet,"Express their ideas, through all language modes, with insight and flair.",,9
English,Literature,Years 11 and 12,"VCELIU1AS1,VCELIU1AS2,VCELIU2AS1,VCELIU2AS2,VCELIU3AS1,VCELIU3AS2,VCELIU4AS1,VCELIU4AS2",VCELI12OVST01,Structure,,Paragraph,The study is made up of four units. Each unit deals with specific content contained in areas of study and is designed to enable students to achieve a set of outcomes for that unit. Each outcome is described in terms of key knowledge and key skills.,,1
