SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQGradeCode,Mark,Grade,EQSection,EQHeader,EQSkill,EQDescription,Sequence
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,,,,A,"Expected qualities for the mark range:

Section A - Analytical response to a text",,,1
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA10,10,A+,A,,A+ Student:,"Demonstrates a close and perceptive reading of the text, considering complexities of its ideas, concerns and values explored through the structure of the text and its language",2
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA10,10,A+,A,,,"Demonstrates a clear understanding of the implications of the topic, using an appropriate strategy for dealing with it, and exploring its complexity from the basis of the text",3
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA10,10,A+,A,,,"Develops a cogent, controlled and well-substantiated discussion using precise and expressive language",4
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA09,9,A,A,,A Student:,"Demonstrates a close and perceptive reading of the text, considering complexities of its ideas, concerns and values explored through the structure of the text and its language",5
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA09,9,A,A,,,"Demonstrates a clear understanding of the implications of the topic, using an appropriate strategy for dealing with it, and exploring its complexity from the basis of the text",6
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA09,9,A,A,,,"Develops a cogent, controlled and well-substantiated discussion using precise and expressive language",7
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA08,8,B+,A,,B+ Student:,"Demonstrates a thoughtful reading of the text, exploring its ideas, concerns and values through a discussion of the structure of the text and its language",8
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA08,8,B+,A,,,"Demonstrates an understanding of the implications of the topic, exploring it from the basis of the text",9
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA08,8,B+,A,,,"Develops a detailed, substantiated and coherent discussion using language fluently and confidently",10
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA07,7,B,A,,B Student:,"Demonstrates detailed knowledge of the text throughout, including some of its ideas, concerns and values by appropriately acknowledging aspects of the structure of the text and its language",11
