SubjectArea,Subject,Band,Unit,AreaofStudy,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Inferential reading and viewing strategies,,1,1
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Develop strategies for inferential reading and viewing,,1,1
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Ideas, concerns and tensions in a text",,1,2
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Consider and explore:,,1,2
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Vocabulary, text structures and language features in a text",,1,3
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Ideas, concerns and tensions presented in a text",consider and explore:,2,3
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Personal and analytical writing in response to a text,,1,4
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Characters, settings and plot, and point of view and voice",consider and explore:,2,4
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Small group and whole class discussion, including ways of developing constructive and collaborative interactions and building on the ideas of others",,1,5
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"How vocabulary, text structures and language features create meaning",consider and explore:,2,5
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,The conventions of discussion and debate,,1,6
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Engage productively in small group and class discussion, including listening to others",,1,6
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,7
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Develop, share and clarify ideas with peers and teachers employing appropriate strategies for discussion and debate",,1,7
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Plan and develop personal and analytical writing about a text, including the use of appropriate metalanguage to discuss vocabulary, text structures and language features",,1,8
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Use textual evidence, where appropriate, to support writing",,1,9
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Use appropriate strategies to review and edit writing,,1,10
English,English,Year 11,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS11OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Apply the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,11
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Vocabulary, text structures and language features used in effective writing",,1,1
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Employ and experiment with vocabulary, text structures and language features for effective writing",,1,1
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Different strategies to generate and develop ideas,,1,2
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Write with a clear purpose (to express, to reflect, to explain or to argue) and an awareness of context (including mode) and audience",,1,2
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"The ways purpose, context and audience shape writing",,1,3
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Develop and employ writing processes,,1,3
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Different language modes and their effects on structure and meaning,,1,4
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Generate ideas, and discuss, develop and elaborate on these ideas",,1,4
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,The power of language when deployed by an author to achieve their aims,,1,5
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Explore voices appropriate to audience, purpose and context (including mode)",,1,5
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,The range of ideas presented in various ways in mentor texts,,1,6
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Experiment with vocabulary for effective writing,,1,6
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Writing processes including drafting, refining and considering feedback",,1,7
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Plan, create, draft, refine and complete individual writing",,1,7
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,The value of collaboration and discussion,,1,8
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Collaborate on the processes of writing with peers and teachers through discussion and feedback,,1,8
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Standard and non-standard conventions of language, including syntax, punctuation and spelling.",,1,9
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Recognise and comment on vocabulary, text structures, language features and ideas used in effective writing",,1,9
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Reflect on and share the implications of authorial choices made in their own writing and in the writings of others,,1,10
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Apply standard and non-standard conventions of language, including syntax, punctuation and spelling, as appropriate.",,1,11
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Assessment,,1,12
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,The award of satisfactory completion for a unit is based on whether the student has demonstrated the set of outcomes specified for the unit. Teachers should use a variety of learning activities and assessment tasks that provide a range of opportunities for students to demonstrate the key knowledge and key skills in the outcomes.,,1,13
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"The areas of study, including the key knowledge and key skills listed for the outcomes, should be used for course design and the development of learning activities and assessment tasks. Assessment must be a part of the regular teaching and learning program and should be completed mainly in class and within a limited timeframe.",,1,14
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,All assessments at Units 1 and 2 are school-based. Procedures for assessment of levels of achievement in Units 1 and 2 are a matter for school decision.,,1,15
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,English students,,1,16
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,For this unit students are required to demonstrate two outcomes. As a set these outcomes encompass the areas of study in the unit.,,1,17
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Suitable tasks for assessment in this unit may be selected from the following:,,1,18
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,A personal response to a set text,,1,19
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Two student-created texts such as: short stories, speeches (with transcripts), essays (comment, opinion, reflective, personal), podcasts (with transcripts), poetry/songs, feature articles (including a series of blog postings) and memoirs",,1,20
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,A description of writing processes.,,1,21
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Where teachers allow students to choose between tasks they must ensure that the tasks they set are of comparable scope and demand.,,1,22
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,EAL students,,1,23
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,For this unit students are required to demonstrate two outcomes. As a set these outcomes encompass the areas of study in the unit.,,1,24
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Suitable tasks for assessment in this unit may be selected from the following:,,1,25
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,A personal response to a set text,,1,26
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,A note-form summary of key connections and ideas within the set text,,1,27
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Two student-created texts such as: short stories, speeches (with transcripts), essays (comment, opinion, reflective, personal), podcasts (with transcripts), poetry/songs, feature articles (including a series of blog postings) and memoirs",,1,28
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"A set of annotations on the student-created texts, identifying the qualities of effective writing.",,1,29
English,English,Year 11,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS21OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Where teachers allow students to choose between tasks they must ensure that the tasks they set are of comparable scope and demand.,,1,30
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Inferential reading and viewing strategies,,1,1
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Build inferential reading and viewing strategies,,1,1
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Ideas, concerns and tensions in a text",,1,2
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Read and engage with a text for meaning,,1,2
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"Vocabulary, text structures and language features in a text used to construct meaning",,1,3
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Discuss and analyse ideas, concerns and tensions presented in a text",,1,3
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"The historical context, and the social and cultural values in a text",,1,4
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Discuss and analyse the specific vocabulary, text structures and language features in text, including the use of appropriate metalanguage, and how these aspects create meaning",,1,4
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Strategies and techniques for constructing and supporting analytical writing in response to a text,,1,5
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Respond to a set topic,,1,5
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"The conventions of small group and whole class discussion, including ways of developing constructive interactions and building on the ideas of others in discussion",,1,6
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Construct analytical writing in response to a text, including the use of appropriate evidence from the text",,1,6
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,The conventions of discussion and debate,,1,7
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Use appropriate strategies to review and edit the writing,,1,7
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKKE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"The conventions of syntax, punctuation and spelling of Standard Australian English.",,1,8
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Listen attentively and respond appropriately to others’ views during discussion,,1,8
English,English,Year 11,Unit 2,Area of Study 1 - Reading and exploring texts,VCEE11AS12OKSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,"Use the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,9
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,"An understanding of contention and supporting arguments, including:",,1,1
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Skills,Summarise the key points in arguments using skills such as note-taking and annotation,,1,1
English,English,Year 11,Unit 2,Area of Study 2 - Exploring argument,VCEE11AS22OKKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key Knowledge,Sequence and structure,,1,2
