SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Various definitions of health and wellbeing: physical, social, emotional, mental and spiritual dimensions",,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Prerequisites for health, as determined by the WHO: peace, shelter, education, food, income, social justice, equity, stable ecosystem and sustainable resources",,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,Youth and Aboriginal and Torres Strait Islander perspectives on health and wellbeing,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Indicators used to measure health status, such as incidence and prevalence of health conditions, morbidity, rates of hospitalisation, burden of disease, mortality, life expectancy, core activity limitation, psychological distress and self-assessed health status",,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,The health status of Australia’s youth,,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Sociocultural factors that contribute to variations in health outcomes for youth, such as peer group, family, education, income and health literacy.",,1,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Describe and analyse various perspectives, definitions and interpretations of health and wellbeing",,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain different dimensions of health and wellbeing,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Discuss how access to prerequisites for health can promote positive health outcomes,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Describe the subjective nature of health and wellbeing,,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Discuss various perspectives on health and wellbeing, including those of youth and Aboriginal and Torres Strait Islander Peoples",,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Draw conclusions from health data about the health status of youth in Australia,,1,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,,VCEHHDU1AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain and analyse a range of sociocultural factors that contribute to variations in the health outcomes of Australia’s youth.,,1,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Key areas of youth health requiring health action, as indicated by health data",,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Government and non-government programs relating to youth health and wellbeing,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,The following features of one health focus relating to Australia’s youth:,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Impact on different dimensions of health and wellbeing,,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Data such as incidence, prevalence and trends",,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Risk and protective factors,,1,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Healthcare services and support,,1,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Government and community programs and personal strategies to reduce negative impact,,1,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,,VCEHHDU1AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Direct, indirect and intangible costs to individuals and/or communities",,1,9
