SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVSC01,Scope of study,,Paragraph,"VCE Health and Human Development takes a broad and multidimensional approach to defining and understanding health. Students investigate the World Health Organization’s (WHO) definition and other interpretations of health and wellbeing. For the purposes of this study, students consider wellbeing to be an implicit element of health.",,1
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVSC02,Scope of study,,Paragraph,"Students examine health (including the concepts of health and wellbeing, and health status) and human development as dynamic concepts that are subject to a complex interplay of biological, sociocultural and environmental factors, many of which can be acted upon by people, communities and governments. Students consider the interaction between these factors and learn that health and human development is complex and influenced by the settings in which people are born, grow, live, work and age.",,2
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVSC03,Scope of study,,Paragraph,Students consider Australian and global contexts as they investigate health outcomes and examine the Australian healthcare system to help evaluate what is being done to address health inequity and inequality. They examine and evaluate the work of global health organisations and the Australian Government’s overseas aid program.,,3
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVSC04,Scope of study,,Paragraph,"This study presents concepts of health and wellbeing, and human development, from a range of perspectives: individual and collective; local, national and global; and across time and human lifespan. Students develop health literacy as they connect their learning to their lives, communities and world. They develop a capacity to critique and respond to health information, advertising and other media messages, which enables them to put strategies into action to address health and wellbeing at a personal, community and global level.",,4
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI01,Aims,,Header,This study enables students to:,,1
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI02,Aims,,Bullet,understand the complex nature of health and human development,,2
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI03,Aims,,Bullet,"develop a broad view of health and wellbeing, incorporating physical, social, emotional, mental and spiritual dimensions",,3
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI04,Aims,,Bullet,"understand the biological, sociocultural and environmental factors that impact health and wellbeing",,4
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI05,Aims,,Bullet,develop health literacy to evaluate health information and take appropriate and positive action to support health and wellbeing,,5
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI06,Aims,,Bullet,develop understanding of the Australian healthcare system and the values that underpin it,,6
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI07,Aims,,Bullet,apply social justice principles to identify health and wellbeing inequities and analyse health and wellbeing interventions,,7
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI08,Aims,,Bullet,understand the importance of the United Nations’ (UN’s) Sustainable Development Goals (SDGs) and evaluate the effectiveness of health and wellbeing initiatives and programs to support the achievement of the SDGs,,8
Health and Physical Education,Health and Human Development,,,Years 11 and 12,,VCEHHD12OVAI09,Aims,,Bullet,"propose and justify action to positively influence health and wellbeing, and human development, outcomes at individual, local, national and/or global levels.",,9
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU1AS1,VCEEU1AS2,VCEEU2AS1,VCEEU2AS2",VCEHHD12OVLA01,Levels of achievement,Units 1 and 2,Subheader,Units 1 and 2,,1
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU1AS1,VCEEU1AS2,VCEEU2AS1,VCEEU2AS2",VCEHHD12OVLA02,Levels of achievement,Units 1 and 2,Paragraph,"Procedures for the assessment of levels of achievement in Units 1 and 2 are a matter for school decision. Assessment of levels of achievement for these units will not be reported to the VCAA. Schools may choose to report levels of achievement using grades, descriptive statements or other indicators.",,2
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA03,Levels of achievement,Units 3 and 4,Subheader,Units 3 and 4,,3
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA04,Levels of achievement,Units 3 and 4,Paragraph,The VCAA specifies the assessment procedures for students undertaking scored assessment in Units 3 and 4. Designated assessment tasks are provided in the details for each unit in VCE study designs.,,4
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA05,Levels of achievement,,Paragraph,"The student’s level of achievement in Units 3 and 4 will be determined by School-assessed Coursework (SAC) as specified in the VCE study design, and external assessment.",,5
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA06,Levels of achievement,,Paragraph,"The VCAA will report the student’s level of achievement on each assessment component as a grade from
A+ to E or UG (ungraded). To receive a study score, the student must achieve two or more graded assessments in the study and receive an S for both Units 3 and 4. The study score is reported on a scale
of 0–50; it is a measure of how well the student performed in relation to all others who completed the study. Teachers should refer to the current VCE Administrative Handbook for details on graded assessment and calculation of the study score.",https://www.vcaa.vic.edu.au/administration/vce-vcal-handbook/Pages/index.aspx,6
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA07,Levels of achievement,,Paragraph,Percentage contributions to the study score in VCE Health and Human Development are as follows:,,7
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA08,Levels of achievement,,Bullet,Unit 3 School-assessed Coursework: 25 per cent,,8
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA09,Levels of achievement,,Bullet,Unit 4 School-assessed Coursework: 25 per cent,,9
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA10,Levels of achievement,,Bullet,End-of-year examination: 50 per cent.,,10
Health and Physical Education,Health and Human Development,,,Years 11 and 12,"VCEEU3AS1,VCEEU3AS2,VCEEU4AS1,VCEEU4AS2",VCEHHD12OVLA11,Levels of achievement,,Paragraph,Details of the assessment program are described in the sections on Units 3 and 4 in this study design.,,11
