SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,VCEHHDU1AS1CH01,Descriptor,,Area Study Students Take,"In this area of study, students take a broad, multidimensional approach to health and wellbeing.",,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,VCEHHDU1AS1CH01,Elaboration,,Area Study Students Take,,Such an approach acknowledges that defining and measuring concepts of health are complicated by a diversity of social and cultural contexts.,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,VCEHHDU1AS1CH01,Elaboration,,Area Study Students Take,,Students consider the measurable indicators of population health and look at data reflecting the health status of young Australians.,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,VCEHHDU1AS1CH01,Elaboration,,Area Study Students Take,,"Focusing on youth, students inquire into the reasons for variations and inequalities in health status, including the sociocultural factors that contribute to variations in health outcomes.",4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,VCEHHDU1AS1CH02,Descriptor,,On Completion Unit Student,"On completion of this unit, the student should be able to explain multiple dimensions of health and wellbeing, explain indicators used to measure health status and analyse sociocultural factors that contribute to variations in the health status of youth.",,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,,Area of Study 1 - Concepts of health,VCEHHDU1AS1CH03,Descriptor,,Achieve Outcome Student Will,"To achieve this outcome, the student will draw on the key knowledge and key skills outlined in Area of Study 1.",,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,VCEHHDU1AS2YHW01,Descriptor,,Area Study Students Apply,"In this area of study, students apply the broad concepts of health and wellbeing from Area of Study 1 to their study of Australia’s youth.",,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,VCEHHDU1AS2YHW01,Elaboration,,Area Study Students Apply,,They identify major health inequalities impacting Australia’s youth and reflect on the causes.,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,VCEHHDU1AS2YHW01,Elaboration,,Area Study Students Apply,,Students inquire into how governments and organisations develop and implement youth health programs and consider factors that influence the implementation of and access to these programs.,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS2,,Area of Study 2 - Youth health and wellbeing,VCEHHDU1AS2YHW02,Descriptor,,Students Conduct Research Investigation,Students conduct a research investigation and apply research skills to find out what young people are most focused on and concerned about regarding health outcomes.,,4
