SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,,,,,,,,,Header,,Health and Physical Education - Health and Human Development,Health and Human Development - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/health-and-human-development/teaching-and-learning,0
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1,,,,,UnitHeading,"Unit 1 Understanding health and wellbeing
 
Area of Study 1: Concepts of health",,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,,,OutcomeDescription,"On completion of this unit, the student should be able to explain multiple dimensions of health and wellbeing, explain indicators used to measure health status and analyse sociocultural factors that contribute to variations in the health status of youth.",,,,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KS,Activity,Bullet,"Discuss what health and wellbeing means to you: when someone asks 'How are you?' they are politely asking about your health and wellbeing. A response might be quick and automatic but think about answers such as 'well', 'not bad' or 'good', and what exactly they mean. Make a list of what it takes to truly feel in 'good' health.",,,,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Investigate and deconstruct the World Health Organization's (WHO) definition of health: 'A state of complete physical, mental, and social wellbeing and not merely the absence of disease or infirmity'. Discuss the meaning of each element in isolation and write your own definition of your own understanding of health.",,,,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Health and wellbeing have been subject over many years to different definitions and philosophies. Research a range of definitions of health and wellbeing and display these. Choose a definition that resonates with you and compare it with a definition favoured by another student. Construct a Venn diagram showing similarities and differences between the two definitions.,,,,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Create a concept map or infographic to show that there are physical, social, emotional, mental and spiritual dimensions to the concept of health and wellbeing, what every dimension represents, and how they are related to one another. Concept mapping software such as SmartDraw, Visio, Inspiration, MindManager, Mind42, MindMeister, Mindomo, or Bubbl.us can be used to develop a concept map or to create an infographic use Canva or Piktochart.",,,,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Write a short story or a scene for a movie/play that features people with various strengths and challenges related to their health and wellbeing. Annotate the piece to show which dimensions of health and wellbeing are motivating or affecting the characters: physical, social, emotional, mental and/or spiritual.",,,,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Use Google Images or Flickr to collect a number of images of each of the WHO prerequisites for health. Write a few words in response to each image on how positive health outcomes can be promoted. Collate the words for each image using Wordcloud. Display the images around the classroom.,,,,9
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Visit Gapminder's Dollar Street and undertake a comparison of three families (high-, middle- and low-income) by clicking on the family button. Undertake an audit of their resources mapped against the WHO prerequisites for health. Reflect on how the prerequisites contribute to positive health outcomes",,,,10
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"In small groups, rank the WHO prerequisites for health from most important to least important. Report each group's thoughts back to class and, as a class, reflect on whether this was a difficult task.",,,,11
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,,12
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,What do you care most about?,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,13
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,Is your health important to you?,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,14
Health and Physical Education,Health and Human Development,,,Year 11,Unit 1,Understanding health and wellbeing,VCEHHDU1AS1,Area of Study 1 - Concepts of health,Outcome 1,VCEHHDU1AS1O1KK,Activity,Bullet,What does it mean to be healthy/well?,"Conduct primary research within the class/school, or of students beyond the school, to collect data on youth perceptions of health issues. The survey could be conducted in person or using an online poll or survey, such as Survey Monkey, or Google Forms. Record the results of the survey in a class Google Classroom. The questionnaire for the survey could include questions such as the following:",,,15
