SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Structure and function of the skeletal system:,,1,1
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Bones of the human body,,1,2
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Classification of joints,,1,3
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Joint actions,,1,4
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Major muscles of the human body,,1,5
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Characteristics and functions of muscle fibres such as fibre arrangement and type (fast twitch and slow twitch),,1,6
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Types of muscular contractions (concentric, eccentric and isometric)",,1,7
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"The concept of reciprocal inhibition (the role of agonists, antagonists and stabilisers)",,1,8
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Neural control of muscles, including the recruitment (size principle) and activation (all or nothing principle) of motor units in relation to force production",,1,9
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Interactions of muscles and bones to produce movement, including the structure and examples of anatomical lever systems",,1,10
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Causes of potential acute and chronic injuries and illnesses associated with the musculoskeletal system such as overtraining syndrome, arthritis and osteoporosis",,1,11
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Physiological strategies to prevent musculoskeletal injuries such as warm up, cool down and rehabilitation",,1,12
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"The role of physical aids that support the musculoskeletal system such as protective equipment, taping and braces",,1,13
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Potential benefits and harms of permitted and prohibited substances and methods that enhance performance of the musculoskeletal system, such as training, nutritional supplements, creatine supplementation and hormones (including steroids and growth hormones).",,1,14
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,Apply and use anatomical terminology to identify the structures and functions of the muscular and skeletal systems in producing movement,,1,1
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,"Participate in and analyse a variety of movements used in physical activity, sport and/or exercise to explain the interaction between bones, muscles, joints and joint actions using examples of lever systems responsible for producing movement",,1,2
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,"Examine different types of muscle contractions and differentiate the role of agonists, antagonists and stabilisers in movement",,1,3
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,"Investigate and describe the relationship between motor unit recruitment, activation and force production in movement",,1,4
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,Explore a variety of causes of musculoskeletal injuries,,1,5
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,Implement and describe the correct application of physical aids and physiological strategies in a variety of sporting activities to maintain optimal functioning of the musculoskeletal system,,1,6
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,,VCEPEU1AS1O1KS,Outcome 1,PE Students,,Key Skills,"Investigate, evaluate and critically analyse the effects of a range of performance-enhancing substances and methods on the musculoskeletal system from a physiological perspective.",,1,7
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The structure and function of the cardiovascular system, including the heart, blood, blood vessels and blood flow around the body at rest and during various intensities of physical activity, sport and/or exercise",,1,1
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The role of the cardiovascular system in thermoregulation, including vasodilation and vasoconstriction of the blood vessels to regulate blood distribution at rest and during physical activity, sport and/or exercise",,1,2
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The relationship between stroke volume, heart rate and cardiac output at rest, and submaximal and maximal exercise intensities",,1,3
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The structure and function of the respiratory system, including the lungs, mechanics of breathing and gaseous exchange at the alveoli/capillary and the capillary/muscle interface",,1,4
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"The interaction of the cardiovascular and respiratory systems to transport oxygen around the body at rest and during physical activity, sport and/or exercise",,1,5
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,The impacts of regular aerobic exercise on enhancing the capacity and function of the cardiovascular and respiratory systems,,1,6
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,"Potential benefits and harms of permitted and prohibited substances and methods that enhance performance of the cardiorespiratory system, such as altitude training, erythropoietin (EPO), beta-blockers, and gene and blood doping",,1,7
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KK,Outcome 2,PE Students,,Key Knowledge,Ethical and sociocultural considerations associated with the use of permitted and prohibited performance-enhancing substances and methods.,,1,8
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,Apply and use anatomical terminology to identify the structures and function of the cardiovascular and respiratory systems,,1,1
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,Use primary data to measure and analyse the changes to the cardiovascular and respiratory systems at rest compared with various exercise intensities,,1,2
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,"Examine the role and process of thermoregulation through participation in physical activity, sport and/or exercise",,1,3
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,Investigate and describe the process of gaseous exchange,,1,4
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,Evaluate the impacts of regular aerobic exercise on enhancing the capacity and functioning of the cardiovascular and respiratory systems,,1,5
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,Investigate and evaluate the effects of a range of performance-enhancing substances and methods on the cardiorespiratory system from a physiological perspective,,1,6
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,,VCEPEU1AS2O2KS,Outcome 2,PE Students,,Key Skills,Explore the ethical and sociocultural considerations relating to the use of permitted and prohibited performance-enhancing substances and methods.,,1,7
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Types of physical activity such as play, games, sports (formal and informal), transportation, chores, exercise and recreational activities",,1,1
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Physical, social, mental, emotional and spiritual benefits of regular participation in types of movement",,1,2
