SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVSC01,Scope of study,,Paragraph,"VCE Physical Education explores the complex interrelationships between biophysical (anatomical, biomechanical, physiological and skill acquisition) and psychosocial (psychological and sociocultural) principles to understand their role in producing and refining movement for participation and performance in physical activity, sport and exercise.",,1
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVSC02,Scope of study,,Paragraph,"Through physical, written, oral and digital learning experiences, students apply theoretical concepts and reflect critically on factors that affect all levels of participation and performance in physical activity, sport and exercise.",,2
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVSC03,Scope of study,,Paragraph,"Integrating theoretical understanding and practice is central to the study of VCE Physical Education. Theoretical knowledge and skills are developed and utilised in and through practical activities, which can be opportunistic, structured or investigative experiences. Practical activities challenge students to reflect on and share their participatory perspectives, while emphasising the educational value of human movement to develop theoretical understanding. These opportunities ultimately help students to develop deeper holistic connections that support their understanding of biophysical and psychosocial movement concepts.",,3
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVAI01,Aims,,Header,This study enables students to:,,1
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVAI02,Aims,,Bullet,engage in practical activities that integrate theoretical understanding with practical application in all types and intensities of movement,,2
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVAI03,Aims,,Bullet,"develop the knowledge and skills to critically evaluate their participation and learning in, through and about movement",,3
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVAI04,Aims,,Bullet,engage in practical activities to determine and analyse how the body systems work together to produce and refine movement,,4
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVAI05,Aims,,Bullet,"critically evaluate trends in participation in physical activity, sport and exercise from a
psychosocial perspective",,5
Health and Physical Education,PE,,,Years 11 and 12,"VCEPEU1AS1,VCEPEU1AS2,VCEPEU2AS1,VCEPEU2AS2,VCEPEU3AS1,VCEPEU3AS2,VCEPEU4AS1,VCEPEU4AS2,VCEPEU4AS3",VCEPE12OVAI06,Aims,,Bullet,"analyse movement skills from a biophysical perspective and apply relevant training principles and methods to improve performance in physical activity at an individual, club and elite level.",,6
Health and Physical Education,PE,,,Years 11 and 12,"VCEEU1AS1,VCEEU1AS2,VCEEU2AS1,VCEEU2AS2",VCEPE12OVLA01,Levels of achievement,Units 1 and 2,Subheader,Units 1 and 2,,1
