SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM01,Descriptor,,Area Study Students Examine,"In this area of study, students examine the muscular and skeletal systems of the human body and how the muscles and bones work together to produce movement.",,1
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM01,Elaboration,,Area Study Students Examine,,"Through practical activities, they explore, from a biophysical perspective, the major components of the musculoskeletal system and its contributions and interactions during physical activity, sport and exercise.",2
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM02,Descriptor,,Possible Causes Illness Injury,Possible causes of illness and injury to the musculoskeletal system are investigated.,,3
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM02,Elaboration,,Possible Causes Illness Injury,,Strategies and aids to assist in the prevention and management of such conditions are also explored.,4
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM02,Elaboration,,Possible Causes Illness Injury,,Students consider a variety of permitted and prohibited substances and methods used to enhance performance of the musculoskeletal system.,5
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM03,Descriptor,,On Completion Unit Student,"On completion of this unit, the student should participate in and analyse information from a variety of practical activities to explain how the muscular and skeletal systems function and interact to produce movement, and evaluate the use of performance enhancement substances and methods.",,6
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS1,,Area of Study 1 - How does the musculoskeletal system work to produce movement?,VCEPEU1AS1HDMSWPM04,Descriptor,,Achieve Outcome Student Will,"To achieve this outcome, the student will draw on key knowledge and key skills outlined in Area of Study 1.",,7
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM01,Descriptor,,Area Study Students Investigate,"In this area of study, students investigate the cardiovascular and respiratory systems of the human body and how the heart, blood vessels and lungs function at rest and during physical activity.",,1
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM01,Elaboration,,Area Study Students Investigate,,"Through practical activities, students explore the structures and function of the cardiorespiratory system and the contributions and interactions of each system during physical activity, sport and exercise at various intensities.",2
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM01,Elaboration,,Area Study Students Investigate,,The impacts of regular aerobic exercise on the functioning of these systems are also examined.,3
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM01,Elaboration,,Area Study Students Investigate,,Students consider a variety of permitted and prohibited substances and methods used to enhance performance of the cardiorespiratory system.,4
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM01,Elaboration,,Area Study Students Investigate,,They also explore the ethical and sociocultural considerations of using permitted and prohibited performance-enhancing substances and methods.,5
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM02,Descriptor,,On Completion Unit Student,"On completion of this unit, the student should be able to participate in and analyse information from a variety of practical activities to explain how the cardiovascular and respiratory systems function and interact, and evaluate the use of performance enhancement substances and methods.",,6
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM03,Descriptor,,Achieve Outcome Student Will,"To achieve this outcome, the student will draw on key knowledge and key skills outlined in Area of Study 2.",,7
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM04,Descriptor,,Suitable Assessment Task Outcomes,A suitable assessment task for Outcomes 1 and 2 is:,,8
Health and Physical Education,PE,,,Year 11,Unit 1,The human body in motion,VCEPEU1AS2,,Area of Study 2 - What role does the cardiorespiratory system play in movement?,VCEPEU1AS2WRDCSPM05,Descriptor,,Additionally At Least One,"Additionally, at least one task for the assessment of each of Outcomes 1 and 2 is to be selected from the following:",,9
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL01,Descriptor,,Area Study Students Focus,"In this area of study, students focus on the role of physical activity, sport and exercise in developing and promoting healthy lifestyles across the lifespan.",,1
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL01,Elaboration,,Area Study Students Focus,,Students explore the sociocultural influences on participation in various forms of physical activity.,2
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL01,Elaboration,,Area Study Students Focus,,"They investigate the physical, social, mental, emotional and spiritual benefits of participation in regular physical activity at the individual and population levels, and the potential health risks associated with physical inactivity and sedentary behaviour.",3
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL02,Descriptor,,Students Examine Sociocultural Factors,Students examine sociocultural factors that influence physical activity and consider opportunities and barriers to participation.,,4
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL02,Elaboration,,Students Examine Sociocultural Factors,,They develop an understanding of the use of subjective and objective methods for assessing physical activity and sedentary behaviour at the individual and population levels and compare these to physical activity and sedentary behaviour guidelines.,5
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL02,Elaboration,,Students Examine Sociocultural Factors,,Students identify and describe the components of the social-ecological model to assist in the critique and creation of strategies aimed at increasing physical activity and/or reducing sedentary behaviour within a given population.,6
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL02,Elaboration,,Students Examine Sociocultural Factors,,"Students conduct a Functional Movement Assessment (FMA), then design and implement a personalised plan that is sustainable and adheres to the physical activity and sedentary behaviour guidelines.",7
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL03,Descriptor,,On Completion Unit Student,"On completion of this unit, the student should be able to collect and analyse data related to individual and population levels of participation in physical activity and sedentary behaviour and conduct an FMA to create, undertake and evaluate a personalised plan that promotes adherence to the relevant physical activity and sedentary behaviour guidelines.",,8
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",VCEPEU2AS1HDPASECHL04,Descriptor,,Achieve Outcome Student Will,"To achieve this outcome, the student will draw on key knowledge and key skills outlined in Area of Study 1.",,9
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS01,Descriptor,,Area Study Students Focus,"In this area of study, students focus on a range of contemporary issues associated with physical activity and sport at the local, national and global levels.",,1
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS02,Descriptor,,They Investigate Range Intrapersonal,"They investigate a range of intrapersonal and interpersonal factors that affect access to, and inclusion, participation and performance in, physical activity and sport, such as injuries, coaching, sports technology and the media, psychological strategies and equity for a range of population groups, including Aboriginal and Torres Strait Islander Peoples.",,2
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS03,Descriptor,,Students Explore One Contemporary,Students explore one contemporary issue relevant to physical activity and/or sport and prescribe and participate in practical activities to highlight the issue.,,3
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS04,Descriptor,,Students Develop Understanding Historical,Students develop an understanding of the historical and current perspectives on the issue and forecast future trends.,,4
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS04,Elaboration,,Students Develop Understanding Historical,,They form conclusions about the impacts these issues have on physical activity and sport in society.,5
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS05,Descriptor,,On Completion Unit Student,"On completion of this unit, the student should be able to explain a range of intrapersonal and interpersonal contemporary issues that influence access to, and inclusion, participation and performance in, physical activity and sport at the local, national and global levels.",,6
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS06,Descriptor,,Achieve Outcome Student Will,"To achieve this outcome, the student will draw on key knowledge and key skills outlined in Area of Study 2.",,7
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS07,Descriptor,,Suitable Assessment Task Outcome,A suitable assessment task for Outcome 1 is:,,8
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS2,,Area of Study 2 - What are the contemporary issues associated with physical activity and sport?,VCEPEU2AS2WACIAWPAS08,Descriptor,,Suitable Tasks Assessment Outcome,Suitable tasks for the assessment of Outcome 2 may be selected from the following:,,9
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,VCEPEU3AS1HAMSI01,Descriptor,,Area Study Students Examine,"In this area of study, students examine the biomechanical and skill-acquisition principles that can be applied when analysing and improving movement skills for participation and performance.",,1
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,VCEPEU3AS1HAMSI02,Descriptor,,Through Practical Activities Students,"Through practical activities, students explore and analyse their own movement and use coaching to investigate factors that influence skill acquisition.",,2
Health and Physical Education,PE,,,Year 12,Unit 3,"Movement skills and energy for physical activity, sport and exercise",VCEPEU3AS1,,Area of Study 1 - How are movement skills improved?,VCEPEU3AS1HAMSI02,Elaboration,,Through Practical Activities Students,,They develop an understanding of how appropriately applying biomechanical and skill-acquisition principles leads to the development of optimal movement patterns to enhance participation and performance.,3
