SubjectArea,Subject,Band,UnitASCode,OverviewCode,Section,SectionHeader,ContentType,Description,URL,Sequence
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVSC01,Scope of study,,Paragraph,"VCE Classical Studies explores the enduring cultures and ideas of ancient Greece and ancient Rome. These ideas have intrigued and influenced Western societies for centuries. By examining the written works (in translation) and material culture of these two ancient societies, students of Classical Studies develop a rich understanding of the intellectual and cultural life of these cultures.",,1
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVSC02,Scope of study,,Paragraph,"Study is undertaken by analysing classical works, such as mythologies, written texts, art and artefacts, that were produced in the classical world. Students consider these works in their socio-historical contexts, evaluating and comparing what they reveal about the ideas, beliefs and attitudes of the society in which they were created.",,2
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVSC03,Scope of study,,Paragraph,"VCE Classical Studies is a foundational Humanities subject - a multifaceted study that encompasses drama, epic poetry, history, philosophy, artworks, architecture and archaeological artefacts.",,3
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVRA01,Rationale,,Paragraph,What is a hero? What makes a good leader? How do humans live with the gods? What is the nature of war? What is beauty? What is justice? What is democracy? What does it mean to be human?,,1
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVRA02,Rationale,,Paragraph,"The ancient Greeks and ancient Romans posed such questions and responded to them in their works. By exploring their answers, Classical Studies helps us to understand the humanity of the classical world and in turn to better understand ourselves. Students are taken from their known world by engaging deeply with another culture that is simultaneously familiar and strange. In studying classical works, students encounter people that might seem familiar among the defenders of Troy, the competitors at the Olympic Games, the spectators at Athenian drama festivals and the witnesses to the struggles in the Roman Senate.",,2
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVRA03,Rationale,,Paragraph,"Students also encounter people with very different values and ethics as they learn, for example, about the heroic code, the Roman virtue of pietas and the code of the gladiators. They engage deeply with the past, with diverse perspectives, experiences and worldviews, forming a deep cultural understanding of peoples from other times and places. This helps students to appreciate the traditions and values of others. Those with a deeper understanding of the past are well-positioned to draw lessons from it, while also having a better understanding of the other cultures, values and points of view that they encounter in the present.",,3
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVRA04,Rationale,,Paragraph,"VCE Classical Studies explores works that have survived through millennia because they still offer enjoyment, challenge in discovering their nuance, and value in uncovering the ideas they contain. Students are introduced to the development of ideas that are still important today. The inquiry into classical works and the societies that produced them creates rich opportunities to learn about the past and gain a clearer understanding of the modern world. Students develop skills in textual analysis, analysing written and visual evidence, comparing works and constructing arguments, while thinking critically and understanding the significance and influence of external factors such as socio-historical context. These are lifelong skills that are transferable across a range of disciplines and integral to the development of active and engaged citizens in a diverse and changing world.",,4
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI01,Aims,,Paragraph,This study enables students to:,,1
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI02,Aims,,Bullet,Develop an understanding of the nature of Classical Studies as a multifaceted discipline,,2
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI03,Aims,,Bullet,Develop a lifelong interest in the classical world and an understanding of its enduring significance,,3
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI04,Aims,,Bullet,"Develop critical insights into the historical, social and cultural contexts of classical works",,4
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI05,Aims,,Bullet,"Engage in close analysis, comparison and evaluation of classical works",,5
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI06,Aims,,Bullet,Explore key ideas as presented in classical works,,6
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI07,Aims,,Bullet,Analyse a range of perspectives and concerns in classical works,,7
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVAI08,Aims,,Bullet,"Develop an awareness of ancient Greek and Roman thinking and, in turn, a deeper awareness of our own thinking.",,8
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVST01,Structure,,Paragraph,The study is made up of four units.,,1
Humanities,Classical Studies,Years 11 and 12,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",VCECS12OVST02,Structure,,Paragraph,Unit 1: Mythical worlds (CS011),,2
