SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Humanities,Classical Studies,,,"VCECSU1AS1,VCECSU1AS2,VCECSU2AS1,VCECSU2AS2,VCECSU3AS1,VCECSU3AS2,VCECSU4AS1,VCECSU4AS2",,,,,Header,,Humanities - Classical Studies,Classical Studies - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/classical-studies/teaching-and-learning,0
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,,UnitHeading,Unit 1 Mythical worlds,,,,1
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Paragraph,On completion of this unit the student should be able to explain the functions and forms of myths in the classical world and the relationship between classical works and those from a later period.,,,,2
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Paragraph,Example of learning activities,,,,3
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,Create a family tree of the Olympian gods.,,,,4
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Research one of the Olympian gods. Create a presentation that includes the following information: titles, responsibilities, attributes, symbols associated with the god and one myth in which they play a major role. Provide an image of an artwork that was created in ancient Greece or Rome.",,,,5
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Read the creation myth (lines 104-205) from Hesiod's Theogony and consider its purpose and function for the ancient Greeks, assessing what it might reveal about their fundamental beliefs and values.",,,,6
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Read one or more Homeric Hymns, for example 'To Artemis' and 'To Dionysus'. Explain what each hymn reveals about the god it praises; what it reveals about the values of classical Greece. Consider what function it might have served in ancient society.",,,,7
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Find and explain myths that explain natural phenomena, such as the seasons or earthquakes.",,,,8
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,Compare the difference between the nature of divine beings and mortals in a myth you have studied.,,,,9
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Annotate images artworks such as sculptures, paintings and vases, that depict myths. Examine what narrative is presented and annotate features that depict the figures and the narrative.",,,,10
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Explore myth cycles such as the House of Atreus or the House of Labdacus (Oedipus' family), Annotate a genealogical diagram to note the relationships with the gods, actions completed, consequences of those actions, the concept of fate and of curses. Consider what this reveals about the functions and ideas in these myths.",,,,11
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Create an infographic on a hero. Your infographic should include: name of the hero, parents, best known heroic acts, heroic attributes associated with this figure, gods associated with the hero and if they help or hinder, symbols associated with the hero, bibliographic details.",,,,12
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Read a Book of Homer's Iliad, Homer's Odyssey or Virgil's Aeneid and identify the heroic attributes of the central hero. Consider the attributes of a hero in a particular context, such as on a journey, at war or his role in the foundation of a city. (extracts/Books to be studied in Units 3 and 4 should be avoided)",,,,13
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,Read a poem that uses a myth you have studied and consider why the poet chose to use the myth and any adaptations made.,,,,14
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Investigate the 12 labours of Heracles/Hercules and consider the qualities of the hero that are emphasised. Watch a modern retelling of a myth, such as the 1997 film Hercules, and identify what makes Hercules heroic in both versions. Using a Venn diagram, compare the extent to which the 1997 film version is the same as the ancient version. Consider why this myth might still be relevant to our society and why you think changes were made to the modern retelling.",,,,15
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Compare the depiction of a mythological figure through time. For example, examine the birth of Aphrodite in Hesiod's Theogony with Botticelli's The Birth of Venus and/or Aphrodite in the Percy Jackson series. To what extent is the depiction the same? Do we see a difference in focus between the depictions? Do they have the same messages about power, beauty, love, and fertility? What do the depictions reveal about the societies in which they were produced.",,,,16
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,GeneralActivity,Bullet,"Working in small groups, research one hero and the myths associated with this hero. Present findings to the class as a multimedia presentation.",,,,17
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExample,Paragraph,Heroes Research Task,,,,18
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,"In small groups students research one hero and the myths associated with them. They present their findings to the class as a multimedia presentation. Heroes might include Odysseus, Jason, Heracles/Hercules, Perseus, Theseus, Achilles, Romulus and Aeneas.",,,,19
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Paragraph,"In preparation for their presentation, students address and take notes on the following questions:",,,,20
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,Students create and deliver their multimedia presentation that includes the information they have gathered and relevant accompanying visuals.,,,,21
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Paragraph,"Following the presentations, hold a class discussion in which students explore what they have observed about heroes in myths. They consider what the heroes have in common and what purpose these figures might have served in ancient Greek and Roman culture? They all consider what their myths reveal about the values held by the ancient Greeks and Romans.",,,,22
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,Students they create a mind map that shows their understanding of the characteristics and functions of heroes in classical mythology.,,,,23
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,Compare Joseph Campbell's stages of the hero's journey with a classical myth and then compare these with modern works that follow or depart from Campbell's stages of the hero's journey.,,,,24
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExample,Paragraph,The hero's journey,,,,25
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,Present Joseph Campbell's stages of the hero's journey to the students and ask them to consider myths they know that follow this pattern.,,,,26
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,"As a class, read a classical myth of a hero's journey, such as extracts from Homer's Odyssey, aloud and have students assess how it confirms or departs from Campbell's description.",,,,27
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,Students annotate their text with examples of and reflections on how heroes are characterised in their text. Students could also examine the oral tradition in which the Odyssey was created and the values it conveys.,,,,28
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Bullet,"When they have finished their study of a classical hero myth students consider later or modern works, such as films that follow, or depart from, Campbell's stages of the hero's journey. Students give an oral presentation about their chosen work.",,,,29
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Paragraph,Resources,,,,30
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Paragraph,Classical works,,,,31
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Paragraph,"[Works to be studied in later areas of study may not to be used here, but a different section may be used. For example, a different Book of an epic than that to be studied in Unit 3 may be used]",,,,32
Humanities,Classical Studies,Year 11,Unit 1,VCECSU1,,,,DetailedExampleStep,Paragraph,"Hesiod, The Homeric Hymns",,,,33
