SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,UnitHeader,,Unit 1: Hazards and disasters,,,0
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"This unit investigates how people have responded to specific types of hazards and disasters. Hazards represent the potential to cause harm to people and or the environment, whereas disasters are defined as serious disruptions of the functionality of a community at any scale, involving human, material, economic or environmental losses and impacts. Hazards include a wide range of situations including those within local areas, such as fast-moving traffic or the likelihood of coastal erosion, to regional and global hazards such as drought and infectious disease.",,1
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,Students undertake an overview of hazards before investigating two contrasting types of hazards and the responses to them.,,2
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"Students examine the processes involved with hazards and hazard events, considering their causes and impacts, human responses to hazard events and the interconnections between human activities and natural phenomena, including the impact of climate change.",,3
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,Types of hazards are commonly classified by their causes:,,4
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"Geological (or geophysical) hazards include volcanic activity, erosion, earthquakes, tsunamis, landslides and avalanches",,5
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"Hydro-meteorological (weather, climate, water) hazards include droughts, floods, storms, storm surges and bushfires",,6
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"Biological hazards include infectious diseases such as HIV/AIDS and malaria, animal transmitted diseases, water borne diseases, and plant and animal invasion such as blackberries and cane toads in Australia",,7
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"Technological hazards are human induced and exacerbated hazards including oil spills, air pollution, radiation leaks, flooding primarily caused by land clearances, epidemics caused by poor living conditions and hazards caused by current climate change such as rising sea levels or increased intensification of weather events.",,8
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"There may be considerable interconnection between the causes and types of hazards. For example, a region may be at risk from a number of hazards: high seasonal rainfall may result
in a primary flood hazard which may in turn generate a secondary hazard of landslides.",,9
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS12,,,,Paragraph,,Unit 1: Hazards and disasters,"Students undertake fieldwork and produce a fieldwork report using the structure provided
(see pages 13 and 14).",,10
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS1,,Area of Study 1 - Characteristics of hazards,VCEGEU1AS1CH01,Descriptor,,Characteristics of hazards,"In this area of study students examine hazards and hazard events, and analyse the impacts of hazard events.",,1
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS1,,Area of Study 1 - Characteristics of hazards,VCEGEU1AS1CH01,Elaboration,,Characteristics of hazards,,They study at least two specific hazards at different scales.,2
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS1,,Area of Study 1 - Characteristics of hazards,VCEGEU1AS1CH01,Elaboration,,Characteristics of hazards,,"Students select one hazard from at least two different types of hazards listed above, for example, coastal hazards and an alien animal invasion, or floods and oil spills.",3
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS1,,Area of Study 1 - Characteristics of hazards,VCEGEU1AS1CH01,Elaboration,,Characteristics of hazards,,The selection of hazards should allow students to use visual representations and topographical maps at various scales and to undertake fieldwork.,4
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS1,,Area of Study 1 - Characteristics of hazards,VCEGEU1AS1CH02,Descriptor,,Characteristics of hazards,On completion of this unit the student should be able to analyse the nature of hazards and the impacts of hazard events at a range of scales.,,5
Humanities,Geography,Year 11,Unit 1,VCEGEU1AS1,,Area of Study 1 - Characteristics of hazards,VCEGEU1AS1CH03,Descriptor,,Characteristics of hazards,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1 and the relevant Characteristics of the study detailed on pages 6–14.,,6
