SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,,A,Short-answer questions,,,50,Header,Section A: Short-answer questions,,1
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,,A,Short-answer questions,,,,SubHeader,Instructions,,2
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,,A,Short-answer questions,,,,Instruction,Write your responses in English.,,3
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA1,A,Short-answer questions,1,Q1,25,Question,"From custodianship to the Anthropocene (60000 BCE-2010)
Refer to pages 2-4 in the Sources Book when responding to this question.",,4
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA1,A,Short-answer questions,1a,Q1a,2,SubQuestion,"Using Source 1, identify two features of the suggested location that make it suitable
for the establishment of a national park.",,5
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA1,A,Short-answer questions,1b,Q1b,4,SubQuestion,"Using Source 2 and your own knowledge, describe how two significant events
contributed to environmental change in Australia.",,6
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA1,A,Short-answer questions,1c,Q1c,5,SubQuestion,"Using Source 3 and your own knowledge, explain how British attitudes about the land
contributed to colonisation.",,7
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA1,A,Short-answer questions,1d,Q1d,6,SubQuestion,"Using Source 4 and your own knowledge, explain two perspectives that influenced
Australians' views of the environment from 1950 to 2010.",,8
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA1,A,Short-answer questions,1e,Q1e,8,SubQuestion,"Analyse the impact of protest on changes to government policy concerning the
Australian environment between 1950 and 2010. Use evidence to support
your response.",,9
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA2,A,Short-answer questions,2,Q2,25,Question,"Creating a nation (1834-2008)
Refer to pages 5 and 6 in the Sources Book when responding to this question.",,10
Humanities,History,VCEHAU,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHAU34AS1,VCEHAU34AS2",VCEHAU24ERA,VCEHAU24EQA2,A,Short-answer questions,2a,Q2a,2,SubQuestion,"Using Source 5, identify two reasons why migration to the colonies was considered
desirable.",,11
