SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,,A,TODO - determine from exam report,,,50,Header,Section A: TODO - determine from exam report,,1
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,,A,TODO - determine from exam report,,,,SubHeader,Instructions,,2
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,,A,TODO - determine from exam report,,,,Instruction,Write your responses in English.,,3
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA1,A,TODO - determine from exam report,1,Q1,25,Question,"Egypt
Refer to pages 2-3 in the Sources Book when responding to this question.",,4
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA1,A,TODO - determine from exam report,1a,Q1a,3,SubQuestion,"Using Source 1, outline how Thutmosis Ill contributed to the power of Egypt.",,5
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA1,A,TODO - determine from exam report,1b,Q1b,5,SubQuestion,"Using Source 2 and your own knowledge, explain how funerary customs and religious
practices changed in New Kingdom Egypt.",,6
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA1,A,TODO - determine from exam report,1c,Q1c,4,SubQuestion,"Using your own knowledge, describe how Rameses Il contributed to commerce, trade
and tribute in the Near East and East Africa.",,7
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA1,A,TODO - determine from exam report,1d,Q1d,5,SubQuestion,"Using Source 3 and your own knowledge, explain the status of women in
New Kingdom Egypt.",,8
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA1,A,TODO - determine from exam report,1e,Q1e,8,SubQuestion,"Analyse how Amenhotep Il and Akhenaten used building projects for political and
social purposes. Use evidence to support your response.",,9
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA2,A,TODO - determine from exam report,2,Q2,25,Question,"Greece
Refer to pages 4-5 in the Sources Book when responding to this question.",,10
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA2,A,TODO - determine from exam report,2a,Q2a,3,SubQuestion,"Using Source 4, outline the features of tyranny in Ancient Greece.",,11
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA2,A,TODO - determine from exam report,2b,Q2b,5,SubQuestion,"Using Source 5 and your own knowledge, explain the role and status of women in
Ancient Greece.",,12
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA2,A,TODO - determine from exam report,2c,Q2c,4,SubQuestion,"Using your own knowledge, describe how Solon changed the political structure
of Athens.",,13
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA2,A,TODO - determine from exam report,2d,Q2d,5,SubQuestion,"Using Source 6 and your own knowledge, explain how Cleon's political leadership
influenced Athenian involvement in the Archidamian War (431-421 BCE).",,14
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA2,A,TODO - determine from exam report,2e,Q2e,8,SubQuestion,"Evaluate how beneficial it was for a Greek city-state to be a member of the Delian
League after 460 BCE. Use evidence to support your response.",,15
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA3,A,TODO - determine from exam report,3,Q3,25,Question,"Rome
Refer to pages 6-7 in the Sources Book when responding to this question.",,16
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA3,A,TODO - determine from exam report,3a,Q3a,3,SubQuestion,"Using Source 7, outline the military powers of the magistracy of consul.",,17
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA3,A,TODO - determine from exam report,3b,Q3b,5,SubQuestion,"Using Source 8 and your own knowledge, explain how the Revolution of 509 BCE
caused political change in Ancient Rome.",,18
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA3,A,TODO - determine from exam report,3c,Q3c,5,SubQuestion,"Using Source 9 and your own knowledge, explain the role of women in ancient
Roman society.",,19
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA3,A,TODO - determine from exam report,3d,Q3d,4,SubQuestion,"Using your own knowledge, describe how Gaius Marius contributed to the demise of
the Roman Republic.",,20
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIANC24ERA,VCEHIANC24EQA3,A,TODO - determine from exam report,3e,Q3e,8,SubQuestion,"Evaluate the extent to which the Battle of Actium was the most significant event in the
rivalry between Octavian and Mark Antony. Use evidence to support your response.",,21
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS2,VCEHIU4AS2",VCEHIANC24ERB,,B,TODO - determine from exam report,,,20,Header,Section B: TODO - determine from exam report,,1
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS2,VCEHIU4AS2",VCEHIANC24ERB,,B,TODO - determine from exam report,,,,SubHeader,Instructions,,2
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS2,VCEHIU4AS2",VCEHIANC24ERB,,B,TODO - determine from exam report,,,,Instruction,Write your response in English.,,3
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS2,VCEHIU4AS2",VCEHIANC24ERB,VCEHIANC24EQB1,B,TODO - determine from exam report,1,Q1,20,Question,"Egypt
'Nefertiti was the main cause of the crisis in the Amarna Period.'
To what extent do you agree? Justify your response.",,4
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS2,VCEHIU4AS2",VCEHIANC24ERB,VCEHIANC24EQB2,B,TODO - determine from exam report,2,Q2,20,Question,"Greece
'The actions of Alcibiades had a significant impact on the outcome of the Decelean (lonian) War.""
To what extent do you agree? Justify your response.",,5
Humanities,History,ANC,Ancient History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS2,VCEHIU4AS2",VCEHIANC24ERB,VCEHIANC24EQB3,B,TODO - determine from exam report,3,Q3,20,Question,"Rome
'The actions of Sulla led to the downfall of the Roman Republic.'
To what extent do you agree? Justify your response.
Select a question by placing a tick (v) in one of the boxes below:
Question 1 |:| Question 2 |:| Question 3
Extra space for responses
Clearly number all responses in this space.
If you use any additional Question and Answer Books to complete your responses, write your student
number on the front cover. At the end of the examination, place the additional Question and Answer
Books inside the front cover of the first Question and Answer Book.
Assessment criteria for Section
The essay in Section B will be assessed against the following criteria:
« construction of a coherent and relevant historical argument that addresses the specific demands of
the essay question
« demonstration of historical knowledge that is accurate and appropriate for the essay question
« application of historical thinking concepts such as cause and consequence, continuity and change,
and/or historical significance
use of sources as evidence to support a historical argument, including a range of primary sources,
perspectives and historical interpretations
Victorian Curriculum and Assessment Authority 2024
History: Ancient History
. Sources Book
VCE Examination - Monday 11 November 2024
. Contents pages
Egpt 000000
[ Y=Y o= "" Pt
. Rome_ 000
. 'You may keep this Sources Book.
[~ A VATTEU T,
Egypt
Sources 1-3 relate to Question 1.
Source
This extract is a historical interpretation that describes the results of Thutmosis I I's military campaigns.
Thutmose' I I's military successes brought an influx of wealth into the Egyptian economy. Taxes
and tribute came from lands as far apart as Nubia, Retennu,? Babylon and Naharin,®and from the
Hit ites and the Keftiu (The Minoans). This allowed one of the most prolific building programs in
Egyptian history.
Thutmose's devotion to the gods of ancient Egypt, especially Amen? of Thebes, resulted in the
rebuilding and embellishment® of many of the key religious sites in Egypt at that time. Forts were
constructed, canals reopened and naval ports expanded. For over 50 years Thutmose dominated
Egypt and the Near East and was respected by the Egyptians so much that 500 years later
Pinudjem | of the 21st Dynasty named his son after him.
Source: G Kenworthy and K Cameron, Studies in Ancient Egypt: Periods and Personalities, 2nd edition, J Lawless (ed.),
Nelson Cengage Leaming, South Melbourne, 2000, p.104
1Thutmose - Thutmosis 3Naharin - ancient Egyptian name for the kingdom of
2Retennu -ancient Egyptian name for Mitanni (Syro-Mesopotamia)
Canaan and Syria 4Amen - Amun
Sembellishment - decoration
Source
This is a drawing of a wall painting in the tomb chapel of Nakht at the cemetery of Thebes. Nakht held
the position of scribe and astronomer of Amun, probably during the reign of Amenhotep I l.
SN DS =R S IR RS - T
R =2 Z:Ié s
T_-'ﬁ =1 ﬁ;l""! I l@ rivies ,'\~ P 'g: = ""
el aril B W W W R ST
';'"".'/L g "".:,. ) ,""': b,&y /- ""I'i. .""""'ﬁ»"" SN Al
-] in' 52 st AOURARARADY 2 NhC
40 T8 A i xR i
AUV - o
T T { 3
S0y B '[25 ' L
B g N ,
TMLEGE ROl
- <R ,,f'
Ex= N 2 T e s 5 o SR
Bl G o ~'*'t§:"",w{ﬂ x '#'i""ﬁ"""" T ST 'i
B e 7D VAN y { e St
=Y SR M O e T
. | emes : b0 U 40 ML P L
Mgt sl '""'ﬁ W ig
by N %-, 7.3 _-{\%ﬂr /) ' W
R 7 == & -- o VY v
1 e = e g; f%' 0 [0 - sahahthiaiod
g i B« P V 1 % CGy
5 YN, nft 1A ' e
T, E- _ﬁ\ AN BYE ﬁt""""*:« E"" I X ""R
Source: N Davies, L Crane, F Unwin, H Hopgood, North Side of the West Wal of Nakht's Offering Chapel, tempera on paper,
1908-1914; original c. 1410-1370 BCE, Metropolitan Museum of Art, <www.metmuseum.org/art/collection/search/548578>
Source
This is an extract from an inscription that was carved on a stela at Abydos. It describes how Ahmose I,
the founder of the Eighteenth Dynasty, honoured his grandmother, Tetisheri.
Now, it came to pass that his majesty sat in the audience-hall . . the King of Upper and Lower
Egypt, Nebpehtire, Son of Re, Ahmose (1), given life; while the hereditary princess, great in favor,
great in amiability, king''s-daughter, king's-sister, divine consort, great king's-wife, Ahmose-
Nefretiri, who liveth,2 was with his majesty.
The king himself spake? to her: ""I, it is, who have remembered the mother of my mother, and the
mother of my father, great king's-wife and king's-mother, Tetisheri . . triumphant. (Although) she
already has a tomb . . and a mortuary chapel . . on the soil of Thebes and Abydos, | have said this
to thee,* in that my majesty has desired to have made for her (also) a pyramid and a house ..
Tazeser, as a monumental donation of my majesty. Its lake shall be dug, its trees shall be planted,
its offerings shall be founded, equipped with people, endowed with® lands, presented with herds,
mortuary priests and ritual priests having their duties, every man knowing his stipulation.""®
.. His majesty did this because he so greatly loved her, beyond everything.
Source: JH Breasted, Ancient Records of Egypt, Vol Il: The Eighteenth Dynasty, University of Chicago Press, Chicago, 1906, pp. 15 and 16
Tamiability - friendliness 4thee - you
2liveth - lives Sendowed with - given
3spake - spoke Sstipulation - role
Greece
Sources 4-6 relate to Question 2.
Source
This extract is a historical interpretation that describes the key features of tyranny in Ancient Greece.
.. from the mid seventh century a series of usurpers began to seize autocratic power in the more
advanced cities, establishing dynasties which usually lasted for some two generations before they
were overthrown and replaced by hoplite'-dominated governments . . Thus for a century or more
after about 650, tyranny was one of the prevalent forms of government in the Greek cities . . During
this period it was also the tyrants who dominated the political and artistic life of the Greek world, and
who captured the popular imagination in tradition. The experience of tyranny created a fascination
and a hatred which permanently influenced Greek political attitudes against monarchy .
.. tyranny is defined as absolute rule exercised contrary to customary law,2 or at the whim? of the
ruler; and it is contrasted with kingship, which is absolute rule in accordance with customary law,
or for the benefit of the subjects. Itis regarded . as the worst possible form of government, worse
even than mob-rule, with which indeed it is held to have some connection.
Source: O Murray, Early Greece, Fontana Paperbacks, Great Britain, 1980, pp. 132 and 133
Thoplite -armed foot soldier
2customary law - traditional law
3whim
Source
This image, painted on a terracotta funerary plaque, depicts a corpse being prepared for burial, with
men and women mourning.
SaleigBaWownigigligh IgUigbelgiangaghs""Fat,
BTl o (5 b [ e o [ ) [ o S e o e W S S O I
£ { & z S o N
o g ; ; N 1 :
. A « [ A S '\ b
RE | S /i i .
- | N/ i Uy 8 f) | b
\Z/IRINT N | b= [y 2 (Hes
NINWEZ T S i) i e o "" Al
U= N (AN i IR i ISR -
OS] e DI A0 s
k /1 NI 1l I/ i,
/I % i AR fi
i 1 e S i /1] 4
NSk i
'Sl S AN YRIR g
J / (1 I 1l . [l
N ' B B g
L i i i il Is%
oL L S MR
T ~ e f £ v
P - il -
L @i
i ~ _a-} €3
J (L Sl
Source: Terracotta funerary plague, Terracotta; black-figure, c. 520-510 BCE, Metropolitan Museum of Art,
<www.metmuseum.org/art/collection/search/254801>
Source
This extract from Aristotle describes the personality of Cleon.
After the death of Pericles, Nicias, who later died in Sicily, became the leader of the aristocratic
party, and Cleon, the son of Cleaenetus, the leader of the people. This man, more than anybody
else, appears to have corrupted the people by his violent methods. He was the first who shouted on
the public platform, who used abusive language and who spoke with his cloak girt"" up about him,
while all the others used to speak in proper dress and manner.
Source: Aristotle, Aristotle's Constitution of Athens and Related Texts, translated with introduction and notes by K von Fritz and E Kapp,
Hafner Publishing Company, New York, 1966, pp. 98 and 99
1girt
wrapped
Rome
Sources 7-9 relate to Question 3.
Source
This extract is a historical interpretation that describes the powers of the consuls in the
Roman Republic.
The consuls .. consult the senate on matters of urgency [and] carry out in detail the provisions of
its decrees. Again as concerns all affairs of state administered by the people it is their duty to take
these under their charge, to summon assemblies, to introduce measures, and to preside over the
execution of the popular decrees. As for preparation for war and the general conduct of operations
in the field, here their power is almost uncontrolled; for they are empowered to make what demands
they choose on the allies, to appoint military tribunes, to levy soldiers and select those who are
fittest for service. They also have the right of inflicting, when on active service, punishment on
anyone under their command; and they are authorized to spend any sum they decide upon from the
public funds, being accompanied by a quaestor! who faithfully executes their instructions.
Source: Polybius: The Histories, Books 5-8, WR Paton (trans.), revised by FW Walbank and C Habicht,
Harvard University Press, Massachusetts, 2011, p. 331
1quaestor - a magistracy with financial and administrative duties
Source
This is a historical interpretation that outlines some of the political changes that occurred after the
Revolution of 509 BCE.
The establishment of the Roman Republic was due either to revolution or evolution; it was either
the effect or the cause of the fall of the monarchy . . the monarchy was abolished and two annual
magistrates named consuls . . were established in its place ..
.. With their subordinate officers they were responsible for the financial and general administration
of the state. This supreme executive authority, which was a basic constitutional conception,! was
conferred by the Comitia Curiata . . Later magistrates, e.g. censors and aediles, who took over
some of the consuls' duties, did not obtain imperium.?
In addition to the regular magistrates was the extraordinary office of dictator ..
Thus the Romans had provided an executive by creating a regular magistracy together with an
extraordinary emergency one. This executive was expected by custom to rely largely on the Council
of Elders and in practice it did . . Finally, of the two Assemblies of the People the Comitia Centuriata
gained increasing political influence and took over many of the functions of the Comitia Curiata ...
Source: HH Scullard, A History of the Roman World: 753 to 146 BC, 5th edition, Routledge, New York, 2003, pp. 78-81
1conception
2imperium - military and judicial authority
Source
This sculptural frieze from the Ara Pacis Augustae (Altar of Augustan Peace) in Rome depicts members
of the imperial household participating in a religious procession. The monument was dedicated by the
Senate in 9 BCE.
. St 2 R o D S (T T,
o s T2 & * ¢ r
% \A'j""v' '.%""*' \ iLk ;:&,; 5+ T
¢ 'ﬁ%aﬁ' & ""R ""'gﬁ YW s ""%ﬁ B As
: J Y~/ N
72N 8 >y 4B .
i) - T A ' AL
AN SN = ""\ ~E o S T\
5% 's'M-/,-g\ W 2 %/' 18743 o 1 ANZRY2
7 NI T sk [ % WS = R
< e A S & ) IS
St | 7 244045 s NP NN
b?' M ""'""I;""i:['i '1';.""1 / // §. AN NG SEE vM\A.'« v fiy "" &,
E b i [ AR 154 ~ ""\ SR / AU
NG § ] (141 44/ 2 Va2 TN
TA) 7 &/ N Vi N""//] | =W\ [-' PRAY S
4 AV I 7 :\.'.{I;' f =7 T Ak Ve
J1redh 3 o wiA v /1K N e
g 2o SEll & O iy L
% s % ni:!""""li!,, A 7 T ! \""i
AL | M ] Al 3= iz ™
= = s s 3 -
Source: Ara Pacis Augustae: detail, sacrificial procession from long right wall, marble, Art Images for College Teaching,
University of Michigan Library Digital Collections, <www.quod.lib.umich.edu/a/aict/x-rm011>
End of Sources Book
Victorian Cur iculum and Assessment Authority 2024 .",,6
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,,A,TODO - determine from exam report,,,50,Header,Section A: TODO - determine from exam report,,1
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,,A,TODO - determine from exam report,,,,SubHeader,Instructions,,2
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,,A,TODO - determine from exam report,,,,Instruction,Write your responses in English.,,3
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA1,A,TODO - determine from exam report,1,Q1,25,Question,"From custodianship to the Anthropocene (60000 BCE-2010)
Refer to pages 2-4 in the Sources Book when responding to this question.",,4
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA1,A,TODO - determine from exam report,1a,Q1a,2,SubQuestion,"Using Source 1, identify two features of the suggested location that make it suitable
for the establishment of a national park.",,5
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA1,A,TODO - determine from exam report,1b,Q1b,4,SubQuestion,"Using Source 2 and your own knowledge, describe how two significant events
contributed to environmental change in Australia.",,6
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA1,A,TODO - determine from exam report,1c,Q1c,5,SubQuestion,"Using Source 3 and your own knowledge, explain how British attitudes about the land
contributed to colonisation.",,7
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA1,A,TODO - determine from exam report,1d,Q1d,6,SubQuestion,"Using Source 4 and your own knowledge, explain two perspectives that influenced
Australians' views of the environment from 1950 to 2010.",,8
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA1,A,TODO - determine from exam report,1e,Q1e,8,SubQuestion,"Analyse the impact of protest on changes to government policy concerning the
Australian environment between 1950 and 2010. Use evidence to support
your response.",,9
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA2,A,TODO - determine from exam report,2,Q2,25,Question,"Creating a nation (1834-2008)
Refer to pages 5 and 6 in the Sources Book when responding to this question.",,10
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA2,A,TODO - determine from exam report,2a,Q2a,2,SubQuestion,"Using Source 5, identify two reasons why migration to the colonies was considered
desirable.",,11
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA2,A,TODO - determine from exam report,2b,Q2b,4,SubQuestion,"Using Source 6 and your own knowledge, describe two aspects of life in Great Britain
that contributed to increased immigration to the colonies of Australia after 1834.",,12
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA2,A,TODO - determine from exam report,2c,Q2c,5,SubQuestion,"Using Source 7 and your own knowledge, explain the consequences of the Aboriginal
Protection Act 1869 (Victoria) up to 1913.",,13
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA2,A,TODO - determine from exam report,2d,Q2d,6,SubQuestion,"Using Source 8 and your own knowledge, explain two key events that contributed to
changes in immigration and citizenship in Australia from 1973.",,14
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA2,A,TODO - determine from exam report,2e,Q2e,8,SubQuestion,"Analyse the significant ideas that influenced attitudes towards immigrants to Australia
after 1945. Use evidence to support your response.",,15
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA3,A,TODO - determine from exam report,3,Q3,25,Question,"Power and resistance (1788-1998)
Refer to pages 7-9 in the Sources Book when responding to this question.",,16
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA3,A,TODO - determine from exam report,3a,Q3a,2,SubQuestion,"Using Source 9, identify two complaints that contributed to the Eureka Stockade.",,17
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA3,A,TODO - determine from exam report,3b,Q3b,4,SubQuestion,"Using Source 10 and your own knowledge, describe two perspectives on female
suffrage up to 1908.",,18
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA3,A,TODO - determine from exam report,3c,Q3c,5,SubQuestion,"Using Source 11 and your own knowledge, explain the ideas that influenced attitudes
about workers' rights up to 1913.",,19
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA3,A,TODO - determine from exam report,3d,Q3d,6,SubQuestion,"Using Source 12 and your own knowledge, explain two key events that contributed to
changes for Aboriginal and Torres Strait Islander Peoples.",,20
Humanities,History,AUS,Australian History,Year 12,Final Exam,Exam Questions,2024,"VCEHIU3AS1,VCEHIU4AS1",VCEHIAUS24ERA,VCEHIAUS24EQA3,A,TODO - determine from exam report,3e,Q3e,8,SubQuestion,"Analyse how ideas about feminism and sexuality challenged the exercise of power
from 1957 to 1998. Use evidence to support your response.",,21
