SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,UnitHeader,,Units 3 and 4: Revolutions,,,0
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,"In Units 3 and 4 Revolutions students investigate the significant historical causes and consequences of political revolution. Revolutions represent great ruptures in time and are a major turning point in the collapse and destruction of an existing political order which results in extensive change to society. Revolutions are caused by the interplay of events, ideas, individuals and popular movements, and the interplay between the political, social, cultural, economic and environmental conditions. Their consequences have a profound effect on the political and social structures of the post-revolutionary society. Revolution is a dramatically accelerated process whereby the new regime attempts to create political, social, cultural and economic change and transformation based on the regime's ideology.",,1
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,"Change in a post-revolutionary society is not guaranteed or inevitable and continuities can remain from the pre-revolutionary society. The implementation of revolutionary ideology was often challenged internally by civil war and externally by foreign threats. These challenges can result in a compromise of revolutionary ideals and extreme measures of violence, oppression and terror.",,2
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,"In these units students construct an argument about the past using historical sources (primary sources and historical interpretations) as evidence to analyse the complexity and multiplicity of the causes and consequences of revolution, and to evaluate the extent to which the revolution brought change to the lives of people. Students analyse the different perspectives and experiences of people who lived through dramatic revolutionary moments, and how society changed and/or remained the same. Students use historical interpretations to evaluate the causes and consequences of revolution and the extent of change instigated by the new regime.",,3
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,"In developing a course, teachers select two revolutions to be studied, one for Unit 3 and one for Unit 4 from the list below. The revolution selected in Unit 3, Area of Study 1, must be selected for Unit 3, Area of Study 2. The revolution selected in Unit 4, Area of Study 1, must be selected for Unit 4, Area of Study 2.",,4
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,The American Revolution,,5
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,The French Revolution,,6
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,The Russian Revolution,,7
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS12,,,,Paragraph,,Units 3 and 4: Revolutions,The Chinese Revolution.,,8
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR01,Descriptor,,Causes of revolution,What were the significant causes of revolution?,,1
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR02,Descriptor,,Causes of revolution,How did the actions of popular movements and particular individuals contribute to triggering a revolution?,,2
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR03,Descriptor,,Causes of revolution,To what extent did social tensions and ideological conflicts contribute to the outbreak of revolution?,,3
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR04,Descriptor,,Causes of revolution,In this area of study students focus on the long-term causes and short-term triggers of revolution.,,4
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR04,Elaboration,,Causes of revolution,,"They evaluate how revolutionary outbreaks were caused by the interplay of significant events, ideologies, individuals and popular movements, and how these were directly or indirectly influenced by the political, social, economic, cultural and environmental conditions of the time.",5
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR05,Descriptor,,Causes of revolution,Students analyse significant events and evaluate how particular conditions profoundly influenced and contributed to the outbreak of revolution.,,6
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR05,Elaboration,,Causes of revolution,,"They consider triggers such as, in America, colonial responses to the Boston Tea Party or, in France, the calling of the Estates-General.",7
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR06,Descriptor,,Causes of revolution,"Revolutionary ideologies emerged in opposition to the existing and dominant order, such as Marxism-Leninism in Russia and Sun Yixian’s (Sun Yat-sen’s) Three Principles of the People in China.",,8
