SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The social features of the New Kingdom Egypt and how these features may have influenced the development of the ancient society, including religious practices and cultural expressions, the role of the god-king, the god's wife of Amun, the status of women, priesthoods, scribes, artisans, agricultural workers; the building programs of Hatshepsut, Thutmosis III, Rameses II and Rameses III; the temple of Karnak, funerary customs, the tomb of the Vizier Rekhmire and other noble tombs; the tomb of Seti I and other royal tombs; the social structure; the occupations at the workers' village at Deir el-Medineh",,1,1
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The political features of and changes in the New Kingdom Egypt, including the civil administration, the role of scribes, the presentation of the king as warrior, expressions of power, and the role and structure of the army",,1,2
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The economic features of the New Kingdom Egypt and how these features may have caused social and political change, including commerce and trade at the workers' village at Deir el-Medineh; strikes and tomb robberies; the contributions of Hatshepsut, Thutmosis III, Rameses II and Rameses III to commerce, trade and tribute in the Near East and East Africa",,1,3
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The causes, course and consequences of warfare and conflict, including the military campaigns of Thutmosis III, Rameses II, Merenptah and Rameses III; the Battle of Kadesh (1274 BCE) and subsequent treaty between Rameses II and Khattushili III; and 20th Dynasty wars with Libya and the Sea Peoples; and the growth and territorial expansion of Egypt into East Africa and across the Near East.",,1,4
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,Greece (800-454 BCE):,,1,5
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"Students investigate the features of life during the Archaic Period. They investigate social, political and economic features of Athens and Sparta to 454 BCE. They examine the causes and consequences of the conflict between Greece and Persia.",,1,6
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The social features of Ancient Greece and how these features may have influenced the development of the ancient society, including the polis as a cultural and religious institution; the role, status and civic obligations of men, women, metics and slaves; and the social classes of Athens (pentakosiomedimnoi, hippeis, zeugitae and thêtes) and Sparta (Spartiates, Perioikoi, and Helots); the comparison of these social features in Athens and Sparta",,1,7
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The political features of and changes in Ancient Greece, including factors that fostered political developments and the aristocracy, oligarchy and tyranny; the causes and political impact of reforms implemented by Solon, Pisistratus, Cleisthenes and Ephialtes on the Athenian constitution, government and political institutions (archonship, boule, ekklesia, heliaea, areopagus and ostracism); the Spartan constitution; the impact of reforms introduced by Lycurgus to the Spartan constitution, government and political institutions (dual monarchy, gerousia, ephors and apella); and foreign policy and expressions of power in Athens and Sparta",,1,8
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The economic features of Ancient Greece and how these features may have caused social and political change, including pressures on Greece caused by the physical environment of the polis and its hinterland; the use of agriculture; the impact of the changing population numbers on Greece; the character and effects of colonisation, tyranny, national and international trade; the economic reforms of Solon",,1,9
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,,VCEHAU3AS1O1KK,Outcome 1,Ancient History Students,,Key Knowledge,"The causes, course and consequences of warfare and conflict, including the Ionian revolt; the Persian invasions of 490 and 480-479 BCE; Spartan expansionism into Messenia; and the development and use of the Peloponnesian League by Sparta and the Delian League by Athens, and its transformation into the Athenian hegemony.",,1,10
