SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS12,,,,UnitHeader,,Units 3 and 4: Ancient History,,,0
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS12,,,,Paragraph,,Units 3 and 4: Ancient History,"In Units 3 and 4 Ancient History students investigate the features of two ancient societies, and a significant crisis and the role of individuals in these ancient societies. Egypt, Greece and Rome were major civilisations of the Mediterranean and bestowed a powerful legacy on the contemporary world. Students explore the structures of two of these societies and a period of crisis in its history, one for Unit 3 and one for Unit 4.",,1
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS12,,,,Paragraph,,Units 3 and 4: Ancient History,"Life in these ancient societies was shaped by the complex interplay of social, political and economic factors. Trade, warfare and the exchange of ideas between societies also influenced the way people lived. Furthermore, all three societies experienced dramatic crises which caused massive disruption. During these times of upheaval, individuals acted in ways that held profound consequences for themselves and for their society.",,2
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS12,,,,Paragraph,,Units 3 and 4: Ancient History,"In Units 3 and 4 students construct an argument about the past using historical sources (primary sources and historical interpretations) as evidence and evaluate the features and role of individuals in an ancient civilisation. Students develop their understanding of the importance of primary sources to historical inquiry about ancient civilisations. They consider the different perspectives and experiences of people who lived in ancient societies. They use historical interpretations to evaluate how the features of the ancient society changed, and the role, motives and influences of key individuals involved in a crisis.",,3
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS12,,,,Paragraph,,Units 3 and 4: Ancient History,"In developing a course, teachers select two ancient societies to be studied, one for Unit 3 and one for Unit 4. The ancient society selected in Unit 3, Area of Study 1, must be selected for Unit 3, Area of Study 2. The ancient society selected for Unit 4, Area of Study 1, must be selected for Unit 4, Area of Study 2. Select two ancient societies from the following:",,4
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,VCEHAU3AS1LAS01,Descriptor,,Living in an ancient society,"In this area of study students focus on the historical significance of the social, political and economic features of the selected ancient society.",,1
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,VCEHAU3AS1LAS01,Elaboration,,Living in an ancient society,,"In terms of social features, the existence of hierarchies meant that individual experiences varied enormously.",2
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,VCEHAU3AS1LAS01,Elaboration,,Living in an ancient society,,"There were profound differences in the experiences of men and women, locals and foreigners, and slaves and free people.",3
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,VCEHAU3AS1LAS01,Elaboration,,Living in an ancient society,,"Students explore the significance of political institutions and the distribution and expression of power between groups, and tensions resulting from such differences.",4
Humanities,Ancient History,Year 12,Unit 3,VCEHAU3AS1,,Area of Study 1 - Living in an ancient society,VCEHAU3AS1LAS01,Elaboration,,Living in an ancient society,,"They investigate the significance of the economic features of life, including agriculture, industry and trade.",5
