SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The physical environment and how it contributed to the development of the empire, such as the geographic location, geo-strategic location of imperial territories, topography and climate, natural resources and environmental changes",,1,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"An overview of the significant events of the late 19th century and the first half of the 20th century that caused the end of empires and influenced the emergence of nation states, such as Imperial India, the Meiji Restoration, post-Civil War USA, the unification of Italy, the unification of Germany, Russification and the end of serfdom in Russia, Australian Federation, the fall of the Qing in China, and the causes of World War One",,1,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The features of civilisation as understood by historians and archaeologists, the significance of the concept of civilisation, and reasons that contributed to the development of the earliest settled societies in various parts of the world",,1,1
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The causes of the rise, expansion and consolidation of the empire, such as rivalry and decline of existing powers, wars, conflicts, economic needs and competition, methods of territorial expansion and military conquest, religious and cultural shifts, voyages of exploration and significant discoveries",,1,2
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The consequences of World War One, such as the influence of Woodrow Wilson's 14 Points, demands for self-determination, creation of new nation states, successes and failures of the League of Nations, changes brought by post-World War One peace treaties, the end of the Ottoman Empire, the rise of the Fascists in Italy, and Nazism in Germany",,1,2
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The physical environment and how its geography and features contributed to the development of early societies and Mesopotamia, such as the topography, the rivers Tigris and Euphrates and the climate, and its relationship to the growth of urban settlements, and the need to construct canals",,1,2
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The social structure, demographics and identity of the empire, such as ethnicity, cultural and religious diversity, and the extent of individual and group participation in the empire",,1,3
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The significant ideologies that strengthened, challenged and/or weakened empires and/or nation states, such as self-determination, liberal democracy, nationalism, imperialism, socialism and communism, militarism, Marxism-Leninism in the USSR, fascism in Italy, fascism and militarism in Japan, Nazism in Germany, totalitarianism, isolationism and capitalism in the USA, liberal democracy in Britain, Immigration Restriction Policy in Australia, and the emergence of secularism in Turkey",,1,3
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The different types of sources that provide evidence of the features of early societies, such as art, iconography, writing, tools, building complexes and archaeological sites",,1,3
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The economic features and conditions that contributed to the expansion of the empire, such as changes in trade routes and hubs, mercantilism, banking and finance",,1,4
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"Continuity and changes to political structures and systems of nation states, such as the Weimar Republic and the Third Reich in Germany, the end of the Taisho period in Japan,
the French Third Republic, secular reforms of the Republic of Turkey, and the New Deal in
the USA",,1,4
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"Methods used by archaeologists to determine the age of objects, as well as relative and absolute dating such as the study of the death pits",,1,4
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"Significant individuals who influenced, contributed to and/or undermined the empire, such as monarchs, military leaders, explorers, religious leaders, philosophers and scientists",,1,5
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"Significant individuals who contributed to political change, such as Queen Victoria, Empress Dowager Cixi, Kaiser Wilhelm II, Emmeline Pankhurst, Woodrow Wilson, Georges Clemenceau, Rosa Luxemburg, Mustafa Kemal Ataturk, Emperor Hirohito, Josef Stalin, Benito Mussolini, Adolf Hitler, Winston Churchill and Mahatma Gandhi",,1,5
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,The principal theories about the development of agriculture,,1,5
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"How political power was organised and expressed by the empire, such as significant leaders, oligarchs, monarchs, social hierarchies, officials, cities and centres of power, forms of military and legal power, piracy, and foundational stories and myths",,1,6
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The significant causes of World War Two in 1939, such as the peace treaties, the actions and failure of the League of Nations, the rise of fascist and militarist regimes, the Great Depression, failure of diplomacy and territorial aggression.",,1,6
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The impact and consequences of the development of agriculture, such as its impact on the distribution and redistribution of resources and the ensuing rise of societies with complex hierarchies and social stratification, early life, farming and domestication of animals, the beginning of royal cities and culture, and specialisation of crafts and trades",,1,6
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The ideas that influenced change and/or disrupted traditional beliefs and institutions, such as emerging national identities, imperialism, religion, militarism, absolutism, theocracy, autocracy, scientific thinking, ideas associated with the Renaissance, Reformation and Enlightenment",,1,7
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The development of writing, its use in trade and managing revenue, and the importance of written sources to historical inquiry",,1,7
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The technological and scientific innovations that enabled expansion of the empire, such as the printing press, and advances in navigation and ship-building, medicine and the military, developments and applications in mathematics, and cross-cultural knowledge",,1,8
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The social, political and cultural features of Ancient Mesopotamia as reflected in the material record and The Epic of Gilgamesh, such as the evolution of the city-state, the role of priest-kings, and the assembly",,1,8
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,,VCEHIU12AS1O1KK,Outcome 1,History Students,,Key Knowledge,"Cultural expressions that reinforced imperial power and expansion, such as religious expression, language, art, architecture, literature, music, philosophy, festivals, textiles, fashion and food.",,1,9
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"Political institutions and developments during the period, such as the reign of Sargon of Akkad, his rise to power, the establishment and growth of the Akkadian Empire, and his later reign, and the Third Dynasty of Ur",,1,9
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Discovering civilisation,,VCEHIU1AS1O1KK,Outcome 1,History Students,,Key Knowledge,"The representation of Sargon in ancient sources, such as The Epic of the King of Battle and The Chronicle of Kings.",,1,10
