SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS12,,,,UnitHeader,,Units 1 and 2: Empires,,,0
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS12,,,,Paragraph,,Units 1 and 2: Empires,"In Units 1 and 2 Empires, students investigate the foundations and features of empires and the significant global changes they brought to the wider world in the early modern period. Empires at their core were expansionist, dominating trade and political influence in their regional or global contexts. A range of key factors arising from the social, political, economic, cultural, religious, environmental and technological features of Empires played a role in the ambition and quest for power, prestige and influence over rival and competing states.",,1
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS12,,,,Paragraph,,Units 1 and 2: Empires,"By the 15th century, international trade was dominated by the Republic of Venice, the Ming Dynasty in China and the Byzantine Empire. Between them they controlled key trading hubs along the Silk Road and Mediterranean Sea, in cities such as Constantinople, Venice and Beijing. Other empires were regional rather than global in reach: Mughals in India, Ming and Qing in China and the Tsars of Russia. By the 16th century the Ottoman Empire conquered Constantinople and controlled key trading routes. Emerging European powers Portugal, Spain, France, Britain and the Netherlands circumvented the power of these established empires, gaining access to goods through alternative routes. By harnessing new knowledge and technologies, their voyages of exploration into the Asia-Pacific, the Americas and Africa challenged the hegemony of power of existing empires beyond the Mediterranean world.",,2
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS12,,,,Paragraph,,Units 1 and 2: Empires,"Mindsets also changed. Emergent new ideas of the Renaissance brought forth innovative theories of the Scientific Revolution, the reforms of Protestant Reformation and the Counter-Reformation and, later, the Enlightenment. New economic structures of capitalism and mercantilism and the political ideas of absolute authority enabled Western European empires to entrench and impose their power on their colonial subjects. Consequently, new trade networks such as the 'Columbian Exchange' increased the prevalence and reliance on the slave trade and the demand for resources. Europe and Asia profited in their monopolies at the expense of indigenous cultures and environmental sustainability.",,3
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS12,,,,Paragraph,,Units 1 and 2: Empires,"Imperial exploitation of colonial outposts and occupied territories drastically affected the indigenous peoples and the colonial societies. The local and international rivalries that ensued had an impact on the management and defence of empires. Wars and conflicts escalated as the quest for territorial power and resources intensified, culminating in the Seven Year's War, which later influenced the revolutions within America, France and Haiti.",,4
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS12,,,,Paragraph,,Units 1 and 2: Empires,"In developing a course, teachers select two empires to be studied, one empire for Unit 1 and one empire for Unit 2. The empire selected for Area of Study 1, Unit 1 must be selected for Area of Study 2, Unit 1. The empire selected for Area of Study 1, Unit 2 must be selected for Area of
Study 2, Unit 2. Select two empires from the following eleven options:",,5
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE01,Descriptor,,The rise of empires,In this area of study students focus on the features of empires and what contributed to their rise.,,1
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE01,Elaboration,,The rise of empires,,"They analyse how the social, political, economic, cultural, religious, environmental and technological features and conditions shaped an empire’s quest for expansion.",2
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Descriptor,,The rise of empires,"Rulers sought economic and political advantage, spreading their power and influence into newly explored parts of the world.",,3
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Elaboration,,The rise of empires,,"They gained footholds into Africa, the Americas and Asia, establishing colonial outposts to realise their quest for empire.",4
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Elaboration,,The rise of empires,,The vision to expand an empire was enabled by strong political leadership.,5
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Elaboration,,The rise of empires,,"Monarchs, rulers and religious leaders pursued imperial power in response to events and geopolitical contexts.",6
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Elaboration,,The rise of empires,,The quest for power and the acquisition of new territories challenged traditional beliefs and views of the world.,7
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Elaboration,,The rise of empires,,Explorers contested territorial boundaries and indigenous people were subjected to the authority of the new empire and its needs.,8
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE02,Elaboration,,The rise of empires,,"Imperial, city and regional identities emerged as empires were built, shaping the intellectual and intercultural concepts of empire.",9
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE03,Descriptor,,The rise of empires,Economic structures were transformed as wealth and resources were pursued.,,10
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE03,Elaboration,,The rise of empires,,"Banking and finance, tributes and new commercial arrangements were organised between the growing empire and its newly acquired trade networks.",11
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE03,Elaboration,,The rise of empires,,"Innovations in technology, navigation and military equipment were developed to enable successful acquisition of new territories and trading hubs.",12
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE03,Elaboration,,The rise of empires,,Ideas of the ‘known world’ were challenged by individuals who saw the predominant religious views of the world as irrational and unfounded.,13
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE03,Elaboration,,The rise of empires,,"They advocated for ‘reason’, empirical observation and exploration of the world.",14
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE03,Elaboration,,The rise of empires,,"However, God and religious thought remained a dominant feature of empires and imperial expansion.",15
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE04,Descriptor,,The rise of empires,On completion of this unit the student should be able to explain the significant features of an empire and analyse its rise and expansion.,,16
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS1,,Area of Study 1 - The rise of empires,VCEHIU12AS1RE05,Descriptor,,The rise of empires,"To achieve this outcome the student will draw on key knowledge and key skills outlined in Area 
of Study 1.",,17
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC01,Descriptor,,"Encounters, challenge and change",In this area of study students focus on the challenges and changes facing the empire in the age of imperialism.,,1
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC01,Elaboration,,"Encounters, challenge and change",,"Students explain how and why new colonies and new markets were established, and describe the empire’s global power and why their influence prospered.",2
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC01,Elaboration,,"Encounters, challenge and change",,"They analyse the empire’s social, political, economic and cultural structures of power and how it was used to maintain control.",3
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC01,Elaboration,,"Encounters, challenge and change",,"Students evaluate the consequences of empire expansion, especially for indigenous peoples.",4
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC02,Descriptor,,"Encounters, challenge and change",New systems of trade emerged between the empire and its colonies such as the ‘Columbian Exchange’ and mercantilism.,,5
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC02,Elaboration,,"Encounters, challenge and change",,"Technological advancements, and improvements in transportation and manufacturing industries accelerated economic growth and imperial expansion.",6
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC02,Elaboration,,"Encounters, challenge and change",,"Empires sought to extract the most value from their territories through the lucrative transatlantic exchange markets, regardless of the human and environmental cost.",7
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC03,Descriptor,,"Encounters, challenge and change",The empire’s contact and interactions with indigenous peoples or other subject peoples varied from mutual trade to conflict.,,8
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC03,Elaboration,,"Encounters, challenge and change",,"As imperial authorities established colonies and settlements, it often resulted in conflict, genocide and oppression of indigenous peoples, environmental damage and dispossession of native land.",9
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC03,Elaboration,,"Encounters, challenge and change",,"Such colonisation caused extensive social, cultural and environmental damage to indigenous life, culture and land.",10
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC04,Descriptor,,"Encounters, challenge and change",Imperial powers faced mounting difficulties in maintaining control over their colonies and territories.,,11
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC04,Elaboration,,"Encounters, challenge and change",,Mercantile and colonial societies were also challenged by the new environments in which they settled.,12
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC04,Elaboration,,"Encounters, challenge and change",,"At times, imperial laws, structures and institutions negatively affected the daily life and livelihoods of colonisers, causing dissent and mistrust.",13
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC04,Elaboration,,"Encounters, challenge and change",,"Colonisers and settlers clashed with imperial authorities, who quashed dissent and enforced obedience and compliance.",14
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC04,Elaboration,,"Encounters, challenge and change",,Sometimes indigenous and settler rebellions gave rise to revolutionary situations such as the rebellion in the American colonies.,15
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC04,Elaboration,,"Encounters, challenge and change",,These challenges determined the success and/or failure of the empire.,16
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC05,Descriptor,,"Encounters, challenge and change",Political and economic competition between empires caused global tensions and the first global war: The Seven Years’ War.,,17
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC05,Elaboration,,"Encounters, challenge and change",,Some empires struggled to maintain and supply their colonial outposts with provisions and military protection.,18
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC05,Elaboration,,"Encounters, challenge and change",,"In some circumstances, the impact of heavy taxation on settlers caused rebellion and the quest for an independent nation, as occurred in 1775 with the American War of Independence.",19
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC05,Elaboration,,"Encounters, challenge and change",,"Despite this challenge, the British Empire continued its imperial conquests in the Caribbean, Africa, the Great Southern Land and Asia, fuelling its industrial revolution in the 19th century.",20
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC06,Descriptor,,"Encounters, challenge and change","On completion of this unit the student should be able to analyse the challenges and changes faced by the empire and evaluate the consequences of its imperial encounters in new territories and colonies, and on Indigenous peoples.",,21
Humanities,History,Year 11,Units 1 and 2,VCEHIU12AS2,,"Area of Study 2 - Encounters, challenge and change",VCEHIU12AS2ECC07,Descriptor,,"Encounters, challenge and change","To achieve this outcome the student will draw on key knowledge and key skills outlined in Area 
of Study 2.",,22
Humanities,History,Year 11,Unit 1,VCEHIU1AS12,,,,UnitHeader,,Unit 1: Change and conflict,,,0
Humanities,History,Year 11,Unit 1,VCEHIU1AS12,,,,Paragraph,,Unit 1: Change and conflict,"In this unit students investigate the nature of social, political, economic and cultural change in the later part of the 19th century and the first half of the 20th century. Modern History provides students with an opportunity to explore the significant events, ideas, individuals and movements that shaped the social, political, economic and technological conditions and developments that have defined the modern world.",,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS12,,,,Paragraph,,Unit 1: Change and conflict,"The late 19th century marked a challenge to existing empires, alongside growing militarism and imperialism. Empires continued to exert their powers as they competed for new territories, resources and labour across Asia-Pacific, Africa and the Americas, contributing to tremendous change. This increasingly brought these world powers into contact and conflict. Italian unification and German unification changed the balance of power in Europe, the USA emerged from a bitter civil war and the Meiji Restoration brought political revolution to Japan. Meanwhile, China under the Qing struggled to survive due to foreign imperialism. Modernisation and industrialisation also challenged and changed the existing political, social and economic authority of empires and states. During this time the everyday lives of people significantly changed.",,2
Humanities,History,Year 11,Unit 1,VCEHIU1AS12,,,,Paragraph,,Unit 1: Change and conflict,"World War One was a significant turning point in modern history. It represented a complete departure from the past and heralded changes that were to have significant consequences for the rest of the twentieth century. The post-war treaties ushered in a period where the world was, to a large degree, reshaped with new borders, movements, ideologies and power structures and led to the creation of many new nation states. These changes had many unintended consequences that would lay the foundations for future conflict and instability in Europe, the Americas, Asia, Africa and the Middle East. Economic instability caused by the Great Depression contributed to great social hardship as well as to the development of new political movements.",,3
Humanities,History,Year 11,Unit 1,VCEHIU1AS12,,,,Paragraph,,Unit 1: Change and conflict,"The period after World War One, in the contrasting decades of the 1920s and 1930s, was characterised by significant social, political, economic, cultural and technological change. In 1920 the League of Nations was established, but despite its ideals about future peace, subsequent events and competing ideologies would contribute to the world being overtaken by war in 1939.",,4
Humanities,History,Year 11,Unit 1,VCEHIU1AS12,,,,Paragraph,,Unit 1: Change and conflict,"New fascist governments used the military, education and propaganda to impose controls on the way people lived, to exclude particular groups of people and to silence criticism. In Germany, the persecution of the Jewish people and other minorities intensified, resulting, during World War Two, in the Holocaust. In the Union of Soviet Socialist Republics (USSR), millions of people were forced to work in state-owned factories and farms and had limited personal freedom. Japan became increasingly militarised and anti-Western. Turkey emerged out of the ruins of the Ottoman Empire and embarked on reforms to establish a secular democracy. In the United States of America (USA), foreign policy was shaped by isolationism, and the consumerism and material progress of the Roaring Twenties was tempered by the Great Depression in 1929. Writers, artists, musicians, choreographers and filmmakers reflected, promoted or resisted political, economic and social changes.",,5
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC01,Descriptor,,Ideology and conflict,"In this area of study students focus on the events, ideologies, individuals and movements of the period that led to the end of empires and the emergence of new nation states before and after World War One; the consequences of World War One; the emergence of conflict; and the causes of World War Two.",,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC01,Elaboration,,Ideology and conflict,,"They investigate the impact of the treaties which ended the Great War and which redrew the maps of Europe and its colonies, breaking up the former empires of the defeated nations, such as the partitioning of the German, Austro-Hungarian and Ottoman Empires.",2
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC01,Elaboration,,Ideology and conflict,,"They consider the aims, achievements and limitations of the League of Nations.",3
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Descriptor,,Ideology and conflict,"While democratic governments initially replaced the monarchies and authoritarian forms of government in European countries at the end of the war, new ideologies of socialism, communism and fascism gained popular support.",,4
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Elaboration,,Ideology and conflict,,Communism emerged in Russia/USSR after the 1917 Bolshevik Revolution.,5
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Elaboration,,Ideology and conflict,,"Fascism first emerged in Italy when the Italian Fascist Party gained power in 1922, and before the end of the decade fascist parties existed in various countries around the world.",6
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Elaboration,,Ideology and conflict,,"In 1933, Adolf Hitler’s National Socialist German Workers’ Party (Nazi) gained power in Germany.",7
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Elaboration,,Ideology and conflict,,"In Japan, the government was increasingly influenced by the military and by anti-Western attitudes, shaping much of its political and social action, alongside growing imperial ambitions in Manchuria.",8
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Elaboration,,Ideology and conflict,,"In the wake of World War One, the USA pursued an isolationist policy.",9
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC02,Elaboration,,Ideology and conflict,,"While the Roaring Twenties was a decade of economic growth, the 1930s saw considerable suffering as a result of the Great Depression, a global economic event that challenged and changed societies such as Germany and Australia.",10
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC03,Descriptor,,Ideology and conflict,"As a result of the post-World War One treaties and despite the establishment of the League of Nations, the world became increasingly hostile and unstable.",,11
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC03,Elaboration,,Ideology and conflict,,"Widespread economic instability, failure of diplomacy, growing militarism and territorial aggression in Europe, Africa and Asia, along with totalitarianism, combined in 1939 to draw the world into a second major conflict.",12
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC04,Descriptor,,Ideology and conflict,"In this area of study students may focus on one or more of the following contexts: Australia, China, France, Germany, Italy, Japan, Russia/USSR, the Ottoman Empire/Turkey, the British Empire/United Kingdom and/or the USA.",,13
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC05,Descriptor,,Ideology and conflict,"On completion of this unit the student should be able to explain how significant events, ideologies and individuals contributed to political and economic changes in the first half of the 20th century, and analyse how these contributed to the causes of World War Two.",,14
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,,Area of Study 1 - Ideology and conflict,VCEHIU1AS1IC06,Descriptor,,Ideology and conflict,"To achieve this outcome the student will draw on key knowledge and key skills outlined in Area 
of Study 1.",,15
Humanities,History,Year 11,Unit 1,VCEHIU1AS2,,Area of Study 2 - Social and cultural change,VCEHIU1AS2SCC01,Descriptor,,Social and cultural change,"In this area of study students focus on the social life and cultural expression in the late nineteenth century and the first half of the twentieth century, and their relation to the technological, political and economic changes of the period.",,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS2,,Area of Study 2 - Social and cultural change,VCEHIU1AS2SCC01,Elaboration,,Social and cultural change,,Students explore particular forms of cultural expression from the period.,2
