SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Humanities,History,,,"VCEHIU12AS1,VCEHIU12AS2,VCEHIU1AS1,VCEHIU1AS2,VCEHIU2AS1,VCEHIU2AS2",,,,,Header,,Humanities - History,History - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/history/advice-teachers/advice-teachers-history-4,0
Humanities,History,Year 11,Unit 1,VCEHIU1,,,,,UnitHeading,Unit 1: Ancient Mesopotamia,,,,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,,,OutcomeHeading,Outcome 1,,,,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,,,OutcomeDescription,Explain the features of civilisations and the development of civilisation in Mesopotamia.,,,,2
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Develop a glossary of key terms relevant to Ancient Mesopotamia and the features of a civilisation, such as Euphrates, agriculture, city-states and priest-kings. Add to the glossary over the course of the unit. Test each other on the glossaries (for example, at the start of class) checking for spelling and understanding.",,,,4
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KS,Activity,Bullet,Discuss the meaning of the word 'civilisation'. Investigate whether this meaning has changed over time and provide historical or archaeological arguments to support views on the features of civilisations.,,,,5
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KS,Activity,Bullet,"Evaluate a definition of the term 'civilisation', such as that proposed in R. Chadwick's First Civilizations: Ancient Mesopotamia and Ancient Egypt, Equinox Publishing, London (page 20). Create a table that identifies the technological, political, cultural and social features of a civilisation.",,,,6
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Create a detailed timeline starting at the Early Dynastic Period (2900 BCE) and concluding at the end of the Ur III Period (2004 BCE) in a table format that includes the headings: social, political and economic features of Mesopotamia. Update regularly as a summary activity throughout the unit, identifying different historical interpretations and providing evidence to support the arguments.",,,,7
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Create an annotated map that shows the physical environment and its influence on the development of civilisation in Mesopotamia. The map should include the geographical location of Mesopotamia, natural features and resources, as well as urban settlements.",,,,8
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Create an annotated poster about one of the following and how it provides evidence of the early features of early societies: art, iconography, writing, tools, building complexes and archaeological sites.",,,,9
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,Create a diagram that illustrates the process of Carbon-14 breakdown and the way this process can be used to determine the age of material culture. Write a paragraph on relative and absolute dating and compare stratigraphy to radiocarbon dating.,,,,10
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,Create a table that compares the theories of the development of agriculture. Explain why the theories changed over time and provide evidence.,,,,11
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Use a visual organiser, such as a mind map or fishbone diagram, to document the development and impact of agriculture on the societies of Mesopotamia. Use this information to write an evaluation of the role of agriculture on the development of civilisation in Mesopotamia. Reflect broadly and consider wider impacts, such as the growth of cities, monumental architecture and writing.",,,,12
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Investigate both the material remains and the translated cuneiform tablets from Ebla, Tell Mardikh in Syria as an example of a key northern Mesopotamian city. Consider what may be learnt about the economy and trade by examining the tablets and reflect on how the idea of a large urban centre 'travelled' from southern Mesopotamia to northern Syria.",,,,13
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Read extracts from The Epic of Gilgamesh and create a table with the headings: social, political and economic. Note any relevant examples and quotes from the text. Use a lotus diagram, or similar visual organisier, to evaluate the significance of The Epic of Gilgamesh as a source of evidence about Ancient Mesopotamia.",,,,14
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Examine the causes and consequences of the reign of Sargon of Akkad in a video blog. The video blog should refer to the growth of the Akkadian empire, Sargon's later reign and the Third Dynasty of Ur, and draw on the Chronicle of Early Kings and the epic King of Battle as sources.",,,,15
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Create a collaborative annotated poster about Sargon of Akkad. In groups of three, each student examines a different aspect of Sargon's reign, including his rise to power, the characteristics of his reign and the growth of the Akkadian empire. Combine all the research findings to create the poster.",,,,16
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KS,Activity,Bullet,"Evaluate the representation of Sargon in historical sources. Working in two groups, one examines the King of Battle; the other, the Chronicle of Early Kings. Write an evaluation of the representations of Sargon in these historical sources.",,,,17
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Undertake a 'silent talk' activity to explore the cultural expressions of the Akkadian empire. Examine a series of A3 posters placed around the room that depict Akkadian sources such as artworks, sculpture, and written texts. Using post-it notes, add observations to the posters about the example's significance. Use the post-it note comments to frame a class discussion that evaluates the significance of Ancient Mesopotamia.",,,,18
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,Activity,Bullet,"Complete an alphabet brainstorm to recall as much information as possible about an idea, person, event or concept that begins with a selected letter of the alphabet. The brainstorm could be in response to a stimulus, such as a primary source, a video or media resource, or a question derived from the key knowledge.",,,,19
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExample,Paragraph,Construct an annotated map of Mesopotamia,,,,20
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Paragraph,Students are provided with an outline map of Mesopotamia that includes rivers.,,,,21
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Paragraph,Students require access to an atlas and online geographical information in order to annotate the map.,,,,22
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Paragraph,Students complete the following activities:,,,,23
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,Annotate the map with the following:,,,,24
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,Rivers - draw over them with a blue marker and indicate their flow with arrows,Annotate the map with the following:,,,25
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,"Topographical features, such as hills and mountain ranges, including names",Annotate the map with the following:,,,26
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,"Natural resources, such as metals - label with their chemical symbol, such as Au for gold",Annotate the map with the following:,,,27
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,Early urban settlements - label with a square with their name above.,Annotate the map with the following:,,,28
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,"Label the map with trade networks; for example, lapis lazuli from Afghanistan, shells from the Persian Gulf and timber from Lebanon.",,,,29
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,Write a description of how geography influenced the growth of urban settlements and the need to construct canals.,,,,30
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,Read the article 'Mesopotamian climate change'.,,,,31
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KS,DetailedExampleStep,Bullet,Discuss in pairs how this article corresponds with the annotated maps and the development of early settlements in Mesopotamia.,,,,32
Humanities,History,Year 11,Unit 1,VCEHIU1AS1,Area of Study 1 - Ideology and conflict,Outcome 1,VCEHIU1AS1O1KK,DetailedExampleStep,Bullet,"Using the annotated maps, write an evaluation of the geographical features of early Mesopotamia. Comment on the growth of human settlement, availability of natural resources and how this may impact upon those settlements, and the development of a civilisation.",,,,33
Humanities,History,Year 11,Unit 1,VCEHIU1AS2,Area of Study 2 - Social and cultural change,Outcome 2,,,OutcomeHeading,Outcome 2,,,,1
Humanities,History,Year 11,Unit 1,VCEHIU1AS2,Area of Study 2 - Social and cultural change,Outcome 2,,,OutcomeDescription,Explain continuity and change in Ancient Mesopotamia.,,,,2
Humanities,History,Year 11,Unit 1,VCEHIU1AS2,Area of Study 2 - Social and cultural change,Outcome 2,,,SectionHeading,Examples of learning activities,,,,3
