SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,,VCEPHU1AS1O1KK,Outcome 1,Philosophy Students,,Key Knowledge,"Key terms associated with philosophical reasoning such as argument, premise, assumption, conclusion, proposition, claim, assertion, standard form, deduction, induction, cogency, validity, soundness, contradiction, fallacy, syllogism, analogy, example, counterexample, counterargument, definition, thought experiment",,1,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,,VCEPHU1AS1O1KK,Outcome 1,Philosophy Students,,Key Knowledge,The distinctive nature of philosophical thinking.,,1,2
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,,VCEPHU1AS1O1KS,Outcome 1,Philosophy Students,,Key Skills,"Analyse simple arguments to identify the premises and conclusions, and the relationships between the premises and conclusions, including standard form presentation",,1,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,,VCEPHU1AS1O1KS,Outcome 1,Philosophy Students,,Key Skills,Identify and describe errors of reasoning,,1,2
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,,VCEPHU1AS1O1KS,Outcome 1,Philosophy Students,,Key Skills,Apply techniques of philosophical reasoning to analyse and evaluate philosophical viewpoints and arguments,,1,3
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,,VCEPHU1AS1O1KS,Outcome 1,Philosophy Students,,Key Skills,Use appropriate terminology when analysing and evaluating viewpoints and arguments.,,1,4
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,,VCEPHU1AS2O2KK,Outcome 2,Philosophy Students,,Key Knowledge,Debates and philosophical questions that arise from exploration of at least 2 metaphysical themes listed above,,1,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,,VCEPHU1AS2O2KK,Outcome 2,Philosophy Students,,Key Knowledge,The meaning of key terms and concepts associated with the chosen themes,,1,2
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,,VCEPHU1AS2O2KK,Outcome 2,Philosophy Students,,Key Knowledge,Viewpoints and arguments central to the chosen themes in general,,1,3
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,,VCEPHU1AS2O2KK,Outcome 2,Philosophy Students,,Key Knowledge,Central viewpoints and arguments associated with the chosen themes as represented in at least one primary text,,1,4
