SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS12,,,,UnitHeader,,"Unit 1: Philosophy, existence and knowledge",,,0
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS12,,,,Paragraph,,"Unit 1: Philosophy, existence and knowledge","What is the nature of reality? How can we acquire certain knowledge? These are some of the questions that have challenged humans for millennia and underpin ongoing endeavours in areas as diverse as science, justice and the arts. This unit engages students with fundamental philosophical questions through active, guided investigation and critical discussion of 2 key areas of philosophy: epistemology and metaphysics. The emphasis is on philosophical inquiry - 'doing philosophy' - through the formulation and exploration of questions in philosophical exchanges with others. Hence the study and practice of techniques of philosophical reasoning are central to this unit. As students learn to think philosophically, appropriate examples of philosophical viewpoints and arguments, both contemporary and historical, are used to support, stimulate and enhance their thinking about central concepts and problems. At least one of these examples will be from a primary philosophical text using a complete text or an extract. As students investigate central concepts and problems, they will also consider the relationship between philosophical problems and relevant contemporary debates.",,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,VCEPHU1AS1NMP01,Descriptor,,The nature and methods of philosophy,Philosophy is an activity as much as it is a body of thought.,,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,VCEPHU1AS1NMP01,Elaboration,,The nature and methods of philosophy,,"Students benefit from first understanding the distinctive nature of philosophical thinking before embarking on a deeper study of the questions, problems and ideas that have challenged philosophers for millennia.",2
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,VCEPHU1AS1NMP02,Descriptor,,The nature and methods of philosophy,"In this area of study, students are introduced to, and practise, a variety of techniques used by philosophers to construct, analyse and evaluate arguments.",,3
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,VCEPHU1AS1NMP02,Elaboration,,The nature and methods of philosophy,,"Students consider what distinguishes philosophical reasoning from other ways of thinking and through so doing, begin to formulate an understanding of the distinctive nature of philosophy.",4
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,VCEPHU1AS1NMP03,Descriptor,,The nature and methods of philosophy,"On completion of this unit, the student should be able to analyse the distinctive nature of philosophy and recognise and apply techniques of philosophical reasoning.",,5
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,,Area of Study 1 - The nature and methods of philosophy,VCEPHU1AS1NMP04,Descriptor,,The nature and methods of philosophy,"To achieve this outcome, the student will draw on key knowledge and key skills outlined in Area of Study 1.",,6
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M01,Descriptor,,Metaphysics,"Metaphysics is the study of the basic structures and categories of what exists, or of reality.",,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M01,Elaboration,,Metaphysics,,"It is the attempt to work out a comprehensive account of everything that we know or believe about existence, including all our scientific knowledge.",2
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M02,Descriptor,,Metaphysics,This area of study introduces students to metaphysical problems through a study of questions associated with selected themes.,,3
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M02,Elaboration,,Metaphysics,,Students study at least 2 of the 6 themes listed below.,4
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M02,Elaboration,,Metaphysics,,A range of questions for study is to be selected from the list under each theme.,5
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M02,Elaboration,,Metaphysics,,Appropriate questions outside the list can also be included for study.,6
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M03,Descriptor,,Metaphysics,"For at least one of the themes selected, students must study a minimum of one primary text.",,7
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M03,Elaboration,,Metaphysics,,"Suggested thinkers are recommended at the end of each section, from which an appropriate primary text or texts can be selected, or an appropriate thinker outside this list could be studied.",8
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M04,Descriptor,,Metaphysics,Questions that may be explored in this theme include:,,9
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M05,Descriptor,,Metaphysics,Are material/physical objects the only things that exist?,,10
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M06,Descriptor,,Metaphysics,Does the world consist of ideas?,,11
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M07,Descriptor,,Metaphysics,To what extent does the mind make its world?,,12
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M08,Descriptor,,Metaphysics,What are secondary qualities?,,13
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M08,Elaboration,,Metaphysics,,To what extent do they exist in the world?,14
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M09,Descriptor,,Metaphysics,Can idealism account for the apparent objectivity and persistence of physical objects?,,15
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M10,Descriptor,,Metaphysics,In what ways is the contemporary realism/anti-realism debate distinct from the historical materialism/idealism debate?,,16
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M11,Descriptor,,Metaphysics,How real is virtual reality?,,17
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M12,Descriptor,,Metaphysics,"Suggested thinkers: Plato, John Locke, René Descartes, George Berkeley.",,18
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M13,Descriptor,,Metaphysics,What is the mind?,,19
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M13,Elaboration,,Metaphysics,,"Is the mind part of, or separate from, the body?",20
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M14,Descriptor,,Metaphysics,Are mental states reducible to brain states?,,21
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M15,Descriptor,,Metaphysics,What ontological commitments are made by dualism and materialism?,,22
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M16,Descriptor,,Metaphysics,What are some of the different philosophical positions associated with dualism and materialism?,,23
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M17,Descriptor,,Metaphysics,What is consciousness?,,24
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M18,Descriptor,,Metaphysics,"If we knew everything there was to know about the physics and physiology of colour, would we know everything there is to know about colour?",,25
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M19,Descriptor,,Metaphysics,"What kinds of things are propositional attitudes such as beliefs and desires, especially given they cannot be located in any specific part of the brain?",,26
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M20,Descriptor,,Metaphysics,Are mindless but animate human bodies conceivable?,,27
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M20,Elaboration,,Metaphysics,,"If so, are they therefore metaphysically possible?",28
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M21,Descriptor,,Metaphysics,Might computers have minds?,,29
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M22,Descriptor,,Metaphysics,"Suggested thinkers: René Descartes, Elisabeth of Bohemia, Gilbert Ryle, JJC Smart, David Armstrong, Thomas Nagel, Patricia Churchland, David Chalmers, Alan Turing.",,30
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M23,Descriptor,,Metaphysics,Questions that may be explored in this theme include:,,31
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M24,Descriptor,,Metaphysics,What makes a person the same person at different points in time?,,32
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M25,Descriptor,,Metaphysics,To what extent can a person change and still remain the same person?,,33
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M26,Descriptor,,Metaphysics,What is the role of the body in personal identity?,,34
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M27,Descriptor,,Metaphysics,What is the role of memory in personal identity?,,35
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS2,,Area of Study 2 - Metaphysics,VCEPHU1AS2M28,Descriptor,,Metaphysics,What role do our relationships with others play in personal identity?,,36
