SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Humanities,Philosophy,,,,,,,,Header,,Humanities - Philosophy,Philosophy - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/philosophy/teaching-and-learning,0
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1,,,,,UnitHeading,"Unit 1 - Philosophy, existence and knowledge",,,,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,,,OutcomeDescription,Analyse the distinctive nature of philosophy and recognise and apply techniques of philosophical reasoning.,,,,2
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,"Use an online AI search to develop simple deductive and inductive arguments with flaws built into them. Swap the arguments with your peers and then try to evaluate them. Alternatively, ask an AI to develop a complex argument in paragraph form for a simple but false claim (e.g. 'the world is flat'), identify the premises and evaluate these to identify what flaw in thinking has occurred.",,,,4
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,Examine a series of thought experiments and determine what these experiments might be designed to show and how they achieve that purpose.,,,,5
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,Make a list of differences in the kind of thinking that occurs in Philosophy compared to other subjects studied in VCE/VCE-VM. Use this to define the scope of philosophical inquiry as a class.,,,,6
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,Conduct a survey of non-philosophical students to determine what they think philosophy is. Compare this to the processes undertaken in the course.,,,,7
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KS,Activity,Bullet,Read a short philosophical extract and identify premises and conclusions in the text. Provide counter or supporting examples for the argument.,,,,8
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,Recount a recent discussion with a friend or family member where an argument was used to prove a point. Write the argument in standard form and analyse it to determine a better way to prove the case.,,,,9
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,"Conduct a simple experiment, for example coin tossing, to explore a cognitive bias such as the gambler's fallacy.",,,,10
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,Place arguments from familiar contexts into standard form and then extract a paragraph from a text studied in metaphysics or epistemology and separate the main conclusions from the premises.,,,,11
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KS,Activity,Bullet,Compare a philosophical argument with a non-philosophical (e.g. rhetorical) argument and discuss what distinguishes one from the other.,,,,12
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,Underline words and phrases in examples of reasoning that indicate premises and conclusions.,,,,13
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KK,Activity,Bullet,"In pairs, compose a crossword or word puzzle that employs key terms and definitions of key terms associated with philosophical reasoning. Swap with other members of the class to complete the puzzles.",,,,14
Humanities,Philosophy,Year 11,Unit 1,VCEPHU1AS1,Area of Study 1 - The nature and methods of philosophy,Outcome 1,VCEPHU1AS1O1KS,Activity,Bullet,Examine a series of simple arguments and identify the premises and conclusion of each argument.,,,,15
