SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,,A,Section A,,,45,Header,Section A: Section A,,1
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,,A,Section A,,,,SubHeader,Instructions,,2
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,,A,Section A,,,,Instruction,Answer all questions in the spaces provided.,,3
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,,A,Section A,,,,Instruction,Write your responses in English.,,4
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA1,A,Section A,1,Q1,4,Question,Describe two short-term causes (within the last 10 years) of your selected global issue.,,5
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA2,A,Section A,2,Q2,1,Question,Name one international law that you have studied in relation to your selected global issue.,,6
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA3,A,Section A,3,Q3,4,Question,"Explain how one state's response has contributed to political stability or change in relation to your
selected global issue.",,7
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA4,A,Section A,4,Q4,6,Question,"Discuss the impact of global interconnectedness on your selected global issue.
Select one of the following contemporary crises as the focus for Questions
•	 human rights crises
•	 armed conflict
•	 mass movement of people
Selected contemporary crisis: ",,8
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA5,A,Section A,5,Q5,2,Question,Outline one consequence of your selected contemporary crisis.,,9
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA6,A,Section A,6,Q6,3,Question,"Explain using one example how the process of diplomacy has been used to attempt to resolve your
selected contemporary crisis.",,10
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA7,A,Section A,7a,Q7a,4,SubQuestion,"Explain the ability of one global actor to respond effectively to your selected
contemporary crisis. ",,11
Humanities,Politics,,,Year 12,Final Exam,Exam Questions,2025,,VCEPO25ERA,VCEPO25EQA7,A,Section A,7b,Q7b,6,SubQuestion,"Contrast two global actors' perspectives on your selected contemporary crisis.
These global actors must be different from the global actor referred to in part a. ",,12
