SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"The key concepts: power, legitimacy, authority, participation, popular sovereignty, parliamentary sovereignty, federalism, responsible government, separation of powers, political interests, political perspectives, political significance and political stability and/or change",,1,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"The different types of political actors that may be involved in an issue, such as states, government leaders, institutions of global governance, political parties, media, non-government organisations, corporations, social movements, groups and individuals",,1,2
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"Different ways of organising formal power within states, such as federalism, responsible government or the separation of executive, legislative or judicial power",,1,3
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"The sources of legitimacy of political actors, such as democratic processes, ideology, coercion or economic performance, and the impact of these sources on how power is exercised",,1,4
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"The key political actors in Australia, such as the Commonwealth and state governments, parliaments and leaders, political parties, the High Court of Australia, media, business, social movements and special interest groups",,1,5
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"The sources and forms of power of Australian political actors that may be involved in an issue, such as authority and office, leadership qualities, parliamentary sovereignty, popular sovereignty through elections and referenda, economic resources, and technological, military, diplomatic, social or cultural capacity",,1,6
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"Access to power and participation in decision-making in Australia, such as through social movements, campaigns and protests and citizen power, party membership, submissions to committees, and the media",,1,7
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KK,Outcome 1,Politics Students,,Key Knowledge,"The political significance of key Australian political actors in at least one contested political issue, including the sources and forms of their power, their perspectives and legitimising narratives about contributions to political stability and change, their competing interests and the consequences of the actions taken.",,1,8
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Formulate a range of questions to investigate the sources and use of power of national political actors within Australia,,1,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,"Examine sources of information to explain the interests, perspectives and power of national political actors",,1,2
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Explain the sources of legitimacy and power of national political actors,,1,3
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Explain the causes of a contested Australian domestic political issue,,1,4
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Explain the interests of Australian political actors in a contested political issue,,1,5
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Describe the different political actors' perspectives on an Australian domestic political issue,,1,6
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Explain the consequences of a contested domestic political issue for political stability and/or change in Australia,,1,7
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,Analyse the political significance of political actors in Australian domestic politics,,1,8
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,,VCEPOU1AS1O1KS,Outcome 1,Politics Students,,Key Skills,"Construct an argument to evaluate the capacity of political actors to achieve their interests, using perspectives and evidence from sources.",,1,9
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,"The key concepts: power, legitimacy, sovereignty, global interconnectedness, state, nation, causes and consequences, ideology, political interests, political perspectives and political significance",,1,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,"The state as a global political actor, such as powers arising from its possession of sovereignty, the state's role of representing its citizens abroad, the state's legitimacy and ability to use coercive power, and its relationship with other global actors",,1,2
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,"The forms of power that may be used by global political actors to pursue their interests, such as political, military, economic, diplomatic, cultural and technological power",,1,3
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,"The perspectives that inform global political actors' actions of conflict and/or cooperation, such as nationalism, ideology, humanitarian concerns or global influence",,1,4
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,The interests of global political actors and their ability to achieve political stability or create change,,1,5
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,"The theories that attempt to explain how global actors operate or how they should operate, such as cosmopolitanism, liberalism or realism",,1,6
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS2,,Area of Study 2 - Power and global political actors,,VCEPOU1AS2O2KK,Outcome 2,Politics Students,,Key Knowledge,The impact of global interconnectedness on the power of global actors,,1,7
