SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,UnitHeader,,"Unit 1: Politics, power and political actors",,,0
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,Paragraph,,"Unit 1: Politics, power and political actors","In this unit, students learn that politics is about how political actors use power to resolve issues and conflicts over how society should operate. Each area of study focuses on concepts that form essential disciplinary knowledge, and which allow students to gradually build on their understanding of what it is to think politically.",,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,Paragraph,,"Unit 1: Politics, power and political actors","Political actors are individuals such as political leaders or ordinary citizens, or organisations such as parliaments or the United Nations, who have some measure of political power and/or authority and who engage in activities that can have a significant influence on decisions, policies, public discussion, media coverage and outcomes associated with a given issue. They may be local, national, regional or global.",,2
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,Paragraph,,"Unit 1: Politics, power and political actors","Political issues typically arise from the tension between political stability and change; that is, the forces or people working to maintain the status quo and the forces or people working to create change. A political issue will involve a conflict between political actors with different interests and perspectives. The issue may be resolved through cooperation, compromise or coercion, or not at all.",,3
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,Paragraph,,"Unit 1: Politics, power and political actors","Power can be thought of as different kinds of capacity, for example economic or military capacity or the capacity that stems from a position or office, which gives political actors the ability to achieve their interests.",,4
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,Paragraph,,"Unit 1: Politics, power and political actors","Students consider the concept of power by examining why and how political power is used, with special attention to the way national and global political actors exercise power and the consequences of that use. Students examine how power may be used by political actors in various states to achieve their interests, and they focus on a close study of a contested political issue in Australia. Students then investigate the power of global actors, who are able to use power across national and regional boundaries to achieve their interests and cooperate with other actors to solve conflicts, issues and crises.",,5
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS12,,,,Paragraph,,"Unit 1: Politics, power and political actors","VCE Politics is a contemporary study and focus must be on examples and case studies from within the last 10 years. These examples and case studies may need to be contextualised by a brief outline of historical causes (more than 10 years ago); however, the focus must be on the contribution of short-term causes (within the last 10 years) to the contemporary issue or crisis.",,6
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,VCEPOU1AS1PNPA01,Descriptor,,Power and national political actors,What is the source of political power and legitimacy within a state?,,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,VCEPOU1AS1PNPA02,Descriptor,,Power and national political actors,How do political actors use power to achieve political stability and/or change within states?,,2
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,VCEPOU1AS1PNPA03,Descriptor,,Power and national political actors,Who are the key political actors within states and within Australia?,,3
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,,Area of Study 1 - Power and national political actors,VCEPOU1AS1PNPA04,Descriptor,,Power and national political actors,"How is power legitimised, distributed and used in Australia?",,4
