SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Humanities,Politics,,,,,,,,Header,,Humanities - Politics,Politics - Teaching and Learning,https://www.vcaa.vic.edu.au/curriculum/vce-curriculum/vce-study-designs/politics/teaching-and-learning,0
Humanities,Politics,Year 11,Unit 1,VCEPOU1,,,,,UnitHeading,"Unit 1 - Politics, power and political actors",,,,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,,,OutcomeHeading,Outcome 1,,,,1
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,,,OutcomeDescription,"Explain the sources of power and legitimacy of national political actors, and analyse the political significance of Australian political actors' use of power in a contested domestic political issue.",,,,2
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,VCEPOU1AS1O1KK,Activity,Bullet,"As a class, brainstorm ideas, concepts, actions, institutions, actors and systems that underpin the term 'politics'. Map these on a whiteboard and discuss the connections between the elements.",,,,4
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,VCEPOU1AS1O1KK,Activity,Bullet,Create a flowchart which shows the connections between the key concepts listed in the key knowledge. Include examples of each concept.,,,,5
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,VCEPOU1AS1O1KS,Activity,Bullet,"Discuss the concept of power. On six separate sticky notes, answer the questions: 'What is power?' 'Who / what has power?' 'What types of power are there?' 'How is power used? Why is power used?' and 'What makes the use of power legitimate or illegitimate?' Collate the answers on a whiteboard and group them to demonstrate the connections between the ideas.",,,,6
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,VCEPOU1AS1O1KK,Activity,Bullet,"Construct a survey to determine political issues, both domestic and global, that are of greatest interest to the class. As a class, collect case study information that is most relevant to the class's interests, including news articles on recent developments and conflicting perspectives that cause or contribute to the issues, to gain a deeper understanding of the nature of the issues.",,,,7
Humanities,Politics,Year 11,Unit 1,VCEPOU1AS1,Area of Study 1 - Power and national political actors,Outcome 1,VCEPOU1AS1O1KK,Activity,Bullet,"Create a profile of a current world leader who is a key actor in a political issue of interest, including their ideology and motivations for their decisions, source and legitimacy of power, and use of power.",,,,8
