SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,The nature and purposes of religion over time,,1,1
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,The aspects of religion and how they are interrelated,,1,2
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,Answers to questions about the origins of life and existence offered by religion,,1,3
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,Spiritual and religious narratives that explain truths of all existence,,1,4
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,The role that religion can have in shaping and giving meaning to particular needs of individuals and communities,,1,5
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,The role of religion generally in giving expression to beliefs through the other aspects of religion,,1,6
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,Discuss the nature and purposes of religion over time,,1,1
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,Examine the aspects of religion and their interrelationship,,1,2
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,"Apply the aspects of religion to spiritualities, religious traditions and religious denominations",,1,3
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,Analyse the ways that spiritual and religious narratives can explain truths of all existence,,1,4
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,"Describe the role of religion in shaping and giving meaning to the particular needs of individuals
and communities",,1,5
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS1,,Area of Study 1 - The nature and purpose of religion,,VCERSU1AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,"Interpret, synthesise and apply primary and secondary source material",,1,6
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,How spiritual and religious ideas and religious traditions or religious denominations have played roles in society over time,,1,1
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,The spiritual and religious ideas that pass from one generation to the next via a process of socialisation that includes religion,,1,2
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,"How developments in technology, philosophy and science from both within and outside religious traditions have affected roles and relevant aspects of religion in society",,1,3
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,Other ideas and movements that have influenced and are influencing roles and relevant aspects of religion in society,,1,4
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,"The reasons why spiritualities, religious traditions and religious denominations were resilient, changed or adapted, or ceased to exist",,1,5
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,"The reasons why some ideas from spiritualities, religious traditions or religious denominations become part of other spiritualities, religious traditions or religious denominations",,1,6
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,Identify the factors that influence roles of religion over time,,1,1
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,Summarise the spiritual and religious ideas that pass from one generation to the next via a process of socialisation that includes religion,,1,2
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,Explain the effects that developments in society may have on religion and vice versa,,1,3
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Discuss roles that spiritualities, religious traditions and religious denominations play in initiating, endorsing, modifying or resisting the spread of ideas and movements in society",,1,4
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Discuss the reasons why spiritualities, religious traditions and religious denominations were resilient, changed or adapted, or ceased to exist and the relevant aspects affected",,1,5
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS2,,Area of Study 2 - Religion through the ages,,VCERSU1AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Interpret, synthesise and apply primary and secondary source material",,1,6
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,"The distribution of and adherence to spiritualities, major religious traditions and religious denominations in Australia, past and present",,1,1
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,The influence of government policy on the religious composition of Australian society over time,,1,2
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,The influence of religious and non-religious trends on the religious composition of Australian society,,1,3
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,"The ways that collective identity is expressed by spiritualities, religious traditions and religious denominations in Australia through relevant aspects of religion",,1,4
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,The personal meaning and identity that is found and further developed through engagement with relevant aspects of religion,,1,5
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,"Interactions between different spiritualities, religious traditions and religious denominations and other people, groups and organisations within wider Australian society and reasons for these interactions, in particular:",,1,6
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,"The roles of spiritualities, religious traditions or religious denominations in Australian society",,1,7
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,The role of religion in providing social infrastructure in Australian society,,1,8
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,The role of interfaith and ecumenical interaction in Australia,,1,9
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KS,Outcome 3,Religion and Society Students,,Key Skills,"Interpret data on the distribution of and adherence to spiritualities, major religious traditions and religious denominations in Australia, past and present",,1,1
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KS,Outcome 3,Religion and Society Students,,Key Skills,Analyse the factors and trends that influence the religious composition of Australian society over time,,1,2
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KS,Outcome 3,Religion and Society Students,,Key Skills,"Examine how communities and other institutions of spiritualities, religious traditions and religious denominations perceive themselves and express their collective identity in Australia through relevant aspects",,1,3
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KS,Outcome 3,Religion and Society Students,,Key Skills,"Examine the influence of spiritualities, religious traditions and religious denominations on the development of social infrastructure in Australia",,1,4
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KS,Outcome 3,Religion and Society Students,,Key Skills,Examine the role of interfaith and ecumenical interaction in Australia,,1,5
Humanities,Religion and Society,Year 11,Unit 1,VCERSU1AS3,,Area of Study 3 - Religion in Australia,,VCERSU1AS3O3KS,Outcome 3,Religion and Society Students,,Key Skills,"Interpret, synthesise and apply primary and secondary source material",,1,6
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,Concepts used in ethical decision-making,,1,1
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,A variety of methods of ethical decision-making and the theories that support them,,1,2
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,How the aspects of religion relate to ethical decision-making,,1,3
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KK,Outcome 1,Religion and Society Students,,Key Knowledge,"The role of various influences involved in the process of forming practical moral judgments, including ethical methods of decision-making and other factors such as reasoning, conscience, intuition, common sense, assumptions, authorities, worldviews, values, codes of behaviour, and the competing rights and responsibilities of individuals, groups and society",,1,4
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,Examine concepts used in ethical decision-making,,1,1
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,Discuss a variety of methods of ethical decision-making and the theories that support them,,1,2
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,Analyse how the aspects of religion relate to ethical decision-making,,1,3
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,"Explain the role of various influences involved in the process of forming practical moral judgments, including ethical methods of decision-making and other factors",,1,4
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS1,,Area of Study 1 - Ethical decision-making and moral judgment,,VCERSU2AS1O1KS,Outcome 1,Religion and Society Students,,Key Skills,"Interpret, synthesise and apply primary and secondary source material",,1,5
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,"The authorities, principles, values, norms and ideas informing ethical perspectives of at least two spiritualities, religious traditions and/or religious denominations, in societies in which multiple worldviews coexist",,1,1
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,"The aspects of religion related to ethical decision-making processes in spiritualities, religious traditions or religious denominations, other than ethics",,1,2
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KK,Outcome 2,Religion and Society Students,,Key Knowledge,"Ethical decision-making methods, including both the influence of philosophy on the ethical perspectives of spiritualities, religious traditions or religious denominations, and the ethical perspectives of spiritualities, religious traditions or religious denominations on philosophy",,1,3
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Discuss the authorities, principles, values, norms and ideas informing ethical perspectives of at least two spiritualities, religious traditions and/or religious denominations, in societies in which multiple worldviews coexist",,1,1
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Examine the aspects of religion related to ethical decision-making processes in spiritualities, religious traditions or religious denominations, other than ethics",,1,2
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Analyse ethical perspectives and influences on the formation of moral judgments of at least two spiritualities, religious traditions and/or religious denominations",,1,3
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Analyse the ethical decision-making methods of spiritualities, religious traditions or religious denominations that have informed philosophy, other disciplines and wider society",,1,4
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS2,,Area of Study 2 - Religion and ethics,,VCERSU2AS2O2KS,Outcome 2,Religion and Society Students,,Key Skills,"Interpret, synthesise and apply primary and secondary source material",,1,5
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS3,,Area of Study 3 - Ethical issues in society,,VCERSU2AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,Why the issues investigated are regarded as ethical issues,,1,1
Humanities,Religion and Society,Year 11,Unit 2,VCERSU2AS3,,Area of Study 3 - Ethical issues in society,,VCERSU2AS3O3KK,Outcome 3,Religion and Society Students,,Key Knowledge,"The aspects of religion related to ethical decision-making processes in spiritualities, religious traditions or religious denominations, other than ethics",,1,2
