SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,,ALL,All questions,,,,Header,All questions,,1
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,,ALL,All questions,,,,SubHeader,Instructions,,2
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,,ALL,All questions,,,,Instruction,Answer all questions in the spaces provided.,,3
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,,ALL,All questions,,,,Instruction,Write your responses in English.,,4
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,,ALL,All questions,,,,Instruction,Use the additional space at the end of this book if you need extra space to complete,,5
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,VCESO24EQALL1,ALL,All questions,1a,Q1a,2,SubQuestion,"Identify one example of practical reconciliation and one example of symbolic
reconciliation from Representation 1.",,6
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,VCESO24EQALL1,ALL,All questions,1b,Q1b,2,SubQuestion,"Explain the difference between practical reconciliation and symbolic reconciliation
using the examples you identified in part a.",,7
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,VCESO24EQALL2,ALL,All questions,2,Q2,6,Question,"Evaluate the success of the process of reconciliation since 2000. Use three examples from
Representation 1 to support your evaluation.",,8
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,VCESO24EQALL3,ALL,All questions,3,Q3,10,Question,"Examine the relationship between one issue related to Australian Indigenous cultures and changing
public awareness of Australian Indigenous cultures. Use evidence from material you have studied this
year to support your examination of the relationship.
Ethnicity
Use the following information to answer Questions 4 and 5.
Representation
Journeys. One Squad': Australia is one of the most culturally diverse
teams at the 2022 FIFA World Cup
i e o
O i A T .
v / & < >=50 A\ I'G 5 &% '
b, 5o Tl i , - ae!
L d \'& A Ai
N - A
al S A [ N
L (1l .
// - . 3/ @
\ \ pa S -
2 W UE N4 B ) RS
|3 ) "" 1
o ik He X y-
The Socceroos squad is one of the most culturally diverse at the
2022 FIFAWorld Cup.
Source (image): AP/Dan Peled © SBS. Photo Dan Peled, licensed AP via AAP.
Football is often described as 'The World Game' and the 26-man squad selected to represent
Australia at the 2022 FIFA World Cup is a true reflection of the country's multiculturalism, experts
say. About 30 per cent of Australians are born overseas and 49 per cent have at least one parent
born overseas.
Nine players selected in the Socceroos were born overseas, from five different countries. Many
others were born in Australia but come from migrant roots, including Ajdin Hrustic, who has
Romanian and Bosnian heritage, and Awer Mabil and Thomas Deng from South Sudan. Other
Socceroos born overseas named in the squad include Milos Degenek, Fran Karacic, Harry Souttar,
Keanu Baccus, Martin Boyle, Jason Cummings and Garang Kuol.
Professor Ramon Spaaij, from Victoria University's College of Sport and Exercise Science, told
SBS News that diversity in sport can 'build hope'.
'First, you cannot be what you cannot see,' he said. 'Having that visibility and representation of
athletes with diverse backgrounds can build the hope, belief and aspirations .. It helps to break
down that barrier of not seeing yourself represented at that highest level.'
'Embracing diversity in national teams such as the Socceroos can also give collective expression
to a sense of belonging to Australian society more broadly; that is, to a sense of who we are as
multicultural nation that is both diverse and united,' he said.
After announcing its squad earlier this month, the Socceroos released a video saying the lineup
represents Australia's diverse migrant history.
'From fleeing war to finding a home down under,"" Lebanese-Australian actor Firass Dirani says in
the video. 'To leaving home at 14 to chase a dream. Many Journeys. One Jersey. One Squad.'
A statement by Australia's national team in 2020 said football has been a 'space for migrant
communities' since it was established in 1888 . .
'Many of Australia's oldest football clubs were formed by these immigrant groups: the Greeks of
South Melbourne and Sydney Olympic, the Italians of Marconi and Adelaide City, the Croatians of
Melbourne Knights, Sydney United and Perth's Western Knights.'
Source: Adapted from <www.sbs.com.au/news/article/many-journeys-one-squad-australia-
is-one-of-the-most-culturally-diverse-teams-at-the-2022-world-cup/jzjkg 1w8r>
Refer to Representation 2 to answer Questions 4 and 5.",,9
Humanities,Sociology,,,Year 12,Final Exam,Exam Questions,2024,,VCESO24ERALL,VCESO24EQALL4,ALL,All questions,4,Q4,5,Question,"Explain how Australia's culturally diverse soccer team at the 2022 FIFA World Cup is an example of
the contemporary concept of multiculturalism in Australia. Use two examples from Representation
to support your explanation.",,10
